"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Tax_res"
"182","Carex aphylla","Carex","","aphylla",NA,NA,"","","kew-224537",TRUE,"1.1","Accepted","Cyperaceae","Carex","","aphylla","","","Kunth","kew-224537","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"183","Silene andicola","Silene","","andicola",NA,NA,"","","kew-2485637",TRUE,"1.1","Accepted","Caryophyllaceae","Silene","","andicola","","","Gillies ex Hook. & Arn.","kew-2485637","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"184","Senecio bipontinii","Senecio","","bipontinii",NA,NA,"","","gcc-80193",TRUE,"1.1","Accepted","Compositae","Senecio","","bipontinii","","","Wedd.","gcc-80193","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"185","Olsynium junceum","Olsynium","","junceum",NA,NA,"","","kew-324181",TRUE,"1.1","Accepted","Iridaceae","Olsynium","","junceum","","","(E.Mey. ex C.Presl) Goldblatt","kew-324181","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"186","Senecio chionophilus","Senecio","","chionophilus",NA,NA,"","","gcc-83564",TRUE,"1.1","Accepted","Compositae","Senecio","","chionophilus","","","Phil.","gcc-83564","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"187","Carex banksii","Carex","","banksii",NA,NA,"","","kew-224863",TRUE,"1.1","Accepted","Cyperaceae","Carex","","banksii","","","Boott","kew-224863","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"188","Erigeron cinereus","Erigeron","","cinereus",NA,NA,"","","gcc-126522",TRUE,"1.1","Accepted","Compositae","Erigeron","","cinereus","","","Hook. & Arn.","gcc-126522","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"189","Cortaderia pilosa","Cortaderia","","pilosa",NA,NA,"","","kew-405795",TRUE,"1.1","Accepted","Poaceae","Cortaderia","","pilosa","","","(d'Urv.) Hack.","kew-405795","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"190","Drimys andina","Drimys","","andina",NA,NA,"","","kew-2777888",TRUE,"1.1","Accepted","Winteraceae","Drimys","","andina","","","(Reiche) R.A.Rodr. & Quezada","kew-2777888","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"191","Perezia pedicularidifolia","Perezia","","pedicularidifolia",NA,NA,"","","gcc-113735",TRUE,"1.1","Accepted","Compositae","Perezia","","pedicularidifolia","","","Less.","gcc-113735","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"192","Gaultheria poeppigii","Gaultheria","","poeppigii",NA,NA,"","","kew-2817978",TRUE,"1.1","Accepted","Ericaceae","Gaultheria","","poeppigii","","","DC.","kew-2817978","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"193","Escallonia alpina","Escallonia","","alpina",NA,NA,"","","kew-2801745",TRUE,"1.1","Accepted","Escalloniaceae","Escallonia","","alpina","","","Poepp. ex DC.","kew-2801745","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"194","Gaultheria pumila","Gaultheria","","pumila",NA,NA,"","","kew-2817997",TRUE,"1.1","Accepted","Ericaceae","Gaultheria","","pumila","","","(L.f.) D.J.Middleton","kew-2817997","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"195","Embothrium coccineum","Embothrium","","coccineum",NA,NA,"","","kew-2788267",TRUE,"1.1","Accepted","Proteaceae","Embothrium","","coccineum","","","J.R.Forst. & G.Forst.","kew-2788267","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"196","Acanthocalyx alba","Acanthocalyx","","alba",NA,NA,"","","kew-2614489",TRUE,"1.1","Unresolved","Caprifoliaceae","Acanthocalyx","","alba","","","(Hand.-Mazz.) M.J.Cannon","kew-2614489","Unresolved",FALSE,FALSE,FALSE,2020-04-18,"Species"
"197","Achillea acuminata","Achillea","","acuminata",NA,NA,"","","gcc-129408",TRUE,"1.1","Accepted","Compositae","Achillea","","acuminata","","","(Ledeb.) Sch.Bip.","gcc-129408","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"198","Achnatherum extremiorientale (Hara) Keng ex P. C. Kuo","Achnatherum","","extremiorientale",NA,NA,"","(Hara) Keng ex P. C. Kuo","kew-387278",TRUE,"1.1","Synonym","Poaceae","Stipa","","pekinensis","","","Hance","kew-445502","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"199","Achnatherum inebrians (Hance) Keng","Achnatherum","","inebrians",NA,NA,"","(Hance) Keng","kew-387288",TRUE,"1.1","Synonym","Poaceae","Stipa","","inebrians","","","Hance","kew-445178","Accepted",FALSE,FALSE,FALSE,2020-04-18,"Species"
"200","Achnatherum psilantherum Keng","Achnatherum","","psilantherum",NA,NA,"","Keng","kew-387146",TRUE,"1.1","Unresolved","Poaceae","Achnatherum","","psilantherum","","","Keng ex Tzvelev","kew-387146","Unresolved",FALSE,FALSE,FALSE,2020-04-18,"Species"
