"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257261.06 (38.42)",0.724,"1.904 (1.308 -- 2.782)","3.576 (2.721 -- 4.437)","1.007 (0.738 -- 1.318)","1.107 (0.777 -- 1.436)","3.413 (2.913 -- 4.147)","4.235 (3.949 -- 4.411)","Alternating",0.328003583965411,0.265377466286736,0.407123881850566,38,0.0263157894736842,"fixed",0.306795581245825,0.235450849115392,0.398762954559803,0.195453306629581,0.136773244721463,0.282476680529287
"2","GA3","257243.33 (20.69)",0.733,"1.969 (1.293 -- 2.813)","3.755 (3.165 -- 4.693)","1.023 (0.718 -- 1.498)","1.129 (0.664 -- 1.522)","3.236 (2.668 -- 3.723)","4.162 (4.043 -- 4.299)","GA3",0.535396250452337,0.466711770113761,0.610904442979518,38,0.0263157894736842,"fixed",0.3184880790188,0.236608869509081,0.407555129776126,0.198754511634046,0.142369550832407,0.27929691605258
"3","Light","257263.9 (41.26)",0.722,"1.785 (1.100 -- 2.463)","3.584 (2.959 -- 4.335)","1.041 (0.720 -- 1.469)","1.117 (0.748 -- 1.612)","3.302 (2.792 -- 3.768)","4.242 (4.096 -- 4.436)","Light",0.431595522970898,0.319930873913108,0.484204873762792,18.7468826813987,0.0263157894736842,"fixed",0.293235855314293,0.213696084691629,0.375474409906377,0.185056456033836,0.115556916716623,0.24763143104848
"4","Scarification","257260.77 (38.13)",0.716,"1.809 (1.322 -- 2.624)","3.621 (3.056 -- 4.342)","0.994 (0.728 -- 1.378)","1.001 (0.704 -- 1.385)","3.180 (2.577 -- 3.681)","4.260 (4.062 -- 4.423)","Scarification",0.387159870294167,0.318888444890035,0.452653678192291,93.3345355279006,0.0263157894736842,"fixed",0.295153494453802,0.228100065346839,0.372551902209695,0.185953833275025,0.134621372294157,0.256521725524832
"5","Stratification","257222.64 (0)",0.741,"1.907 (1.238 -- 2.661)","3.618 (2.887 -- 4.350)","1.064 (0.755 -- 1.440)","1.091 (0.785 -- 1.551)","3.620 (2.998 -- 3.964)","4.098 (3.937 -- 4.239)","Stratification",0.67564272280486,0.598373235319741,0.734330303326715,80.0975435990147,0.0263157894736842,"fixed",0.314590863445608,0.239282645715771,0.397148119753212,0.19751651186958,0.139960409284813,0.271997270879985
"6","Tmean","257243.22 (20.58)",0.742,"1.885 (1.148 -- 3.045)","3.437 (2.933 -- 4.153)","1.013 (0.754 -- 1.481)","1.060 (0.766 -- 1.402)","3.571 (2.880 -- 4.143)","3.952 (3.789 -- 4.104)","Tmean",0.638105994243505,0.583718348370894,0.690370754690775,38,0.0263157894736842,"fixed",0.319220992722685,0.218619392621554,0.439516712500886,0.202146081009206,0.136067596427961,0.307048926413482
