"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","257277.32 (32.02)",0.719,"1.824 (1.394 -- 2.643)","3.637 (2.980 -- 4.375)","1.052 (0.700 -- 1.445)","1.049 (0.741 -- 1.455)","3.316 (2.530 -- 3.897)","4.269 (4.115 -- 4.517)","log(mass):Alternating",-0.137801363621628,-0.184314446600183,-0.0974590198311489,38,0.0263157894736842,"fixed",0.297340474174655,0.249111366477724,0.387459862329479,0.187009040940055,0.146214115649348,0.253968420758717
"2","GA3","257254.8 (9.5)",0.718,"1.840 (1.196 -- 2.676)","3.584 (2.824 -- 4.315)","0.971 (0.623 -- 1.468)","1.074 (0.811 -- 1.478)","3.259 (2.694 -- 3.757)","4.250 (4.011 -- 4.427)","log(mass):GA3",-0.204690471170771,-0.245074881866458,-0.169238949310966,38,0.0263157894736842,"fixed",0.298561180142818,0.219189183575325,0.394799205066724,0.189134665982874,0.125007959518626,0.267881507237296
"3","Light","257281.98 (36.68)",0.719,"1.746 (1.126 -- 2.668)","3.645 (2.698 -- 4.244)","1.068 (0.683 -- 1.437)","1.084 (0.769 -- 1.450)","3.240 (2.775 -- 4.044)","4.246 (4.110 -- 4.373)","log(mass):Light",-0.201201431994617,-0.25937007626635,-0.153692406252958,38,0.0263157894736842,"fixed",0.288199272216405,0.220853633705644,0.387595630525782,0.180353539870659,0.134433158300599,0.278625441777721
"4","Scarification","257278.88 (33.58)",0.714,"1.692 (1.173 -- 2.192)","3.615 (2.907 -- 4.367)","0.999 (0.762 -- 1.312)","1.053 (0.801 -- 1.314)","3.327 (2.670 -- 4.002)","4.294 (4.107 -- 4.437)","log(mass):Scarification",0.0792908342699248,0.0127503947005607,0.114698674835381,49.2095667546187,0.0263157894736842,"fixed",0.280784763957307,0.211274075280797,0.338967479012914,0.175767372216377,0.127641395796059,0.227960617363818
"5","Stratification","257284.71 (39.41)",0.715,"1.858 (1.266 -- 2.760)","3.582 (2.767 -- 4.643)","1.016 (0.682 -- 1.407)","0.960 (0.529 -- 1.245)","3.389 (2.599 -- 4.090)","4.309 (4.152 -- 4.515)","log(mass):Stratification",-0.00221148108798125,-0.0437146267504431,0.0321957680662308,38,0.947368421052632,"fixed",0.298259323422989,0.223970074575667,0.383410714292557,0.189797264582622,0.140080115935575,0.274536735063465
"6","Tmean","257245.3 (0)",0.733,"1.932 (1.212 -- 2.888)","3.573 (3.005 -- 4.282)","1.075 (0.663 -- 1.414)","1.044 (0.713 -- 1.361)","3.528 (2.881 -- 4.260)","4.143 (3.961 -- 4.387)","log(mass):Tmean",-0.286553415272088,-0.332008359226165,-0.235229605354107,38,0.0263157894736842,"fixed",0.314461485200739,0.228326365176227,0.416891429045584,0.199043236149012,0.134890080390883,0.281634419549142
