"Population","Accession","Country","Region"
"Population 21","Italy SO286 NA NA","Italy","Southern Alps"
"Population 22","Italy SO288 NA NA","Italy","Southern Alps"
"Population 582","Italy SO294 NA NA","Italy","Southern Alps"
"Population 447","Italy SO296 NA NA","Italy","Southern Alps"
"Population 23","Italy SO327 NA NA","Italy","Southern Alps"
"Population 123","Italy SO347 NA NA","Italy","Southern Alps"
"Population 464","Italy SO349 NA NA","Italy","Southern Alps"
"Population 127","Italy SO352 NA NA","Italy","Southern Alps"
"Population 433","Italy SO355 NA NA","Italy","Southern Alps"
"Population 90","Italy SO359 NA NA","Italy","Southern Alps"
"Population 57","Italy SO376 NA NA","Italy","Southern Alps"
"Population 248","Italy SO377 NA NA","Italy","Southern Alps"
"Population 211","Italy SO379 NA NA","Italy","Southern Alps"
"Population 450","Italy SO401 NA NA","Italy","Southern Alps"
"Population 276","Italy SO403 NA NA","Italy","Southern Alps"
"Population 330","Italy SO404 NA NA","Italy","Southern Alps"
"Population 448","Italy SO469 NA NA","Italy","Southern Alps"
"Population 472","Italy SO474 NA NA","Italy","Southern Alps"
"Population 403","Italy SO493 NA NA","Italy","Southern Alps"
"Population 451","Italy SO513 NA NA","Italy","Southern Alps"
"Population 476","Italy SO523 NA NA","Italy","Southern Alps"
"Population 143","Italy SO536 NA NA","Italy","Southern Alps"
"Population 93","Italy SO540 NA NA","Italy","Southern Alps"
"Population 432","Italy SO543 NA NA","Italy","Southern Alps"
"Population 273","Italy SO573 NA NA","Italy","Southern Alps"
"Population 84","Italy SO579 NA NA","Italy","Southern Alps"
"Population 286","Italy SO583 NA NA","Italy","Southern Alps"
"Population 130","Italy SO589 NA NA","Italy","Southern Alps"
"Population 340","Italy SO591 NA NA","Italy","Southern Alps"
"Population 471","Italy SO595 NA NA","Italy","Southern Alps"
"Population 89","Italy SO597 NA NA","Italy","Southern Alps"
"Population 8","Italy SO605 NA NA","Italy","Southern Alps"
"Population 225","Italy SO606 NA NA","Italy","Southern Alps"
"Population 56","Italy SO612 NA NA","Italy","Southern Alps"
"Population 140","Italy SO615 NA NA","Italy","Southern Alps"
"Population 457","Italy SO616 NA NA","Italy","Southern Alps"
"Population 212","Italy SO617 NA NA","Italy","Southern Alps"
"Population 126","Italy SO623 NA NA","Italy","Southern Alps"
"Population 141","Italy SO678 NA NA","Italy","Southern Alps"
"Population 83","Italy SO846 NA NA","Italy","Southern Alps"
"Population 209","Italy SO897 NA NA","Italy","Southern Alps"
"Population 505","Italy TN685 NA NA","Italy","Southern Alps"
"Population 507","Italy TR531 NA NA","Italy","Southern Alps"
"Population 17","Italy Val Viola Dosde and Passo dello Stelvi 46 10","Italy","Southern Alps"
"Population 165","Luxembourg NA NA NA","Luxembourg","Enscobase"
"Population 200","Malta NA NA NA","Malta","Enscobase"
"Population 511","Montenegro NA NA NA","Montenegro","Enscobase"
"Population 66","Norway NA NA NA","Norway","Enscobase"
"Population 63","Poland NA NA NA","Poland","Enscobase"
"Population 201","Portugal NA NA NA","Portugal","Enscobase"
"Population 205","Romania NA NA NA","Romania","Enscobase"
"Population 64","Russia NA 43.27 41.41","Russia","Caucasus"
"Population 138","Slovakia NA NA NA","Slovakia","Enscobase"
"Population 68","Slovenia NA NA NA","Slovenia","Enscobase"
"Population 149","Spain 010812-02  30T 356136 4770887 NA","Spain","Cantabrian Mountains"
"Population 328","Spain 010812-04  30T 353919 4772295 NA","Spain","Cantabrian Mountains"
"Population 470","Spain 010812-05  30T 353889 4772278 NA","Spain","Cantabrian Mountains"
"Population 81","Spain 130813-06  30T 369750 4746190 NA","Spain","Cantabrian Mountains"
"Population 85","Spain 140813-04  30T 371113 4761492 NA","Spain","Cantabrian Mountains"
"Population 80","Spain 180913-02  30T 351628 4781356 NA","Spain","Cantabrian Mountains"
"Population 495","Spain 210812-01  30T 351075 4782733 NA","Spain","Cantabrian Mountains"
"Population 82","Spain 210812-03  30T 351075 4782733 NA","Spain","Cantabrian Mountains"
"Population 500","Spain 210812-04  30T 351075 4782733 NA","Spain","Cantabrian Mountains"
"Population 166","Spain 220812-09  30T 349822 4778962 NA","Spain","Cantabrian Mountains"
"Population 306","Spain 220812-13  30T 349976 4778864 NA","Spain","Cantabrian Mountains"
"Population 441","Spain 230812-02  30T 347003 4774338 NA","Spain","Cantabrian Mountains"
"Population 304","Spain 230812-07  30T 345477 4774356 NA","Spain","Cantabrian Mountains"
"Population 256","Spain 230812-08  30T 345477 4774356 NA","Spain","Cantabrian Mountains"
"Population 404","Spain 280812-10  30T 351719 4784494 NA","Spain","Cantabrian Mountains"
"Population 481","Spain 280813-04  30T 340203 4773152 NA","Spain","Cantabrian Mountains"
"Population 62","Spain 290812-02  30T 351457 4785493 NA","Spain","Cantabrian Mountains"
"Population 301","Spain 290812-04  30T 351595 4783197 NA","Spain","Cantabrian Mountains"
"Population 266","Spain 300813-01  29T 708700 4694227 NA","Spain","Cantabrian Mountains"
"Population 262","Spain 310712-05  30T 339000 4781000 NA","Spain","Cantabrian Mountains"
"Population 100","Spain 310712-06  30T 339000 4781000 NA","Spain","Cantabrian Mountains"
"Population 559","Spain 310713-03  29T 684469 4681945 NA","Spain","Cantabrian Mountains"
"Population 257","Spain NA NA NA","Spain","Enscobase"
"Population 70","Sweden NA NA NA","Sweden","Enscobase"
"Population 40","Switzerland NA NA NA","Switzerland","Enscobase"
"Population 53","Turkey NA NA NA","Turkey","Enscobase"
"Population 15","United-Kingdom NA NA NA","United-Kingdom","Enscobase"
