"TPLName","Region","Source","Accession","Scarification","GA3","Stratification","Light","Alternating","Tmean","Temperature","Germinated","Germinable","Sown"
"Acaena pinnatifida","Central Andes","Cavieres","Chile Chile -33.352035 -70.315812","N","N","Cold","Y","Y",7.5,"5C",46,255,255
"Acaena pinnatifida","Central Andes","Cavieres","Chile Chile -33.352035 -70.315812","N","N","Cold","Y","Y",15,"15C",3,75,75
"Acaena pinnatifida","Central Andes","Cavieres","Chile Chile -33.352035 -70.315812","N","N","None","Y","Y",7.5,"5C",69,240,240
"Achillea atrata","Northern Alps","Rosbakh","Germany NA 47.579907 12.877855","N","N","None","Y","Y",6.66666666666667,"5C",17,154,200
"Achillea atrata","Northern Alps","Rosbakh","Germany NA 47.579907 12.877855","N","N","None","Y","Y",10.6666666666667,"10C",46,128,200
"Achillea atrata","Northern Alps","Rosbakh","Germany NA 47.579907 12.877855","N","N","None","Y","Y",14.6666666666667,"15C",135,148,200
"Achillea atrata","Northern Alps","Rosbakh","Germany NA 47.579907 12.877855","N","N","None","Y","Y",18.6666666666667,"20C",147,151,200
"Achillea atrata","Northern Alps","Rosbakh","Germany NA 47.579907 12.877855","N","N","None","Y","Y",22.6666666666667,"25C",170,172,200
"Achillea atrata","Northern Alps","Rosbakh","Germany NA 47.579907 12.877855","N","N","None","Y","Y",26.6666666666667,"25C",160,163,200
"Achillea atrata","Southern Alps","Mondoni","Italy 37SO NA NA","N","Y","None","Y","Y",20,"20C",55,55,80
"Achillea clavennae","Southern Alps","Mondoni","Italy 117 AQ NA NA","N","N","None","Y","N",25,"25C",13,20,30
"Achillea clavennae","Southern Alps","Mondoni","Italy 117 AQ NA NA","N","N","None","Y","Y",25,"25C",28,28,30
"Achillea clavennae","Southern Alps","Mondoni","Italy 117 AQ NA NA","N","Y","None","Y","N",25,"25C",17,20,30
"Achillea clavennae","Southern Alps","Mondoni","Italy 117 AQ NA NA","N","Y","None","Y","Y",25,"25C",26,28,30
"Achillea clavennae","Southern Alps","Mondoni","Italy BG188 NA NA","N","Y","None","Y","Y",20,"20C",27,27,30
"Achillea clavennae","Southern Alps","Mondoni","Italy BG344 NA NA","N","N","Cold","Y","N",20,"20C",30,30,30
"Achillea clavennae","Southern Alps","Mondoni","Italy SO605 NA NA","N","N","Cold","Y","N",20,"20C",27,27,50
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_203568 NA NA","N","N","None","Y","N",10,"10C",2,20,20
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_203568 NA NA","N","N","None","Y","N",15,"15C",7,20,20
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_203568 NA NA","N","N","None","Y","N",25,"25C",15,17,17
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_206879 NA NA","N","N","None","Y","N",10,"10C",1,19,19
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_206879 NA NA","N","N","None","Y","N",15,"15C",7,15,15
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_206879 NA NA","N","N","None","Y","N",20,"20C",15,20,20
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_206879 NA NA","N","N","None","Y","N",25,"25C",18,18,18
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_206880 NA NA","N","N","None","Y","N",10,"10C",2,20,20
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_206880 NA NA","N","N","None","Y","N",15,"15C",12,19,19
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_206880 NA NA","N","N","None","Y","N",25,"25C",18,20,20
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_207153 NA NA","N","N","None","Y","N",15,"15C",6,46,46
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy K_207153 NA NA","N","N","None","Y","N",25,"25C",71,93,93
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_BS285 NA NA","N","N","None","Y","N",20,"20C",30,30,30
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO066 NA NA","N","N","None","Y","N",20,"20C",29,29,29
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO231 NA NA","N","N","None","Y","N",15,"15C",7,28,28
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO231 NA NA","N","N","None","Y","N",20,"20C",46,58,58
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO231 NA NA","N","N","None","Y","Y",7.5,"5C",4,29,29
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO231 NA NA","N","N","None","Y","Y",15,"15C",9,28,28
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO231 NA NA","N","N","None","Y","Y",20,"20C",20,26,26
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO286 NA NA","N","Y","None","Y","Y",20,"20C",22,22,22
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO288 NA NA","N","Y","None","Y","Y",15,"15C",12,23,23
"Achillea erba-rotta","Enscobase: Italy","Enscobase","Italy PAV_SO327 NA NA","N","Y","None","Y","Y",15,"15C",19,25,25
"Achillea erba-rotta","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","Cold","Y","Y",10,"10C",60,60,60
"Achillea erba-rotta","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","Cold","Y","Y",20,"20C",60,60,60
"Achillea erba-rotta","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","None","N","N",0,"0C",0,60,60
"Achillea erba-rotta","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","None","Y","Y",10,"10C",3,60,60
"Achillea erba-rotta","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","None","Y","Y",20,"20C",52,60,60
"Achillea erba-rotta","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","Y","None","Y","Y",20,"20C",59,60,60
"Achillea erba-rotta","Southern Alps","Mondoni","Italy 70 AQ NA NA","N","N","None","Y","N",25,"25C",11,24,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy 70 AQ NA NA","N","N","None","Y","Y",25,"25C",20,29,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy 70 AQ NA NA","N","Y","None","Y","N",25,"25C",21,22,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy 70 AQ NA NA","N","Y","None","Y","Y",25,"25C",115,126,130
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO066 NA NA","N","N","Cold","Y","N",20,"20C",29,29,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","Cold","Y","N",15,"15C",30,30,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","Cold","Y","N",20,"20C",56,60,60
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","Cold","Y","Y",7.5,"5C",7,28,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","Cold","Y","Y",15,"15C",26,26,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","Cold","Y","Y",20,"20C",30,30,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","None","Y","N",15,"15C",7,28,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","None","Y","N",20,"20C",18,28,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","None","Y","Y",7.5,"5C",4,29,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","None","Y","Y",15,"15C",9,28,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO231 NA NA","N","N","None","Y","Y",20,"20C",20,26,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO286 NA NA","N","N","Cold","Y","N",20,"20C",44,47,50
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO286 NA NA","N","Y","None","Y","Y",20,"20C",22,22,30
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO288 NA NA","N","Y","None","Y","Y",15,"15C",12,23,25
"Achillea erba-rotta","Southern Alps","Mondoni","Italy SO327 NA NA","N","Y","None","Y","Y",15,"15C",19,25,25
"Achillea nana","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","Cold","Y","Y",10,"10C",98,120,120
"Achillea nana","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","Cold","Y","Y",20,"20C",112,120,120
"Achillea nana","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","None","N","N",0,"0C",0,60,60
"Achillea nana","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","None","Y","Y",10,"10C",2,60,60
"Achillea nana","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","N","None","Y","Y",20,"20C",23,60,60
"Achillea nana","Southern Alps","Tudela","Italy Val Viola Dosde and Passo dello Stelvi 46 10","N","Y","None","Y","Y",20,"20C",22,60,60
"Aciphylla glacialis","Australian Alps","Satyanti","Australia 782521 NA NA","N","N","None","Y","Y",20,"20C",0,65,75
"Aciphylla glacialis","Australian Alps","Satyanti","Australia 782521 NA NA","N","N","Warm","Y","Y",20,"20C",0,75,75
"Aciphylla glacialis","Australian Alps","Satyanti","Australia 782521 NA NA","N","Y","None","Y","Y",20,"20C",29,51,75
"Aciphylla glacialis","Australian Alps","Satyanti","Australia 792173 NA NA","N","N","None","Y","Y",20,"20C",0,67,75
"Aciphylla glacialis","Australian Alps","Satyanti","Australia 792173 NA NA","N","Y","None","Y","Y",20,"20C",27,47,75
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","N",10,"10C",138,262,300
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","N",15,"15C",117,249,300
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","N",20,"20C",93,242,300
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","N",25,"25C",129,210,300
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","Y",15,"15C",47,217,250
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",2.5,"0C",85,88,100
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",5,"5C",42,104,125
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",10,"10C",0,85,100
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",15,"15C",0,82,100
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",20,"20C",0,80,100
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",25,"25C",9,71,100
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","Y",12.5,"10C",0,112,125
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","Y",15,"15C",0,106,125
"Aciphylla glacialis","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","Y","None","Y","Y",15,"15C",49,107,125
"Aciphylla glacialis","Australian Alps","Venn","Australia Bogong 04 NA NA","N","N","None","N","N",2,"0C",93,200,200
"Aciphylla glacialis","Australian Alps","Venn","Australia Bogong 05 NA NA","N","N","None","N","N",2,"0C",57,200,200
"Aciphylla glacialis","Australian Alps","Venn","Australia Buller 04 NA NA","N","N","None","N","N",2,"0C",142,198,198
"Aciphylla glacialis","Australian Alps","Venn","Australia Buller 05 NA NA","N","N","None","N","N",2,"0C",176,200,200
"Aciphylla glacialis","Australian Alps","Venn","Australia Hotham 04 NA NA","N","N","None","N","N",2,"0C",191,200,200
"Aciphylla glacialis","Australian Alps","Venn","Australia Hotham 05 NA NA","N","N","None","N","N",2,"0C",188,200,200
"Aciphylla glacialis","Australian Alps","Venn","Australia Howitt 04 NA NA","N","N","None","N","N",2,"0C",145,200,200
"Aciphylla glacialis","Australian Alps","Venn","Australia KB 04 NA NA","N","N","None","N","N",2,"0C",165,199,199
"Aciphylla glacialis","Australian Alps","Venn","Australia Magdala NA NA","N","N","None","N","N",2,"0C",146,200,200
"Aciphylla glacialis","Australian Alps","Venn","Australia Spec 04 NA NA","N","N","None","N","N",2,"0C",74,200,200
"Aciphylla simplicifolia","Australian Alps","Satyanti","Australia 792163 NA NA","N","N","None","Y","Y",20,"20C",4,75,75
"Aciphylla simplicifolia","Australian Alps","Satyanti","Australia 792163 NA NA","N","N","Warm","Y","Y",20,"20C",0,75,75
"Aciphylla simplicifolia","Australian Alps","Satyanti","Australia 792163 NA NA","N","Y","None","Y","Y",20,"20C",36,54,75
"Aciphylla simplicifolia","Australian Alps","Satyanti","Australia 792204 NA NA","N","N","None","Y","Y",20,"20C",0,56,75
"Aciphylla simplicifolia","Australian Alps","Satyanti","Australia 792204 NA NA","N","Y","None","Y","Y",20,"20C",17,42,75
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","N",10,"10C",97,290,300
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","N",15,"15C",78,298,300
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","N",20,"20C",36,289,300
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","N",25,"25C",36,273,300
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","Y",12.5,"10C",74,289,300
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","Cold","Y","Y",15,"15C",51,293,300
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",2.5,"0C",63,98,100
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",10,"10C",0,97,100
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",15,"15C",0,98,100
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",20,"20C",0,94,100
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","N",25,"25C",0,92,100
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","Y",12.5,"10C",0,97,100
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","N","None","Y","Y",15,"15C",0,96,100
"Aciphylla simplicifolia","Australian Alps","Sommerville","Australia Kosciusko National Park NA NA","N","Y","None","Y","Y",15,"15C",25,94,100
"Aconitum brunneum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Aconitum brunneum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Aconitum brunneum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,900
"Aconitum bucovinense","Enscobase: Poland","Enscobase","Poland WARS_050/03 NA NA","N","Y","None","Y","Y",21.66666667,"20C",130,500,500
"Aconitum bucovinense","Enscobase: Poland","Enscobase","Poland WARS_051/03 NA NA","N","Y","None","Y","Y",21.66666667,"20C",190,500,500
"Aconitum bucovinense","Enscobase: Poland","Enscobase","Poland WARS_052/03 NA NA","N","Y","None","Y","Y",21.66666667,"20C",100,500,500
"Aconitum bucovinense","Enscobase: Poland","Enscobase","Poland WARS_079/04 NA NA","N","Y","None","Y","Y",21.66666667,"20C",225,500,500
"Aconitum lasiocarpum","Enscobase: Poland","Enscobase","Poland WARS_053/03 NA NA","N","Y","None","Y","Y",21.66666667,"20C",250,500,500
"Aconitum lasiocarpum","Enscobase: Poland","Enscobase","Poland WARS_080/04 NA NA","N","Y","None","Y","Y",21.66666667,"20C",210,500,500
"Aconitum lasiocarpum","Enscobase: Poland","Enscobase","Poland WARS_081/04 NA NA","N","Y","None","Y","Y",21.66666667,"20C",150,500,500
"Aconitum lycoctonum","Enscobase: Austria","Enscobase","Austria B_AT-3005501 NA NA","N","N","None","Y","N",22,"20C",0,20,20
"Aconitum lycoctonum","Enscobase: France","Enscobase","France B_FR-2587202 NA NA","N","N","None","Y","N",22,"20C",0,20,20
"Aconitum lycoctonum","Enscobase: Norway","Enscobase","Norway K_16841 NA NA","N","N","None","Y","N",5,"5C",2,20,20
"Aconitum lycoctonum","Enscobase: Norway","Enscobase","Norway K_16841 NA NA","N","Y","None","Y","Y",13.33333333,"15C",20,20,20
"Aconitum lycoctonum","Enscobase: Norway","Enscobase","Norway K_16841 NA NA","N","Y","None","Y","Y",15,"15C",12,20,20
"Aconitum lycoctonum","Enscobase: Norway","Enscobase","Norway K_16841 NA NA","N","Y","None","Y","Y",16,"15C",60,70,70
"Aconitum tanguticum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Aconitum tanguticum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Acronema chinense","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Adenophora himalayana","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Adenophora himalayana","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Adenophora himalayana","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Adenophora liliifolioides","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Adenostyles alliariae","Enscobase: Slovakia","Enscobase","Slovakia K_430898 NA NA","N","N","None","Y","N",15,"15C",6,13,13
"Adenostyles alliariae","Enscobase: Slovakia","Enscobase","Slovakia K_430898 NA NA","N","N","None","Y","N",20,"20C",9,17,17
"Adenostyles alliariae","Enscobase: Slovakia","Enscobase","Slovakia K_430898 NA NA","N","N","None","Y","Y",15,"15C",10,18,18
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco24 -39.909752 -72.03853","N","N","None","Y","Y",16,"15C",79,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco24 -39.909752 -72.03853","N","N","Warm","Y","Y",16,"15C",117,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco26 -39.909752 -72.03853","N","N","None","Y","Y",16,"15C",86,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco26 -39.909752 -72.03853","N","N","Warm","Y","Y",16,"15C",116,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco33 -39.909752 -72.03853","N","N","None","Y","Y",16,"15C",84,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco33 -39.909752 -72.03853","N","N","Warm","Y","Y",16,"15C",106,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco35 -39.909752 -72.03853","N","N","None","Y","Y",16,"15C",68,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco35 -39.909752 -72.03853","N","N","Warm","Y","Y",16,"15C",105,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco38 -39.909752 -72.03853","N","N","None","Y","Y",16,"15C",84,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco38 -39.909752 -72.03853","N","N","Warm","Y","Y",16,"15C",114,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco40 -39.909752 -72.03853","N","N","None","Y","Y",16,"15C",72,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco40 -39.909752 -72.03853","N","N","Warm","Y","Y",16,"15C",108,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco58 -39.909752 -72.03853","N","N","None","Y","Y",16,"15C",76,120,120
"Adesmia emarginata","Central Andes","Briceño","Chile Mocho-Choshuenco58 -39.909752 -72.03853","N","N","Warm","Y","Y",16,"15C",115,120,120
"Adesmia longipes","Central Andes","Briceño","Chile Mocho-Choshuenco20 -39.909752 -72.03853","N","N","None","Y","Y",16,"15C",41,120,120
"Adesmia longipes","Central Andes","Briceño","Chile Mocho-Choshuenco20 -39.909752 -72.03853","N","N","Warm","Y","Y",16,"15C",92,120,120
"Adesmia radicifolia","Central Andes","Cavieres","Chile Chile -33.352035 -70.315812","N","N","Cold","Y","Y",7.5,"5C",245,255,255
"Adesmia radicifolia","Central Andes","Cavieres","Chile Chile -33.352035 -70.315812","N","N","Cold","Y","Y",15,"15C",72,75,75
"Adesmia radicifolia","Central Andes","Cavieres","Chile Chile -33.352035 -70.315812","N","N","None","Y","Y",7.5,"5C",206,240,240
"Agropyron velutinum","Australian Alps","Satyanti","Australia 783423 NA NA","N","N","None","Y","Y",20,"20C",65,70,75
"Agropyron velutinum","Australian Alps","Satyanti","Australia 783423 NA NA","N","Y","None","Y","Y",20,"20C",20,36,75
"Agrostis alpina","Northern Alps","Rosbakh","Germany NA 47.545598 12.819145","N","N","None","Y","Y",6.66666666666667,"5C",0,200,200
"Agrostis alpina","Northern Alps","Rosbakh","Germany NA 47.545598 12.819145","N","N","None","Y","Y",10.6666666666667,"10C",9,149,200
"Agrostis alpina","Northern Alps","Rosbakh","Germany NA 47.545598 12.819145","N","N","None","Y","Y",14.6666666666667,"15C",21,132,200
"Agrostis alpina","Northern Alps","Rosbakh","Germany NA 47.545598 12.819145","N","N","None","Y","Y",18.6666666666667,"20C",35,137,200
"Agrostis alpina","Northern Alps","Rosbakh","Germany NA 47.545598 12.819145","N","N","None","Y","Y",22.6666666666667,"25C",41,116,200
"Agrostis alpina","Northern Alps","Rosbakh","Germany NA 47.545598 12.819145","N","N","None","Y","Y",26.6666666666667,"25C",68,131,200
"Ajania fruticulosa","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Ajania fruticulosa","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Ajania salicifolia","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Ajania salicifolia","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","N",15,"15C",NA,NA,150
"Ajania salicifolia","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","Y",15,"15C",NA,NA,300
"Ajania tenuifolia","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Ajania tenuifolia","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Ajania tenuifolia","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Ajania tenuifolia","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","N",15,"15C",NA,NA,150
"Ajania tenuifolia","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","Y",15,"15C",NA,NA,300
"Alchemilla alpina","Enscobase: United-Kingdom","Enscobase","United-Kingdom K_130291 NA NA","N","N","None","Y","N",15,"15C",0,37,37
"Alchemilla alpina","Enscobase: United-Kingdom","Enscobase","United-Kingdom K_130291 NA NA","Y","N","None","Y","N",15,"15C",15,37,37
"Aletris glandulifera","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Allium chrysanthum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Allium chrysanthum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Allium chrysocephalum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Allium cyaneum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Allium cyaneum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Allium cyaneum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Allium cyaneum","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","N",15,"15C",NA,NA,150
"Allium cyaneum","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","Y",15,"15C",NA,NA,300
"Allium cyathophorum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Allium prattii","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Allium prattii","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Allium przewalskianum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Allium przewalskianum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Allium przewalskianum","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Allium rude","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,150
"Allium rude","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","N",15,"15C",NA,NA,150
"Allium rude","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","Y",15,"15C",NA,NA,300
"Allium sikkimense","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Allium sikkimense","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Allium sikkimense","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","Y","Y",12.5,"10C",NA,NA,750
"Allium victorialis","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",12.5,"10C",NA,NA,150
"Allium victorialis","Qinghai-Tibet Plateau","Bu","China NA 35 102","N","N","None","N","Y",17.5,"15C",NA,NA,150
"Allium victorialis","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","N",15,"15C",NA,NA,150
"Allium victorialis","Qinghai-Tibet Plateau","Liu","China NA 35 102","N","N","None","Y","Y",15,"15C",NA,NA,300
"Allium victorialis","Southern Alps","Mondoni","Italy SO070 NA NA","N","Y","None","Y","Y",20,"20C",31,38,50
