"TPLName","Alpine","Plant category","Life form","Lifespan","Reproduction frequency","Dormancy","Embryo","Seed.mass","Source","Macroregion","Region","Accession","Dish","Scarification","GA3","Stratification","Stratification_Y_N","Light","Alternating","Tmean","Tdif","Temperature","Sown","Germinated","Germinable","MGT","MGR","UNC","SYN"
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","Cold","Y","Y","Y",15,10,"15C","20",2,20,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","15","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",14,16,NA,NA,NA,NA
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia Speculation NA NA","14","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",4,17,NA,NA,NA,NA
"Poa hiemata","Generalist","Grass","H","perennial","polycarp",NA,0.12,"0.356","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","Cold","Y","Y","N",20,0,"20C","20",5,5,NA,NA,NA,NA
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","Cold","Y","Y","Y",15,10,"15C","20",1,20,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","Cold","Y","Y","N",25,0,"25C","20",1,10,NA,NA,NA,NA
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia KB2 NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",5,14,"34.6","2.8901734104046201E-2","1.92192809488736","0.1"
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","7","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",15,20,"11.266666666666699","8.8757396449704096E-2","1.98989809546429","0.29523809523809502"
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","Y","None","N","Y","Y",15,10,"15C","20",5,19,NA,NA,NA,NA
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","2","N","N","Cold","Y","Y","N",20,0,"20C","20",0,20,NA,NA,NA,NA
"Baeckea gunniana","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.746","Satyanti","Australia","Australian Alps","Australia 866373 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","25",13,25,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","2","N","N","Cold","Y","Y","N",25,0,"25C","20",16,17,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","Cold","Y","Y","Y",15,10,"15C","25",0,19,NA,NA,NA,NA
"Carex echinata","Generalist","Grass","H","perennial","polycarp","PD",0.06,"0.83","Satyanti","Australia","Australian Alps","Australia 747974 NA NA","1","N","Y","None","N","Y","Y",20,10,"20C","25",15,25,"20.533333333333299","4.8701298701298697E-2","1.5655962303576","0.29523809523809502"
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","Cold","Y","Y","N",20,0,"20C","20",8,10,NA,NA,NA,NA
"Poa hiemata","Generalist","Grass","H","perennial","polycarp",NA,0.12,"0.356","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","Cold","Y","Y","N",25,0,"25C","20",14,14,NA,NA,NA,NA
"Poa hiemata","Generalist","Grass","H","perennial","polycarp",NA,0.12,"0.356","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","Cold","Y","Y","Y",12.5,15,"10C","20",13,13,NA,NA,NA,NA
"Erigeron bellidioides","Generalist","Herb","H","perennial","polycarp",NA,1,"0.6972","Satyanti","Australia","Australian Alps","Australia 770467 NA NA","1","N","N","None","N","Y","Y",20,10,"20C","25",14,14,"18.5","5.4054054054054099E-2","2.69951385031997","9.8901098901098897E-2"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Buller NA NA","10","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,20,"8.4444444444444393","0.118421052631579","1.80163664127061","0.26143790849673199"
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","Cold","Y","Y","N",15,0,"15C","20",11,18,NA,NA,NA,NA
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","Cold","Y","Y","N",20,0,"20C","20",12,19,NA,NA,NA,NA
"Microseris lanceolata","Generalist","Herb","H","perennial","polycarp","PD",1,"2.08","Satyanti","Australia","Australian Alps","Australia 770050 NA NA","3","N","Y","None","N","Y","Y",20,10,"20C","25",20,25,"13.3","7.5187969924811998E-2","0.991760148180973","0.58421052631578996"
"Brachyscome barkerae","Strict","Herb","H","perennial","polycarp",NA,1,"0.37640400000000002","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","None","N","Y","Y",15,10,"15C","20",15,19,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Howitt NA NA","14","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",16,20,NA,NA,NA,NA
"Brachyscome barkerae","Strict","Herb","H","perennial","polycarp",NA,1,"0.37640400000000002","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","2","N","N","None","N","Y","N",15,0,"15C","20",7,19,NA,NA,NA,NA
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","Cold","Y","Y","N",15,0,"15C","20",10,19,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Howitt NA NA","4","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",18,20,"9.8888888888888893","0.101123595505618","1.39214722366453","0.37254901960784298"
"Wahlenbergia gloriosa","Generalist","Herb","CH","perennial","polycarp",NA,0.22,"0.046","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","None","N","Y","N",10,0,"10C","20",0,14,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Buller NA NA","8","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,20,"13","7.69230769230769E-2","1.95281953111478","0.27500000000000002"
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","7","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",15,20,NA,NA,NA,NA
"Callistemon pityoides","Generalist","Woody","PH","perennial","polycarp","PD",1,"0.25","Satyanti","Australia","Australian Alps","Australia 813602 NA NA","2","N","Y","None","N","Y","Y",20,10,"20C","125",7,125,"7","0.14285714285714299","0","1"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bogong NA NA","16","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",19,20,NA,NA,NA,NA
"Gentianella muelleriana","Strict","Herb","H","perennial","polycarp",NA,0.21,"0.4126","Satyanti","Australia","Australian Alps","Australia 748565 NA NA","3","N","Y","None","N","Y","Y",20,10,"20C","25",10,14,"18.2","5.4945054945054903E-2","1.35677964944704","0.46666666666666701"
"Gentianella muelleriana","Strict","Herb","H","perennial","polycarp",NA,0.21,"0.4126","Satyanti","Australia","Australian Alps","Australia 792208 NA NA","2","N","Y","None","N","Y","Y",20,10,"20C","25",19,25,"14.3684210526316","6.95970695970696E-2","1.57797720011724","0.35672514619883"
"Brachyscome stolonifera","Strict","Herb","H","perennial","polycarp",NA,1,"0.37640400000000002","Satyanti","Australia","Australian Alps","Australia 792161 NA NA","3","N","N","None","N","Y","Y",20,10,"20C","25",2,3,"10.5","9.5238095238095205E-2","1","0"
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Satyanti","Australia","Australian Alps","Australia 792163 NA NA","1","N","N","Warm","Y","Y","Y",20,10,"20C","25",0,25,"NA","NA","0","NA"
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia McKay NA NA","6","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",3,20,"28","3.5714285714285698E-2","0.91829583405449","0.33333333333333298"
"Pimelea ligustrina","Generalist","Woody","NP","perennial","polycarp",NA,0.99,"3.2015","Satyanti","Australia","Australian Alps","Australia 808045 NA NA","1","N","N","None","N","Y","Y",20,10,"20C","25",0,25,"NA","NA","0","NA"
"Pimelea ligustrina","Generalist","Woody","NP","perennial","polycarp",NA,0.99,"3.2015","Satyanti","Australia","Australian Alps","Australia 808045 NA NA","3","N","Y","None","N","Y","Y",20,10,"20C","25",0,25,"NA","NA","0","NA"
"Gentianella muelleriana","Strict","Herb","H","perennial","polycarp",NA,0.21,"0.4126","Satyanti","Australia","Australian Alps","Australia 748565 NA NA","3","N","N","Warm","Y","Y","Y",20,10,"20C","25",0,25,"NA","NA","0","NA"
"Plantago glacialis","Strict","Herb","H","perennial","polycarp",NA,0.72,"0.91878860759493697","Satyanti","Australia","Australian Alps","Australia 797747 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","25",22,22,"4.8181818181818201","0.20754716981132099","0.994030211476956","0.48051948051948101"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Stirling NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",14,20,NA,NA,NA,NA
"Plantago muelleri","Strict","Herb","H","perennial","polycarp",NA,0.72,"0.91878860759493697","Satyanti","Australia","Australian Alps","Australia 770056 NA NA","2","N","Y","None","N","Y","Y",20,10,"20C","10",10,10,"7.7","0.12987012987013","0.468995593589281","0.8"
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Buller NA NA","4","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",17,17,NA,NA,NA,NA
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","Cold","Y","Y","N",15,0,"15C","20",9,19,NA,NA,NA,NA
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","Cold","Y","Y","N",10,0,"10C","20",8,19,NA,NA,NA,NA
"Xerochrysum subundulatum","Generalist","Herb","CH","perennial","polycarp",NA,1,"0.5958","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","Cold","Y","Y","Y",15,10,"15C","20",18,18,NA,NA,NA,NA
"Leucochrysum alpinum","Generalist","Herb","H","perennial","polycarp",NA,1,"0.91544999999999999","Satyanti","Australia","Australian Alps","Australia 9609399 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","10",0,5,"NA","NA","0","NA"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bogong NA NA","15","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",19,19,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bogong NA NA","2","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,19,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Hotham NA NA","13","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",20,20,"22.461538461538499","4.4520547945205498E-2","1.8843135277998","0.230769230769231"
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Buller NA NA","6","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",20,20,"15.9","6.2893081761006303E-2","0.881290899230693","0.557894736842105"
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","2","N","N","Cold","Y","Y","N",15,0,"15C","20",15,20,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Bogong NA NA","15","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",14,17,"14.0714285714286","7.1065989847715699E-2","1.80920003269781","0.25274725274725302"
"Brachyscome obovata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.37640400000000002","Satyanti","Australia","Australian Alps","Australia 797826 NA NA","1","N","N","None","N","Y","Y",20,10,"20C","25",14,14,"19.5","5.1282051282051301E-2","0.74959525725948","0.63736263736263699"
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Stirling NA NA","16","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,19,NA,NA,NA,NA
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Bogong NA NA","4","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",17,20,"10.0588235294118","9.9415204678362595E-2","1.57398896165031","0.375"
"Drosera arcturi","Strict","Herb","H","perennial","polycarp",NA,0.19,"0.0564","Satyanti","Australia","Australian Alps","Australia 786948 NA NA","3","N","N","None","N","Y","Y",20,10,"20C","25",0,23,"NA","NA","0","NA"
"Drosera arcturi","Strict","Herb","H","perennial","polycarp",NA,0.19,"0.0564","Satyanti","Australia","Australian Alps","Australia 792186 NA NA","3","N","N","None","N","Y","Y",20,10,"20C","25",0,25,"NA","NA","0","NA"
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","None","N","Y","N",5,0,"5C","20",19,19,NA,NA,NA,NA
"Isolepis crassiuscula","Generalist","Grass","H","perennial","polycarp",NA,0.11,"0.2728","Satyanti","Australia","Australian Alps","Australia 870756 NA NA","3","N","N","None","N","Y","Y",20,10,"20C","25",6,16,"18.6666666666667","5.3571428571428603E-2","0.91829583405449","0.46666666666666701"
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","None","N","Y","N",15,0,"15C","20",11,19,NA,NA,NA,NA
"Xerochrysum subundulatum","Generalist","Herb","CH","perennial","polycarp",NA,1,"0.5958","Venn","Australia","Australian Alps","Australia Speculation NA NA","15","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",16,17,"11.375","8.7912087912087905E-2","0.337290066617014","0.875"
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","Cold","Y","Y","N",25,0,"25C","20",4,19,NA,NA,NA,NA
"Epacris celata","Generalist","Woody","NP","perennial","polycarp",NA,0.27,"5.2142424242424198E-2","Satyanti","Australia","Australian Alps","Australia 866367 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","25",10,24,"49","2.04081632653061E-2","1.76096404744368","0.266666666666667"
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Howitt NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",18,18,"14.8888888888889","6.7164179104477598E-2","1.94553055603633","0.28104575163398698"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Bluff NA NA","11","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",17,20,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","None","N","Y","Y",15,10,"15C","25",0,22,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia McKay NA NA","14","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",6,20,"7.5","0.133333333333333","1.45914791702724","0.266666666666667"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Hotham NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",11,20,"9.1818181818181799","0.10891089108910899","1.82306798227366","0.236363636363636"
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","Cold","Y","Y","N",25,0,"25C","20",2,15,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","None","N","Y","Y",12.5,15,"10C","25",0,23,NA,NA,NA,NA
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","Cold","Y","Y","N",25,0,"25C","20",12,19,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","None","N","Y","N",5,0,"5C","25",5,18,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Buller NA NA","14","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",17,20,"7.9411764705882399","0.125925925925926","1.71307884262679","0.30147058823529399"
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","2","N","N","Cold","Y","Y","N",25,0,"25C","20",6,18,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","Cold","Y","Y","N",25,0,"25C","20",14,17,NA,NA,NA,NA
"Tasmannia xerophila","Generalist","Woody","NP","perennial","polycarp",NA,0.001,"28.85","Satyanti","Australia","Australian Alps","Australia 792230 NA NA","3","N","N","None","N","Y","Y",20,10,"20C","25",0,14,"NA","NA","0","NA"
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Stirling NA NA","1","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,20,"20.5625","4.8632218844984802E-2","1.12164076218686","0.50833333333333297"
"Xerochrysum subundulatum","Generalist","Herb","CH","perennial","polycarp",NA,1,"0.5958","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","Cold","Y","Y","Y",12.5,15,"10C","20",16,16,NA,NA,NA,NA
"Plantago glacialis","Strict","Herb","H","perennial","polycarp",NA,0.72,"0.91878860759493697","Satyanti","Australia","Australian Alps","Australia 797747 NA NA","1","N","N","None","N","Y","Y",20,10,"20C","25",24,24,"4.9166666666666696","0.20338983050847501","1.28067212952089","0.434782608695652"
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","None","N","Y","N",15,0,"15C","20",0,20,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","Cold","Y","Y","N",20,0,"20C","20",0,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Magdala NA NA","4","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",18,20,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Stirling NA NA","10","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",17,18,"23.294117647058801","4.29292929292929E-2","2.01192092859479","0.29411764705882398"
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Buller NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",19,19,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","None","N","Y","Y",15,10,"15C","25",0,24,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Hotham NA NA","9","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",17,20,"23.411764705882401","4.2713567839195998E-2","1.40208140275603","0.36764705882352899"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Buller NA NA","4","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",15,20,"11.466666666666701","8.7209302325581398E-2","1.5329145639794","0.36190476190476201"
"Chaerophyllum eriopodum","Generalist","Herb","H","annual, perennial","monocarp, polycarp",NA,0.04,"2.45","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","4","N","N","None","N","Y","Y",15,10,"15C","20",4,20,NA,NA,NA,NA
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia KB2 NA NA","2","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",1,20,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","Cold","Y","Y","Y",15,10,"15C","25",0,23,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Hotham NA NA","10","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",17,20,"23.705882352941199","4.2183622828784101E-2","1.49692754611459","0.375"
"Xerochrysum subundulatum","Generalist","Herb","CH","perennial","polycarp",NA,1,"0.5958","Venn","Australia","Australian Alps","Australia Hotham NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",14,19,"10.6428571428571","9.3959731543624206E-2","0.371232326640876","0.85714285714285698"
"Xerochrysum subundulatum","Generalist","Herb","CH","perennial","polycarp",NA,1,"0.5958","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","5","N","N","None","N","Y","N",2.5,0,"0C","20",12,17,NA,NA,NA,NA
"Aciphylla glacialis","Strict","Herb","H","perennial","polycarp",NA,0.05,"5.899","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","1","N","N","Cold","Y","Y","N",15,0,"15C","20",12,18,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Hotham NA NA","16","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",16,17,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Hotham NA NA","8","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",16,20,"24.9375","4.01002506265664E-2","1.76409765557392","0.27500000000000002"
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Stirling NA NA","13","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",19,19,"24.315789473684202","4.11255411255411E-2","2.56507654233637","0.14619883040935699"
"Olearia phlogopappa","Generalist","Woody","NP","perennial","polycarp",NA,1,"0.6016","Venn","Australia","Australian Alps","Australia Speculation NA NA","12","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",5,15,NA,NA,NA,NA
"Luzula acutifolia","Strict","Grass","H","perennial","polycarp",NA,0.1,"0.546","Venn","Australia","Australian Alps","Australia Stirling NA NA","11","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",20,20,NA,NA,NA,NA
"Drosera arcturi","Strict","Herb","H","perennial","polycarp",NA,0.19,"0.0564","Satyanti","Australia","Australian Alps","Australia 786948 NA NA","2","N","N","None","N","Y","Y",20,10,"20C","25",0,23,"NA","NA","0","NA"
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Hotham NA NA","12","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",15,20,NA,NA,NA,NA
"Brachyscome rigidula","Generalist","Herb","H","perennial","polycarp",NA,1,"0.304","Venn","Australia","Australian Alps","Australia Magdala NA NA","9","N","N","None","N","Y","Y",15.8333333333333,10,"15C","20",17,20,NA,NA,NA,NA
"Aciphylla simplicifolia","Generalist","Herb","H","perennial","polycarp",NA,0.04,"5.006","Sommerville","Australia","Australian Alps","Australia Kosciusko National Park NA NA","3","N","N","Cold","Y","Y","Y",12.5,15,"10C","20",2,18,NA,NA,NA,NA
"Epacris glacialis","Strict","Woody","NP","perennial","polycarp",NA,0.27,"0.0356","Venn","Australia","Australian Alps","Australia Single -36.429806 148.344167","5","N","N","None","N","Y","N",26.7,0,"25C","20",0,20,"0","0","0","0"
"Epacris glacialis","Strict","Woody","NP","perennial","polycarp",NA,0.27,"0.0356","Satyanti","Australia","Australian Alps","Australia 748574 NA NA","3","N","N","None","N","Y","Y",20,10,"20C","25",0,25,"NA","NA","0","NA"
"Brachyscome spathulata","Generalist","Herb","H","perennial","polycarp",NA,1,"0.4188","Venn","Australia","Australian Alps","Australia Spion Kopje NA NA","4","N","N","None","N","Y","Y",11.1666666666667,2,"10C","20",15,20,"11.0666666666667","9.0361445783132502E-2","1.79679163198164","0.27619047619047599"
