"Taxon","TPLName","Familia","Alpine","Source","Country"
"Rumex patientia L.","Rumex patientia","Polygonaceae","Lowland","Liu","China"
"Rumex pseudonatronatus","Rumex pseudonatronatus","Polygonaceae","Lowland","Bu","China"
"Rumex pseudonatronatus (Borb.) Borb. ex Murb.","Rumex pseudonatronatus","Polygonaceae","Lowland","Liu","China"
"Salsola collina","Salsola collina","Amaranthaceae","Lowland","Bu","China"
"Salvia flava","Salvia flava","Lamiaceae","Lowland","Bu","China"
"Salvia przewalskii","Salvia przewalskii","Lamiaceae","Lowland","Bu","China"
"Salvia przewalskii Maxim.","Salvia przewalskii","Lamiaceae","Lowland","Liu","China"
"Salvia roborowskii","Salvia roborowskii","Lamiaceae","Lowland","Bu","China"
"Salvia roborowskii Maxim.","Salvia roborowskii","Lamiaceae","Lowland","Liu","China"
"Salvia tricuspis","Salvia tricuspis","Lamiaceae","Lowland","Bu","China"
"Sambucus chinensis Lindl.","Sambucus javanica","Adoxaceae","Lowland","Liu","China"
"Sanguisorba filiformis","Sanguisorba filiformis","Rosaceae","Generalist","Bu","China"
"Sanguisorba officinalis","Sanguisorba officinalis","Rosaceae","Lowland","Bu","China"
"Sanguisorba officinalis","Sanguisorba officinalis","Rosaceae","Lowland","Mondoni","Italy"
"Sanguisorba officinalis L.","Sanguisorba officinalis","Rosaceae","Lowland","Liu","China"
"Saposhnikovia divaricata","Saposhnikovia divaricata","Apiaceae","Lowland","Bu","China"
"Saussurea globosa Chen","Saussurea globosa","Compositae","Strict","Liu","China"
"Saussurea graminea","Saussurea graminea","Compositae","Strict","Bu","China"
"Saussurea hieracioides","Saussurea hieracioides","Compositae","Strict","Bu","China"
"Saussurea hieracioides Hook.f.","Saussurea hieracioides","Compositae","Strict","Liu","China"
"Saussurea iodostegia","Saussurea iodostegia","Compositae","Lowland","Bu","China"
"Saussurea iodostegia Hance","Saussurea iodostegia","Compositae","Lowland","Liu","China"
"Saussurea japonica (Thunb.) DC.","Saussurea japonica","Compositae","Lowland","Liu","China"
"Saussurea kansuensis","Saussurea kansuensis","Compositae","Strict","Bu","China"
"Saussurea macrota","Saussurea macrota","Compositae","Lowland","Bu","China"
"Saussurea macrota Franch.","Saussurea macrota","Compositae","Lowland","Liu","China"
"Saussurea mongolica","Saussurea mongolica","Compositae","Lowland","Bu","China"
"Saussurea neofranchetii","Saussurea neofranchetii","Compositae","Lowland","Bu","China"
"Saussurea nigrescens","Saussurea nigrescens","Compositae","Lowland","Bu","China"
"Saussurea oligantha","Saussurea oligantha","Compositae","Lowland","Bu","China"
"Saussurea pachyneura","Saussurea pachyneura","Compositae","Strict","Bu","China"
"Saussurea parviflora","Saussurea parviflora","Compositae","Lowland","Bu","China"
"Saussurea parviflora (Poir.) DC.","Saussurea parviflora","Compositae","Lowland","Liu","China"
"Saussurea przewalskii","Saussurea przewalskii","Compositae","Strict","Bu","China"
"Saussurea purpurascens","Saussurea purpurascens","Compositae","Lowland","Bu","China"
"Saussurea salicifolia","Saussurea salicifolia","Compositae","Lowland","Bu","China"
"Saussurea stella","Saussurea stella","Compositae","Generalist","Bu","China"
"Saussurea stella Maxim.","Saussurea stella","Compositae","Generalist","Liu","China"
"Saussurea sylvatica","Saussurea sylvatica","Compositae","Generalist","Bu","China"
"Saussurea sylvatica Maxim.","Saussurea sylvatica","Compositae","Generalist","Liu","China"
"Saussurea variiloba","Saussurea variiloba","Compositae","Lowland","Bu","China"
"Saussurea variiloba Ling","Saussurea variiloba","Compositae","Lowland","Liu","China"
"Saxifraga egregia","Saxifraga egregia","Saxifragaceae","Generalist","Bu","China"
"Saxifraga egregia Engl.","Saxifraga egregia","Saxifragaceae","Generalist","Liu","China"
"Saxifraga heleonastes","Saxifraga heleonastes","Saxifragaceae","Strict","Bu","China"
"Saxifraga melanocentra","Saxifraga melanocentra","Saxifragaceae","Strict","Bu","China"
"Saxifraga montana H. Smith","Saxifraga montana","Saxifragaceae","Generalist","Liu","China"
"Saxifraga sinomontana","Saxifraga sinomontana","Saxifragaceae","Generalist","Bu","China"
"Saxifraga tangutica","Saxifraga tangutica","Saxifragaceae","Generalist","Bu","China"
"Schizonepeta multifida (L.) Briq.","Nepeta multifida","Lamiaceae","Lowland","Liu","China"
"Schoenoplectus triqueter","Schoenoplectus triqueter","Cyperaceae","Lowland","Bu","China"
"Scirpus distigmaticus (Kükenth.) Tang et Wang","Trichophorum distigmaticum","Cyperaceae","Generalist","Liu","China"
"Scorzonera austriaca","Scorzonera austriaca","Compositae","Lowland","Bu","China"
"Scorzonera austriaca Willd.","Scorzonera austriaca","Compositae","Lowland","Liu","China"
"Scrofella chinensis","Scrofella chinensis","Plantaginaceae","Lowland","Bu","China"
"Scrofella chinensis Maxim.","Scrofella chinensis","Plantaginaceae","Lowland","Liu","China"
"Scrophularia incisa","Scrophularia incisa","Scrophulariaceae","Lowland","Bu","China"
"Scrophularia incisa Weinm.","Scrophularia incisa","Scrophulariaceae","Lowland","Liu","China"
"Scutellaria baicalensis Georgi","Scutellaria baicalensis","Lamiaceae","Lowland","Liu","China"
"Scutellaria rehderiana","Scutellaria rehderiana","Lamiaceae","Lowland","Bu","China"
"Sedum aizoon","Sedum aizoon","Crassulaceae","Lowland","Bu","China"
"Sedum aizoon L.","Sedum aizoon","Crassulaceae","Lowland","Liu","China"
"Sedum celatum","Sedum celatum","Crassulaceae","Lowland","Bu","China"
"Sedum roseum","Sedum roseum","Crassulaceae","Lowland","Bu","China"
"Sedum sarmentosum","Sedum sarmentosum","Crassulaceae","Lowland","Bu","China"
"Sedum stellariifolium","Sedum stellariifolium","Crassulaceae","Lowland","Bu","China"
"Sedum ulricae","Sedum ulricae","Crassulaceae","Strict","Bu","China"
"Senecio argunensis Turcz.","Jacobaea argunensis","Compositae","Lowland","Liu","China"
"Senecio densiserratus Chang","Senecio densiserratus","Compositae","Lowland","Liu","China"
"Senecio diversipinnus","Senecio diversipinnus","Compositae","Lowland","Bu","China"
"Senecio dubitabilis","Senecio dubitabilis","Compositae","Generalist","Bu","China"
"Senecio dubitabilis C.Jeffrey et Y.L.Chen","Senecio dubitabilis","Compositae","Generalist","Liu","China"
"Senecio flammeus","Senecio flammeus","Compositae","Lowland","Bu","China"
"Senecio thianschanicus","Senecio thianschanicus","Compositae","Generalist","Bu","China"
"Serratula centauroides","Serratula centauroides","Compositae","Lowland","Bu","China"
"Serratula strangulata","Serratula strangulata","Compositae","Lowland","Bu","China"
"Seseli mucronatum","Seseli mucronatum","Apiaceae","Lowland","Bu","China"
"Seseli squarrulosum","Seseli squarrulosum","Apiaceae","Lowland","Bu","China"
"Seseli squarrulosum Shan et Sheh","Seseli squarrulosum","Apiaceae","Lowland","Liu","China"
"Setaria glauca (L.) Beauv.","Pennisetum glaucum","Poaceae","Lowland","Liu","China"
"Setaria viridis","Setaria viridis","Poaceae","Lowland","Bu","China"
"Setaria viridis (L.) Beauv.","Setaria viridis","Poaceae","Lowland","Liu","China"
"Seteria glauca","Pennisetum glaucum","Poaceae","Lowland","Bu","China"
"Sibbaldia procumbens","Sibbaldia procumbens","Rosaceae","Strict","Bu","China"
"Sibbaldia procumbens","Sibbaldia procumbens","Rosaceae","Strict","Rosbakh","Russia"
"Sibbaldia procumbens","Sibbaldia procumbens","Rosaceae","Strict","Mondoni","Italy"
"Sibbaldia procumbens L. var. aphanopetala (Hand.-Mazz.) Yü et Li","Sibbaldia procumbens","Rosaceae","Strict","Liu","China"
"Sibbaldianthe bifurca","Sibbaldianthe bifurca","Rosaceae","Lowland","Bu","China"
"Sibiraea angustata","Sibiraea angustata","Rosaceae","Lowland","Bu","China"
"Siegesbeckia pubescens","Sigesbeckia pubescens","Compositae","Lowland","Bu","China"
"Siegesbeckia pubescens","Sigesbeckia pubescens","Compositae","Lowland","Liu","China"
"Silene aprica","Silene aprica","Caryophyllaceae","Lowland","Bu","China"
"Silene conoidea","Silene conoidea","Caryophyllaceae","Lowland","Bu","China"
"Silene conoidea L.","Silene conoidea","Caryophyllaceae","Lowland","Liu","China"
"Silene fortunei","Silene fortunei","Caryophyllaceae","Lowland","Bu","China"
"Silene fortunei Vis","Silene fortunei","Caryophyllaceae","Lowland","Liu","China"
"Silene gracilicaulis","Silene gracilicaulis","Caryophyllaceae","Lowland","Bu","China"
"Silene gracilicaulis C. L. Tang","Silene gracilicaulis","Caryophyllaceae","Lowland","Liu","China"
"Silene himalayensis","Silene himalayensis","Caryophyllaceae","Generalist","Bu","China"
"Silene pterosperma","Silene pterosperma","Caryophyllaceae","Lowland","Bu","China"
"Silene pterosperma Maxim.","Silene pterosperma","Caryophyllaceae","Lowland","Liu","China"
"Silene repens Patr.","Silene repens","Caryophyllaceae","Lowland","Liu","China"
"Sinacalia tangutica","Sinacalia tangutica","Compositae","Lowland","Bu","China"
"Sinochasea trigyna","Sinochasea trigyna","Poaceae","Strict","Bu","China"
"Sinochasea trigyna Keng","Sinochasea trigyna","Poaceae","Strict","Liu","China"
"Sinopodophyllum hexandrum (Royle) Ying","Sinopodophyllum hexandrum","Berberidaceae","Generalist","Liu","China"
"Sinosenecio euosmus (Hand.-Mazz.) B. Nord.","Sinosenecio euosmus","Compositae","Lowland","Liu","China"
"Sisymbrium heteromallum","Sisymbrium heteromallum","Brassicaceae","Generalist","Bu","China"
"Sisymbrium heteromallum C.A.Mey.","Sisymbrium heteromallum","Brassicaceae","Generalist","Liu","China"
"Smelowskia tibetica","Smelowskia tibetica","Brassicaceae","Strict","Bu","China"
"Solanum hoehnei","Solanum hoehnei","Solanaceae","Lowland","Bu","China"
"Solanum alatum Moench","Solanum nigrum","Solanaceae",NA,"Liu","China"
"Sonchus arvensis","Sonchus arvensis","Compositae","Lowland","Bu","China"
"Sonchus asper","Sonchus asper","Compositae","Lowland","Bu","China"
"Sonchus transcaspicus","Sonchus transcaspicus","Compositae","Lowland","Bu","China"
"Sorosers erysimoides","Soroseris erysimoides","Compositae","Lowland","Liu","China"
"Souliea vaginata (Maxim.) Franch.","Actaea vaginata","Ranunculaceae","Lowland","Liu","China"
"Sphallero carpus","Sphallerocarpus gracilis","Apiaceae","Lowland","Bu","China"
"Sphallerocarpus gracilis","Sphallerocarpus gracilis","Apiaceae","Lowland","Bu","China"
"Sphallerocarpus gracilis (Trevir) K.-Pol.","Sphallerocarpus gracilis","Apiaceae","Lowland","Liu","China"
"Spiraea mongolica","Spiraea mongolica","Rosaceae","Generalist","Bu","China"
"Stachys affinis","Stachys affinis","Lamiaceae","Lowland","Bu","China"
"Stachys aspera","Stachys aspera","Lamiaceae","Lowland","Bu","China"
"Stachys sieboldi Miq.","Stachys affinis","Lamiaceae","Lowland","Liu","China"
"Stellaria aquatica","Stellaria aquatica","Caryophyllaceae","Lowland","Bu","China"
"Stellaria decumbens","Stellaria decumbens","Caryophyllaceae","Strict","Bu","China"
"Stellaria dianthifolia","Stellaria dianthifolia","Caryophyllaceae","Lowland","Bu","China"
"Stellaria dianthifolia Williams","Stellaria dianthifolia","Caryophyllaceae","Lowland","Liu","China"
"Stellaria graminea","Stellaria graminea","Caryophyllaceae","Lowland","Bu","China"
"Stellaria graminea L.","Stellaria graminea","Caryophyllaceae","Lowland","Liu","China"
"Stellaria media","Stellaria media","Caryophyllaceae","Lowland","Bu","China"
"Stellaria neglecta","Stellaria neglecta","Caryophyllaceae","Lowland","Bu","China"
"Stellaria neglecta Weihe ex Fingerh.","Stellaria neglecta","Caryophyllaceae","Lowland","Liu","China"
"Stellaria palustris","Stellaria palustris","Caryophyllaceae","Lowland","Bu","China"
"Stellaria parvi-umvellata","Stellaria parviumbellata","Caryophyllaceae","Lowland","Bu","China"
"Stellaria parviumbellata Y. Z. Zhao","Stellaria parviumbellata","Caryophyllaceae","Lowland","Liu","China"
"Stellaria uda","Stellaria uda","Caryophyllaceae","Generalist","Bu","China"
"Stellera chamaejasme","Stellera chamaejasme","Thymelaeaceae","Lowland","Bu","China"
"Stellera chamaejasme L.","Stellera chamaejasme","Thymelaeaceae","Lowland","Liu","China"
"Stephanachne nigrescens","Stephanachne nigrescens","Poaceae","Strict","Bu","China"
"Stephanachne nigrescens Keng","Stephanachne nigrescens","Poaceae","Strict","Liu","China"
"Stipa aliena","Stipa aliena","Poaceae","Generalist","Bu","China"
"Stipa baicalensis","Stipa baicalensis","Poaceae","Lowland","Bu","China"
"Stipa breviflora","Stipa breviflora","Poaceae","Generalist","Bu","China"
"Stipa bungeana","Stipa bungeana","Poaceae","Lowland","Bu","China"
"Stipa bungeana Trin.","Stipa bungeana","Poaceae","Lowland","Liu","China"
"Stipa capillacea","Stipa capillacea","Poaceae","Generalist","Bu","China"
"Stipa concinna","Stipa concinna","Poaceae","Strict","Bu","China"
"Stipa inebrians","Stipa inebrians","Poaceae","Lowland","Bu","China"
"Stipa pappiformis","Stipa pappiformis","Poaceae","Strict","Bu","China"
"Stipa pekinensis","Stipa pekinensis","Poaceae","Lowland","Bu","China"
"Stipa przewalskyi","Stipa przewalskyi","Poaceae","Lowland","Bu","China"
"Stipa przewalskyi Roshev.","Stipa przewalskyi","Poaceae","Lowland","Liu","China"
"Stipa regeliana","Stipa regeliana","Poaceae","Generalist","Bu","China"
"Stipa sibirica","Stipa sibirica","Poaceae","Lowland","Bu","China"
"Stipa splendens","Stipa splendens","Poaceae","Generalist","Bu","China"
"Swertia bifolia","Swertia bifolia","Gentianaceae","Generalist","Bu","China"
"Swertia bifolia Batal.","Swertia bifolia","Gentianaceae","Generalist","Liu","China"
"Swertia bimaculata","Swertia bimaculata","Gentianaceae","Lowland","Bu","China"
"Swertia bimaculata (Sieb.et Zucc.)Hook.f.et Thoms. ex Clarke ","Swertia bimaculata","Gentianaceae","Lowland","Liu","China"
"Swertia diluta","Swertia diluta","Gentianaceae","Lowland","Bu","China"
"Swertia diluta (Turcz.) Benth. et Hook. f.","Swertia diluta","Gentianaceae","Lowland","Liu","China"
"Swertia erythrosticta Maxim.","Swertia erythrosticta","Gentianaceae","Generalist","Liu","China"
"Swertia franchetiana","Swertia franchetiana","Gentianaceae","Lowland","Bu","China"
"Swertia franchetiana H. Smith","Swertia franchetiana","Gentianaceae","Lowland","Liu","China"
"Swertia tetraptera","Swertia tetraptera","Gentianaceae","Lowland","Bu","China"
"Swertia tetraptera Maxim.","Swertia tetraptera","Gentianaceae","Lowland","Liu","China"
"Swertia wolfgangiana","Swertia wolfgangiana","Gentianaceae","Generalist","Bu","China"
"Taraxacum calanthodium Dahlst.","Taraxacum calanthodium","Compositae","Lowland","Liu","China"
"Taraxacum cdanthodium","Taraxacum calanthodium","Compositae","Lowland","Bu","China"
"Taraxacum maurocarpum","Taraxacum maurocarpum","Compositae","Lowland","Bu","China"
"Taraxacum maurocarpum Dahlst.","Taraxacum maurocarpum","Compositae","Lowland","Liu","China"
"Taraxacum mongolicum","Taraxacum mongolicum","Compositae","Lowland","Bu","China"
"Taraxacum mongolicum Hand.-Mazz. ","Taraxacum mongolicum","Compositae","Lowland","Liu","China"
"Tephroseris rufa","Tephroseris rufa","Compositae","Lowland","Bu","China"
"Thalictrum alpinum","Thalictrum alpinum","Ranunculaceae","Generalist","Bu","China"
"Thalictrum alpinum L. var. elatum Ulbr.","Thalictrum alpinum","Ranunculaceae","Generalist","Liu","China"
"Thalictrum cultratum","Thalictrum cultratum","Ranunculaceae","Lowland","Bu","China"
"Thalictrum macrorhynchum Franch.","Thalictrum macrorhynchum","Ranunculaceae","Lowland","Liu","China"
"Thalictrum minus","Thalictrum minus","Ranunculaceae","Lowland","Bu","China"
"Thalictrum minus L.","Thalictrum minus","Ranunculaceae","Lowland","Liu","China"
"Thalictrum minus L. var. hypoleucum (Sieb.et Zucc.) Miq.","Thalictrum minus","Ranunculaceae","Lowland","Liu","China"
"Thalictrum petaloideum","Thalictrum petaloideum","Ranunculaceae","Lowland","Bu","China"
"Thalictrum przewalskii","Thalictrum przewalskii","Ranunculaceae","Lowland","Bu","China"
"Thalictrum przewalskii Maxim.","Thalictrum przewalskii","Ranunculaceae","Lowland","Liu","China"
"Thalictrum rutifolium","Thalictrum rutifolium","Ranunculaceae","Generalist","Bu","China"
"Thalictrum rutifolium Hook.f. et Thoms.","Thalictrum rutifolium","Ranunculaceae","Generalist","Liu","China"
"Thalictrum uncatum","Thalictrum uncatum","Ranunculaceae","Lowland","Bu","China"
"Thalictrum uncatum Maxim.","Thalictrum uncatum","Ranunculaceae","Lowland","Liu","China"
"Thalictrum. minus","Thalictrum minus","Ranunculaceae","Lowland","Bu","China"
"Thermopsis lanceolata","Thermopsis lanceolata","Leguminosae","Lowland","Bu","China"
"Thermopsis lanceolata R. Br.","Thermopsis lanceolata","Leguminosae","Lowland","Liu","China"
"Thesium refractum C.A.Mey.","Thesium refractum","Santalaceae","Lowland","Liu","China"
"Thlaspi arvense","Thlaspi arvense","Brassicaceae","Lowland","Bu","China"
"Thymus mongolicus","Thymus mongolicus","Lamiaceae","Lowland","Bu","China"
"Thymus mongolicus Ronn.","Thymus michaelis","Lamiaceae","Lowland","Liu","China"
"Tibetia himalaica","Tibetia himalaica","Leguminosae","Strict","Bu","China"
"Tibetia himalaica (Baker) Tsui","Tibetia himalaica","Leguminosae","Strict","Liu","China"
"Tongoloa elata","Tongoloa elata","Apiaceae","Generalist","Bu","China"
"Tongoloa elata Wolff","Tongoloa elata","Apiaceae","Generalist","Liu","China"
"Tongoloa gracilis","Tongoloa gracilis","Apiaceae","Generalist","Bu","China"
"Torilis japonica","Torilis japonica","Apiaceae","Lowland","Bu","China"
"Torilis scabra","Torilis scabra","Apiaceae","Lowland","Bu","China"
"Tragus berteronianus Schult.","Tragus berteronianus","Poaceae","Lowland","Liu","China"
"Trichophorum distigmaticum","Trichophorum distigmaticum","Cyperaceae","Generalist","Bu","China"
"Trichophorum pumilum","Trichophorum pumilum","Cyperaceae","Generalist","Bu","China"
"Triglochin concinna","Triglochin maritima","Juncaginaceae","Generalist","Bu","China"
"Triglochin palustre L.","Triglochin palustris","Juncaginaceae","Generalist","Liu","China"
"Triglochin palustris","Triglochin palustris","Juncaginaceae","Generalist","Bu","China"
"Trigonella foenum-graecum","Trigonella foenum-graecum","Leguminosae","Lowland","Bu","China"
"Tripora divaricata","Tripora divaricata","Lamiaceae","Lowland","Bu","China"
"Trisetum clarkei","Trisetum clarkei","Poaceae","Generalist","Bu","China"
"Trisetum clarkei (Hook. f.) R.R.Stewart","Trisetum clarkei","Poaceae","Generalist","Liu","China"
"Trisetum sibiricum","Trisetum sibiricum","Poaceae","Lowland","Bu","China"
"Trollius farreri","Trollius farreri","Ranunculaceae","Strict","Bu","China"
"Urtica cannabina","Urtica cannabina","Urticaceae","Lowland","Bu","China"
"Urtica hyperborea","Urtica hyperborea","Urticaceae","Strict","Bu","China"
"Urtica triangularis","Urtica triangularis","Urticaceae","Lowland","Bu","China"
"Vaccaria segetalis (Neck.) Garcke","Vaccaria hispanica","Caryophyllaceae","Lowland","Liu","China"
"Valeriana officinalis","Valeriana officinalis","Caprifoliaceae","Lowland","Bu","China"
"Valeriana officinalis L.","Valeriana officinalis","Caprifoliaceae","Lowland","Liu","China"
"Valeriana pseudofficinalis","Valeriana pseudofficinalis","Caprifoliaceae","Lowland","Bu","China"
"Verbena officinalis L.","Verbena officinalis","Verbenaceae","Lowland","Liu","China"
"Veronica anagallis-aquatica","Veronica anagallis-aquatica","Plantaginaceae","Lowland","Bu","China"
"Veronica anagallisaquatica L.","Veronica anagallis-aquatica","Plantaginaceae","Lowland","Liu","China"
"Veronica biloba","Veronica biloba","Plantaginaceae","Lowland","Bu","China"
"Veronica ciliata","Veronica ciliata","Plantaginaceae","Generalist","Bu","China"
"Veronica ciliata Fisch.","Veronica ciliata","Plantaginaceae","Generalist","Liu","China"
"Veronica eriogyne","Veronica eriogyne","Plantaginaceae","Generalist","Bu","China"
"Veronica eriogyne H.Winkl.","Veronica eriogyne","Plantaginaceae","Generalist","Liu","China"
"Veronica rockii","Veronica rockii","Plantaginaceae","Lowland","Bu","China"
"Veronica rockii H.L.Li","Veronica rockii","Plantaginaceae","Lowland","Liu","China"
"Veronica szechuanica","Veronica szechuanica","Plantaginaceae","Generalist","Bu","China"
"Veronica szechuanica Batal.","Veronica szechuanica","Plantaginaceae","Generalist","Liu","China"
"Veronica vandellioides","Veronica vandellioides","Plantaginaceae","Generalist","Bu","China"
"Vicia amoena","Vicia amoena","Leguminosae","Lowland","Bu","China"
"Vicia angustifolia L. ex Reichard","Vicia sativa","Leguminosae","Lowland","Liu","China"
"Vicia cracca","Vicia cracca","Leguminosae","Lowland","Bu","China"
"Vicia cracca L.","Vicia cracca","Leguminosae","Lowland","Liu","China"
"Vicia multicaulis","Vicia multicaulis","Leguminosae","Generalist","Bu","China"
"Vicia multicaulis Ledeb.","Vicia multicaulis","Leguminosae","Generalist","Liu","China"
"Vicia sativa","Vicia sativa","Leguminosae","Lowland","Bu","China"
"Vicia tetrasperma","Vicia tetrasperma","Leguminosae","Lowland","Bu","China"
"Vicia unijuga","Vicia unijuga","Leguminosae","Lowland","Bu","China"
"Vicia unijuga A.Br.","Vicia unijuga","Leguminosae","Lowland","Liu","China"
"Viola bulbosa","Viola bulbosa","Violaceae","Lowland","Bu","China"
"Xanthopappus subacaulis","Xanthopappus subacaulis","Compositae","Lowland","Bu","China"
"Xanthopappus subacaulis C. Winkl.","Xanthopappus subacaulis","Compositae","Lowland","Liu","China"
"Zygophyllum macranthum","Zygophyllum macracanthum","Zygophyllaceae","Lowland","Bu","China"
"Zygophyllum mucronatum Maxim.","Zygophyllum mucronatum","Zygophyllaceae","Lowland","Liu","China"
"Anemone alpina","Anemone alpina","Ranunculaceae","Strict","Enscobase","Poland"
"Bartsia alpina","Bartsia alpina","Orobanchaceae","Generalist","Enscobase","United-Kingdom"
"Bartsia alpina","Bartsia alpina","Orobanchaceae","Generalist","Rosbakh","Germany"
"Bartsia alpina","Bartsia alpina","Orobanchaceae","Generalist","Tudela","Italy"
"Campanula thyrsoides","Campanula thyrsoides","Campanulaceae","Generalist","Enscobase","France"
"Campanula thyrsoides","Campanula thyrsoides","Campanulaceae","Generalist","Mondoni","Italy"
"Dianthus glacialis","Dianthus glacialis","Caryophyllaceae","Strict","Enscobase","Poland"
"Dianthus glacialis","Dianthus glacialis","Caryophyllaceae","Strict","Mondoni","Italy"
"Dryas octopetala","Dryas octopetala","Rosaceae","Strict","Enscobase","United-Kingdom"
"Dryas octopetala","Dryas octopetala","Rosaceae","Strict","Rosbakh","Germany"
"Dryas octopetala","Dryas octopetala","Rosaceae","Strict","Tudela","Italy"
"Dryas octopetala","Dryas octopetala","Rosaceae","Strict","Mondoni","Italy"
"Festuca paniculata","Festuca paniculata","Poaceae","Strict","Enscobase","Spain"
"Festuca paniculata","Festuca paniculata","Poaceae","Strict","Fernández-Pascual Plant Biol","Spain"
"Gentiana clusii","Gentiana clusii","Gentianaceae","Strict","Enscobase","Poland"
"Gentiana clusii","Gentiana clusii","Gentianaceae","Strict","Tudela","Italy"
"Gentiana clusii","Gentiana clusii","Gentianaceae","Strict","Mondoni","Italy"
"Gentiana nivalis","Gentiana nivalis","Gentianaceae","Strict","Enscobase","United-Kingdom"
"Gentiana nivalis","Gentiana nivalis","Gentianaceae","Strict","Tudela","Italy"
"Gentiana nivalis","Gentiana nivalis","Gentianaceae","Strict","Mondoni","Italy"
"Gentiana punctata","Gentiana punctata","Gentianaceae","Strict","Enscobase","Poland"
"Gentiana punctata","Gentiana punctata","Gentianaceae","Strict","Tudela","Italy"
"Gentiana punctata","Gentiana punctata","Gentianaceae","Strict","Mondoni","Italy"
"Gnaphalium supinum","Gnaphalium supinum","Compositae","Strict","Enscobase","United-Kingdom"
"Gnaphalium supinum","Gnaphalium supinum","Compositae","Strict","Mondoni","Italy"
"Hedysarum caucasicum","Hedysarum caucasicum","Leguminosae","Generalist","Enscobase","Georgia"
"Hedysarum caucasicum","Hedysarum caucasicum","Leguminosae","Generalist","Rosbakh","Russia"
"Linaria alpina","Linaria alpina","Plantaginaceae","Strict","Enscobase","Austria"
"Linaria alpina","Linaria alpina","Plantaginaceae","Strict","Mondoni","Italy"
"Luzula spicata","Luzula spicata","Juncaceae","Strict","Enscobase","United-Kingdom"
"Luzula spicata","Luzula spicata","Juncaceae","Strict","Tudela","Italy"
"Myosotis alpestris","Myosotis alpestris","Boraginaceae","Strict","Enscobase","United-Kingdom"
"Myosotis alpestris","Myosotis alpestris","Boraginaceae","Strict","Mondoni","Italy"
"Phleum alpinum","Phleum alpinum","Poaceae","Strict","Enscobase","Greece"
"Phleum alpinum","Phleum alpinum","Poaceae","Strict","Enscobase","United-Kingdom"
"Phleum alpinum","Phleum alpinum","Poaceae","Strict","Rosbakh","Russia"
"Poa alpina","Poa alpina","Poaceae","Strict","Enscobase","Norway"
"Poa alpina","Poa alpina","Poaceae","Strict","Rosbakh","Germany"
"Poa alpina","Poa alpina","Poaceae","Strict","Tudela","Italy"
"Poa alpina","Poa alpina","Poaceae","Strict","Mondoni","Italy"
"Primula auricula","Primula auricula","Primulaceae","Strict","Enscobase","Poland"
"Primula auricula","Primula auricula","Primulaceae","Strict","Rosbakh","Germany"
"Primula auricula","Primula auricula","Primulaceae","Strict","Mondoni","Italy"
"Saxifraga oppositifolia","Saxifraga oppositifolia","Saxifragaceae","Strict","Enscobase","United-Kingdom"
"Saxifraga oppositifolia","Saxifraga oppositifolia","Saxifragaceae","Strict","Mondoni","Italy"
"Saxifraga oppositifolia","Saxifraga oppositifolia","Saxifragaceae","Strict","Fernández-Pascual Plant Biol","Spain"
"Silene acaulis","Silene acaulis","Caryophyllaceae","Strict","Enscobase","United-Kingdom"
"Silene acaulis","Silene acaulis","Caryophyllaceae","Strict","Rosbakh","Germany"
"Silene acaulis","Silene acaulis","Caryophyllaceae","Strict","Mondoni","Italy"
"Silene acaulis","Silene acaulis","Caryophyllaceae","Strict","Fernández-Pascual Plant Biol","Spain"
"Silene suecica","Silene suecica","Caryophyllaceae","Strict","Enscobase","Norway"
"Silene suecica","Silene suecica","Caryophyllaceae","Strict","Enscobase","United-Kingdom"
"Silene suecica","Silene suecica","Caryophyllaceae","Strict","Mondoni","Italy"
"Trifolium badium","Trifolium badium","Leguminosae","Strict","Enscobase","Greece"
"Trifolium badium","Trifolium badium","Leguminosae","Strict","Enscobase","Switzerland"
"Trifolium badium","Trifolium badium","Leguminosae","Strict","Mondoni","Italy"
"Trifolium pallescens","Trifolium pallescens","Leguminosae","Strict","Enscobase","Switzerland"
"Trifolium pallescens","Trifolium pallescens","Leguminosae","Strict","Mondoni","Italy"
"Veronica alpina","Veronica alpina","Plantaginaceae","Strict","Enscobase","United-Kingdom"
"Veronica alpina","Veronica alpina","Plantaginaceae","Strict","Mondoni","Italy"
"Carex atrata","Carex atrata","Cyperaceae","Strict","Enscobase","United-Kingdom"
"Carex atrata","Carex atrata","Cyperaceae","Strict","Rosbakh","Germany"
"Achillea moschata","Achillea erba-rotta","Compositae","Strict","Enscobase","Italy"
"Achillea moschata","Achillea erba-rotta","Compositae","Strict","Tudela","Italy"
"Achillea moschata","Achillea erba-rotta","Compositae","Strict","Mondoni","Italy"
"Aconitum bucovinense","Aconitum bucovinense","Ranunculaceae",NA,"Enscobase","Poland"
"Aconitum firmum","Aconitum firmum","Ranunculaceae",NA,"Enscobase","Poland"
"Aconitum lasiocarpum","Aconitum lasiocarpum","Ranunculaceae",NA,"Enscobase","Poland"
"Aconitum lycoctonum","Aconitum lycoctonum","Ranunculaceae",NA,"Enscobase","Austria"
"Aconitum lycoctonum","Aconitum lycoctonum","Ranunculaceae",NA,"Enscobase","France"
"Aconitum lycoctonum","Aconitum lycoctonum","Ranunculaceae",NA,"Enscobase","Norway"
