"Taxon","Source","Year","Country","Region","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable"
"Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","11","N","N","None",NA,"0","Y",12,"N",0,28.26,28.26,28.26,"30C",NA,20,5,19
"Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","12","N","N","None",NA,"0","Y",12,"N",0,33.5,33.5,33.5,"35C",NA,20,6,20
"Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","13","N","N","None",NA,"0","Y",12,"N",0,10.99,10.99,10.99,"10C",NA,20,4,20
"Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","14","N","N","None",NA,"0","Y",12,"N",0,16.4,16.4,16.4,"15C",NA,20,1,20
"Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","15","N","N","None",NA,"0","Y",12,"N",0,19.88,19.88,19.88,"20C",NA,20,1,20
"Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","16","N","N","None",NA,"0","Y",12,"N",0,25.17,25.17,25.17,"25C",NA,20,19,20
"Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","17","N","N","None",NA,"0","Y",12,"N",0,28.26,28.26,28.26,"30C",NA,20,12,20
"Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","18","N","N","None",NA,"0","Y",12,"N",0,33.5,33.5,33.5,"35C",NA,20,3,20
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","1","N","N","None",NA,"0","Y",12,"N",0,8.5,8.5,8.5,"10C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","2","N","N","None",NA,"0","Y",12,"N",0,13.7,13.7,13.7,"15C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","3","N","N","None",NA,"0","Y",12,"N",0,18.4,18.4,18.4,"20C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","4","N","N","None",NA,"0","Y",12,"N",0,22.5,22.5,22.5,"20C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","5","N","N","None",NA,"0","Y",12,"N",0,26.7,26.7,26.7,"25C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","6","N","N","None",NA,"0","Y",12,"N",0,30.88,30.88,30.88,"30C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","7","N","N","None",NA,"0","Y",12,"N",0,8.5,8.5,8.5,"10C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","8","N","N","None",NA,"0","Y",12,"N",0,13.7,13.7,13.7,"15C",NA,10,2,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","9","N","N","None",NA,"0","Y",12,"N",0,18.4,18.4,18.4,"20C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","10","N","N","None",NA,"0","Y",12,"N",0,22.5,22.5,22.5,"20C",NA,10,4,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","11","N","N","None",NA,"0","Y",12,"N",0,26.7,26.7,26.7,"25C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","12","N","N","None",NA,"0","Y",12,"N",0,30.88,30.88,30.88,"30C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","13","N","N","None",NA,"0","Y",12,"N",0,8.5,8.5,8.5,"10C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","14","N","N","None",NA,"0","Y",12,"N",0,13.7,13.7,13.7,"15C",NA,10,1,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","15","N","N","None",NA,"0","Y",12,"N",0,18.4,18.4,18.4,"20C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","16","N","N","None",NA,"0","Y",12,"N",0,22.5,22.5,22.5,"20C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","17","N","N","None",NA,"0","Y",12,"N",0,26.7,26.7,26.7,"25C",NA,10,0,10
"Kunzea mueleri","Venn",NA,"Australia","Australian Alps","Australia Single -36.051083 148.521667","-36.051083",148.521667,"1490","18","N","N","None",NA,"0","Y",12,"N",0,30.88,30.88,30.88,"30C",NA,10,0,10
"Olearia algida","Venn",NA,"Australia","Australian Alps","Australia Single -36.432111 148.327944","-36.432111",148.327944,"1850","1","N","N","None",NA,"0","Y",12,"N",0,10.99,10.99,10.99,"10C",NA,20,2,20
