"TPLName","Familia","Alpine","Seed.mass","Dormancy","Embryo"
"Avena fatua","Poaceae","Generalist",15.1593333333333,"PD",0.09
"Azorella madreporica","Apiaceae","Generalist",1.3,NA,0.04
"Baeckea gunniana","Myrtaceae","Generalist",0.746,NA,1
"Baeckea utilis","Myrtaceae","Generalist",0.062,NA,1
"Bartsia alpina","Orobanchaceae","Generalist",0.28,"PD",0.38
"Batrachium bungei","Ranunculaceae","Generalist",0.74985,"MPD",0.04
"Berberis montana","Berberidaceae","Generalist",NA,NA,0.34
"Betula nana","Betulaceae","Strict",NA,"PD",0.99
"Biebersteinia orphanidis","Biebersteiniaceae","Strict",NA,NA,NA
"Biscutella laevigata","Brassicaceae","Generalist",4.167,NA,1
"Blysmus sinocompressus","Cyperaceae","Generalist",0.636,"PD",0.11
"Brachyscome barkerae","Compositae","Strict",NA,NA,1
"Brachyscome obovata","Compositae","Generalist",NA,NA,1
"Brachyscome rigidula","Compositae","Generalist",0.304,NA,1
"Brachyscome spathulata","Compositae","Generalist",0.4188,NA,1
"Brachyscome stolonifera","Compositae","Strict",NA,NA,1
"Braya rosea","Brassicaceae","Generalist",1.19266666666667,NA,1
"Bromus sinensis","Poaceae","Strict",3.81233333333333,"ND",0.1
"Bupleurum commelynoideum","Apiaceae","Generalist",1.4307,"MD",0.04
"Calandrinia caespitosa","Portulacaceae","Strict",NA,NA,0.77
"Calceolaria filicaulis","Calceolariaceae","Strict",NA,NA,NA
"Calceolaria purpurea","Calceolariaceae","Generalist",NA,NA,NA
"Callistemon pityoides","Myrtaceae","Generalist",0.25,"PD",1
"Callitriche palustris","Plantaginaceae","Generalist",0.082,NA,0.67
"Campanula alpina","Campanulaceae","Strict",0.2758,NA,0.19
"Campanula aristata","Campanulaceae","Strict",0.0256666666666667,"PD",0.19
"Campanula barbata","Campanulaceae","Strict",0.1055,"PD",0.19
"Campanula cenisia","Campanulaceae","Strict",NA,NA,0.19
"Campanula cochleariifolia","Campanulaceae","Generalist",NA,"PD",0.19
"Campanula collina","Campanulaceae","Strict",0.1254,NA,0.19
"Campanula jacquinii","Campanulaceae","Generalist",NA,NA,0.19
"Campanula latifolia","Campanulaceae","Generalist",NA,"MPD",0.19
"Campanula macrorhiza","Campanulaceae","Generalist",NA,NA,0.19
"Campanula scheuchzeri","Campanulaceae","Strict",0.0572,"PD",0.19
"Campanula thyrsoides","Campanulaceae","Generalist",0.0844,"PD",0.19
"Caragana erinacea","Leguminosae","Generalist",NA,"PY",1
"Caragana jubata","Leguminosae","Generalist",10.645,"PY",1
"Cardamine cordata","Brassicaceae","Generalist",NA,NA,1
"Cardamine robusta","Brassicaceae","Strict",NA,NA,1
"Cardamine tangutorum","Brassicaceae","Generalist",0.204666666666667,NA,1
"Carex aphylla","Cyperaceae","Generalist",NA,NA,0.06
"Carex asturica","Cyperaceae","Generalist",4.4069,NA,0.06
"Carex atrata","Cyperaceae","Strict",0.6236,"PD",0.06
"Carex banksii","Cyperaceae","Generalist",NA,NA,0.06
"Carex bicolor","Cyperaceae","Strict",0.558,NA,0.06
"Carex blakei","Cyperaceae","Strict",1.921,NA,0.06
"Carex buxbaumii","Cyperaceae","Generalist",NA,"PD",0.06
"Carex capillacea","Cyperaceae","Generalist",0.528,NA,0.06
"Carex capillaris","Cyperaceae","Strict",NA,"PD",0.06
"Carex cephalotes","Cyperaceae","Generalist",0.5508,NA,0.06
"Carex curvula","Cyperaceae","Strict",2,NA,0.06
"Carex echinata","Cyperaceae","Generalist",0.83,"PD",0.06
"Carex enervis","Cyperaceae","Generalist",0.558483333333333,"PD",0.06
"Carex firma","Cyperaceae","Strict",1.11,"PD",0.06
"Carex foetida","Cyperaceae","Strict",0.408,NA,0.06
"Carex gaudichaudiana","Cyperaceae","Generalist",0.951,NA,0.06
"Carex hebes","Cyperaceae","Strict",1.3278,NA,0.06
"Carex hypandra","Cyperaceae","Strict",0.5362,NA,0.06
"Carex kansuensis","Cyperaceae","Strict",0.9247,"PD",0.06
"Carex lachenalii","Cyperaceae","Strict",NA,NA,0.06
"Carex microglochin","Cyperaceae","Generalist",NA,NA,0.06
"Carex przewalskii","Cyperaceae","Generalist",NA,"PD",0.06
"Carex pulicaris","Cyperaceae","Generalist",NA,"PD",0.06
"Carex rariflora","Cyperaceae","Strict",NA,NA,0.06
"Carex rostrata","Cyperaceae","Generalist",NA,"PD",0.06
"Carex saxatilis","Cyperaceae","Generalist",NA,NA,0.06
"Carex scabrirostris","Cyperaceae","Strict",1.9557,NA,0.06
"Carex sempervirens","Cyperaceae","Generalist",1.08,"PD",0.06
"Carpha nivicola","Cyperaceae","Generalist",2.22,NA,0.11
"Carum carvi","Apiaceae","Generalist",2.22411111111111,"MPD",0.08
