"TPLName","Familia","Alpine","Seed.mass","Dormancy","Embryo"
"Neopaxia australasica","Portulacaceae","Generalist",NA,NA,0.79
"Nepeta coerulescens","Lamiaceae","Strict",0.9984,NA,1
"Nepeta prattii","Lamiaceae","Generalist",1.20916666666667,"PD",1
"Nicotiana corymbosa","Solanaceae","Generalist",0.138,NA,0.48
"Nothoscordum andinum","Amaryllidaceae","Generalist",NA,NA,0.16
"Notopterygium franchetii","Apiaceae","Generalist",1.4347,"MPD",0.06
"Notopterygium incisum","Apiaceae","Generalist",4.50418333333333,"MPD",0.06
"Olearia algida","Compositae","Generalist",0.419,NA,1
"Olearia phlogopappa","Compositae","Generalist",0.6016,NA,1
"Olsynium junceum","Iridaceae","Generalist",0.705,NA,0.09
"Olsynium philippii","Iridaceae","Strict",5.425,NA,0.09
"Oreobolus distichus","Cyperaceae","Strict",NA,NA,0.11
"Oxylobium ellipticum","Leguminosae","Generalist",3.87,NA,0.97
"Oxyria digyna","Polygonaceae","Strict",0.75,NA,0.39
"Oxytropis campestris","Leguminosae","Strict",NA,"PY",0.97
"Oxytropis falcata","Leguminosae","Generalist",12.4093,"PY",0.98
"Oxytropis lapponica","Leguminosae","Strict",NA,NA,0.98
"Oxytropis ochrocephala","Leguminosae","Generalist",1.86518333333333,"PY",0.98
"Ozothamnus alpinus","Compositae","Strict",0.2876,NA,1
"Ozothamnus cupressoides","Compositae","Generalist",0.1714,NA,1
"Ozothamnus hookeri","Compositae","Generalist",0.112,NA,1
"Papaver alpinum","Papaveraceae","Strict",0.1774,"MPD",0.17
"Paraquilegia microphylla","Ranunculaceae","Generalist",0.2647,"MPD",0.04
"Parnassia brevistyla","Celastraceae","Generalist",NA,"PD",0.64
"Parnassia trinervis","Celastraceae","Strict",0.0392333333333333,"PD",0.76
"Pedicularis alaschanica","Orobanchaceae","Strict",1.24245555555556,"PD",0.32
"Pedicularis cheilanthifolia","Orobanchaceae","Generalist",0.60765,"PD",0.32
"Pedicularis kansuensis","Orobanchaceae","Generalist",0.6885,"PD",0.32
"Pedicularis lachnoglossa","Orobanchaceae","Generalist",1.53748333333333,"PD",0.32
"Pedicularis lasiophrys","Orobanchaceae","Generalist",0.369677777777778,"PD",0.32
"Pedicularis longiflora","Orobanchaceae","Generalist",1.07133333333333,"PD",0.32
"Pedicularis pseudoingens","Orobanchaceae","Strict",0.533666666666667,NA,0.32
"Pedicularis rhinanthoides","Orobanchaceae","Generalist",0.699,"PD",0.32
"Pedicularis szetschuanica","Orobanchaceae","Strict",0.381,NA,0.32
"Pedicularis ternata","Orobanchaceae","Strict",0.4637,"PD",0.32
"Pedicularis tuberosa","Orobanchaceae","Strict",0.5448,NA,0.32
"Pelargonium helmsii","Geraniaceae","Strict",1.05,NA,1
"Pennisetum centrasiaticum","Poaceae","Generalist",0.4727,"PD",0.41
"Pentachondra pumila","Ericaceae","Strict",0.9,NA,0.27
"Perezia pedicularidifolia","Compositae","Generalist",NA,NA,1
"Persicaria vivipara","Polygonaceae","Strict",1.878,NA,0.68
"Phleum alpinum","Poaceae","Strict",0.38,NA,0.19
"Phlomoides rotata","Lamiaceae","Generalist",3.799,NA,0.93
"Phyteuma hemisphaericum","Campanulaceae","Strict",NA,NA,0.22
"Phyteuma sieberi","Campanulaceae","Strict",NA,"PD",0.22
"Pilosella officinarum","Compositae","Generalist",0.19785,NA,1
"Pimelea axiflora","Thymelaeaceae","Generalist",2.5132,NA,0.99
"Pimelea ligustrina","Thymelaeaceae","Generalist",3.2015,NA,0.99
"Pinguicula leptoceras","Lentibulariaceae","Generalist",NA,NA,NA
"Piptatherum munroi","Poaceae","Generalist",1.56533333333333,"PD",0.2
"Plantago alpina","Plantaginaceae","Strict",0.6,NA,0.72
"Plantago atrata","Plantaginaceae","Strict",3.0744,NA,0.72
"Plantago depressa","Plantaginaceae","Generalist",0.340483333333333,"PD",0.72
"Plantago glacialis","Compositae","Strict",NA,NA,0.72
"Plantago muelleri","Plantaginaceae","Strict",NA,NA,0.72
"Plantago nivalis","Plantaginaceae","Strict",NA,NA,0.72
"Pleurospermum hookeri","Apiaceae","Generalist",1.55833333333333,"MPD",0.06
"Pleurospermum wilsonii","Apiaceae","Strict",NA,"MPD",0.06
"Pleurospermum wrightianum","Apiaceae","Strict",NA,NA,0.06
"Poa alpina","Poaceae","Strict",0.3592,"PD",0.12
"Poa annua","Poaceae","Generalist",0.2507,"PD",0.12
"Poa attenuata","Poaceae","Strict",0.71465,"PD",0.12
"Poa costiniana","Poaceae","Generalist",0.412,NA,0.12
"Poa hiemata","Poaceae","Generalist",0.356,NA,0.12
"Poa phillipsiana","Poaceae","Generalist",0.4161,NA,0.12
"Poa pratensis","Poaceae","Generalist",0.128516666666667,"PD",0.12
"Poa sikkimensis","Poaceae","Strict",0.292,"PD",0.12
"Poa szechuensis","Poaceae","Generalist",0.2653,"PD",0.12
"Podolepis robusta","Compositae","Generalist",0.628,NA,1
"Podospermum canum","Compositae","Generalist",3.2798,NA,1
"Polygala alpina","Polygalaceae","Strict",NA,NA,0.83
"Polygonum fertile","Polygonaceae","Generalist",1.12133333333333,"ND",0.47
"Polygonum macrophyllum","Polygonaceae","Generalist",1.23466666666667,NA,0.47
"Polygonum sibiricum","Polygonaceae","Generalist",1.28865555555556,"PD",0.47
"Polygonum sparsipilosum","Polygonaceae","Generalist",1.0723,"PD",0.47
"Pomatosace filicula","Primulaceae","Generalist",0.686111111111111,"PD",0.3
"Potentilla aurea","Rosaceae","Strict",NA,"PD",0.88
"Potentilla crantzii","Rosaceae","Strict",NA,NA,0.88
"Potentilla grandiflora","Rosaceae","Generalist",NA,NA,0.88
"Potentilla multifida","Rosaceae","Generalist",0.3467,"PD",0.88
"Potentilla pamiroalaica","Rosaceae","Strict",0.466766666666667,NA,0.88
"Potentilla potaninii","Rosaceae","Generalist",0.254233333333333,"PD",0.88
"Potentilla saundersiana","Rosaceae","Generalist",0.24375,"PD",0.88
"Primula agleniana","Primulaceae","Strict",0.115,NA,0.46
"Primula algida","Primulaceae","Strict",NA,NA,0.46
"Primula auricula","Primulaceae","Strict",0.24925,"PD",0.46
"Primula auriculata","Primulaceae","Strict",NA,NA,0.46
"Primula daonensis","Primulaceae","Strict",NA,"PD",0.46
"Primula farinosa","Primulaceae","Generalist",0.07,"PD",0.46
"Primula gemmifera","Primulaceae","Generalist",0.041,"PD",0.46
"Primula glaucescens","Primulaceae","Generalist",0.28,"PD",0.46
"Primula integrifolia","Primulaceae","Strict",NA,"PD",0.46
"Primula minima","Primulaceae","Strict",0.1484,"PD",0.46
"Primula orbicularis","Primulaceae","Strict",0.237,"PD",0.46
"Primula secundiflora","Primulaceae","Strict",NA,NA,0.46
"Primula stenocalyx","Primulaceae","Generalist",NA,"PD",0.46
"Primula tangutica","Primulaceae","Strict",0.1115,"PD",0.46
"Prostanthera cuneata","Lamiaceae","Generalist",1.4016,NA,0.93
"Psychrophila introloba","Ranunculaceae","Strict",0.8792,NA,0.04
"Pterocephalus hookeri","Caprifoliaceae","Generalist",2.89833333333333,NA,0.34
"Ptilagrostis dichotoma","Poaceae","Strict",0.8053,"ND",0.2
"Pyrethrum tatsienense","Compositae","Strict",0.448483333333333,"ND",1
"Ranunculus acrophilus","Ranunculaceae","Strict",NA,NA,0.04
"Ranunculus anemoneus","Ranunculaceae","Strict",2.9575,NA,0.04
"Ranunculus brotherusii","Ranunculaceae","Generalist",0.368011111111111,"MPD",0.04
"Ranunculus clivicola","Ranunculaceae","Strict",NA,NA,0.04
"Ranunculus dissectifolius","Ranunculaceae","Strict",NA,NA,0.04
"Ranunculus graniticola","Ranunculaceae","Generalist",1.7748,NA,0.04
"Ranunculus gunnianus","Ranunculaceae","Strict",2.1368,NA,0.04
"Ranunculus kamchaticus","Ranunculaceae","Generalist",2.4067,NA,0.04
"Ranunculus lappaceus","Ranunculaceae","Generalist",2.7941,NA,0.04
"Ranunculus montanus","Ranunculaceae","Generalist",NA,NA,0.04
"Ranunculus muelleri","Ranunculaceae","Strict",1.4172,NA,0.04
"Ranunculus niphophilus","Ranunculaceae","Strict",NA,NA,0.04
"Ranunculus pimpinellifolius","Ranunculaceae","Generalist",NA,NA,0.04
"Reynoutria multiflora","Polygonaceae","Generalist",7.017,NA,0.56
"Rheum palmatum","Polygonaceae","Generalist",10.054,NA,0.63
"Rhinanthus glacialis","Orobanchaceae","Generalist",NA,NA,0.21
"Rhodiola kirilowii","Crassulaceae","Generalist",0.122975,"PD",1
"Rhodiola macrocarpa","Crassulaceae","Generalist",0.0443,"PD",1
"Rhodiola tangutica","Crassulaceae","Generalist",NA,NA,1
"Rhododendron ferrugineum","Ericaceae","Strict",0.028,"PD",0.25
"Rhodophiala andicola","Amaryllidaceae","Generalist",NA,NA,0.3
"Ribes petraeum","Grossulariaceae","Generalist",NA,"PD",0.02
"Richea continentis","Ericaceae","Strict",0.0648,NA,0.27
"Roegneria breviglumis","Poaceae","Strict",3.468,"PD",0.2
"Rorippa elata","Brassicaceae","Generalist",0.237666666666667,NA,1
"Rumex alpestris","Polygonaceae","Strict",1.2168,NA,0.5
"Rumex nepalensis","Polygonaceae","Generalist",3.37636666666667,"ND",0.5
"Rumex suffruticosus","Polygonaceae","Strict",1.1488,NA,0.5
"Rytidosperma alpicola","Poaceae","Strict",NA,NA,0.2
"Rytidosperma nudiflorum","Poaceae","Generalist",1.275,NA,0.2
"Rytidosperma pictum","Poaceae","Generalist",NA,NA,0.2
"Rytidosperma pumilum","Poaceae","Generalist",NA,NA,0.2
"Sagina saginoides","Caryophyllaceae","Generalist",NA,NA,0.74
"Sanguisorba filiformis","Rosaceae","Generalist",0.708333333333333,NA,1
"Sanicula graveolens","Apiaceae","Generalist",2.655,NA,0.04
"Saponaria lutea","Caryophyllaceae","Strict",0.678,NA,0.56
"Saussurea globosa","Compositae","Strict",1.8473,"PD",1
"Saussurea graminea","Compositae","Strict",2.37433333333333,"PD",1
"Saussurea hieracioides","Compositae","Strict",2.05911111111111,"PD",1
"Saussurea kansuensis","Compositae","Strict",NA,"PD",1
"Saussurea pachyneura","Compositae","Strict",1.10166666666667,NA,1
"Saussurea przewalskii","Compositae","Strict",NA,"PD",1
"Saussurea stella","Compositae","Generalist",1.29,"PD",1
"Saussurea sylvatica","Compositae","Generalist",1.96751666666667,"PD",1
"Saxifraga aizoides","Saxifragaceae","Generalist",0.05,"MPD",0.33
"Saxifraga bryoides","Saxifragaceae","Strict",0.0302,"MPD",0.33
"Saxifraga caesia","Saxifragaceae","Strict",NA,"MPD",0.33
"Saxifraga cespitosa","Saxifragaceae","Strict",NA,NA,0.33
"Saxifraga egregia","Saxifragaceae","Generalist",0.021,"PD",0.33
"Saxifraga exarata","Saxifragaceae","Strict",0.089,NA,0.33
"Saxifraga heleonastes","Saxifragaceae","Strict",NA,NA,0.33
"Saxifraga hirculus","Saxifragaceae","Generalist",NA,"ND",0.33
"Saxifraga hostii","Saxifragaceae","Generalist",0.26,NA,0.33
"Saxifraga melanocentra","Saxifragaceae","Strict",0.0446666666666667,NA,0.33
"Saxifraga montana","Saxifragaceae","Generalist",0.0358166666666667,"PD",0.33
"Saxifraga nivalis","Saxifragaceae","Strict",NA,"PD",0.33
"Saxifraga oppositifolia","Saxifragaceae","Strict",0.11,"MPD",0.33
"Saxifraga paniculata","Saxifragaceae","Generalist",0.0625,"MPD",0.33
"Saxifraga rivularis","Saxifragaceae","Strict",NA,NA,0.33
"Saxifraga stellaris","Saxifragaceae","Strict",0.0352,"MPD",0.33
"Saxifraga tangutica","Saxifragaceae","Generalist",NA,NA,0.33
"Schizanthus grahamii","Solanaceae","Generalist",1.2261,NA,0.47
"Schizanthus hookeri","Solanaceae","Generalist",1.5,NA,0.47
"Scleranthus singuliflorus","Caryophyllaceae","Strict",NA,NA,0.72
"Scorzoneroides cantabrica","Compositae","Strict",NA,NA,1
"Scorzoneroides helvetica","Compositae","Strict",1.71,NA,1
"Sedum ulricae","Crassulaceae","Strict",0.218,"PD",1
"Sedum villosum","Crassulaceae","Generalist",NA,"PD",1
"Senecio bipontinii","Compositae","Generalist",NA,NA,1
"Senecio chionophilus","Compositae","Strict",NA,NA,1
"Senecio doronicum","Compositae","Strict",0.28,NA,1
"Senecio dubitabilis","Compositae","Generalist",0.268655555555556,"PD",1
"Senecio eruciformis","Compositae","Generalist",0.6128,NA,1
"Senecio gunnii","Compositae","Generalist",0.253,NA,1
"Senecio squalidus","Compositae","Generalist",0.287166666666667,NA,1
"Senecio thianschanicus","Compositae","Generalist",NA,NA,1
"Sesleria albicans","Poaceae","Generalist",0.32,NA,0.09
"Sesleria caerulea","Poaceae","Generalist",1.3264,NA,0.09
"Sesleria sphaerocephala","Poaceae","Strict",NA,NA,0.09
"Sibbaldia procumbens","Rosaceae","Strict",0.758833333333333,NA,1
"Silene acaulis","Caryophyllaceae","Strict",0.3596,"PD",0.61
"Silene andicola","Caryophyllaceae","Strict",NA,NA,0.61
"Silene ciliata","Caryophyllaceae","Generalist",NA,NA,0.61
"Silene himalayensis","Caryophyllaceae","Generalist",NA,"ND",0.61
"Silene rupestris","Caryophyllaceae","Generalist",0.0696,"PD",0.61
"Silene suecica","Caryophyllaceae","Strict",0.0695,NA,0.61
"Silene vallesia","Caryophyllaceae","Generalist",0.6768,NA,0.61
"Silene vulgaris","Caryophyllaceae","Generalist",0.912,NA,0.61
"Sinochasea trigyna","Poaceae","Strict",1.8803,"PD",0.2
"Sinopodophyllum hexandrum","Berberidaceae","Generalist",27.3323,"MPD",0.08
"Sisymbrium heteromallum","Brassicaceae","Generalist",0.273,"PD",1
"Sisyrinchium arenarium","Iridaceae","Generalist",3.09,NA,0.11
"Sisyrinchium pearcei","Iridaceae","Generalist",NA,NA,0.11
"Smelowskia tibetica","Brassicaceae","Strict",0.213333333333333,NA,1
"Soldanella alpina","Primulaceae","Strict",0.21,"ND",0.3
"Solidago virgaurea","Compositae","Generalist",0.468583333333333,"PD",1
"Spiraea mongolica","Rosaceae","Generalist",NA,NA,0.73
"Stachys grandidentata","Lamiaceae","Generalist",2.1696,NA,0.77
"Stackhousia monogyna","Celastraceae","Generalist",2.6304,"PD",0.64
"Stackhousia pulvinaris","Celastraceae","Strict",1.778,NA,0.64
"Stellaria decumbens","Caryophyllaceae","Strict",0.28575,NA,0.69
"Stellaria uda","Caryophyllaceae","Generalist",0.298666666666667,"ND",0.69
"Stephanachne nigrescens","Poaceae","Strict",2.44935,"PD",0.2
"Stipa aliena","Poaceae","Generalist",4.054,"PD",0.12
"Stipa breviflora","Poaceae","Generalist",NA,NA,0.12
"Stipa capillacea","Poaceae","Generalist",NA,"PD",0.12
"Stipa concinna","Poaceae","Strict",0.618,"PD",0.12
"Stipa pappiformis","Poaceae","Strict",NA,NA,0.12
"Stipa regeliana","Poaceae","Generalist",NA,"PD",0.12
"Stipa splendens","Poaceae","Generalist",2.33891666666667,"PD",0.12
"Stylidium graminifolium","Stylidiaceae","Generalist",0.182,"PD",NA
"Swertia bifolia","Gentianaceae","Generalist",0.158483333333333,"PD",0.21
"Swertia erythrosticta","Gentianaceae","Generalist",0.0707,"PD",0.21
"Swertia wolfgangiana","Gentianaceae","Generalist",NA,"PD",0.21
"Taraxacum alpinum","Compositae","Strict",0.58,NA,1
"Taraxacum confusum","Compositae","Strict",NA,NA,1
"Taraxacum stevenii","Compositae","Strict",NA,NA,1
"Tasmannia xerophila","Winteraceae","Generalist",28.85,NA,NA
"Teesdaliopsis conferta","Brassicaceae","Strict",NA,NA,1
"Teucrium chamaedrys","Lamiaceae","Generalist",NA,"PD",0.93
"Thalictrum alpinum","Ranunculaceae","Generalist",0.759544444444444,"MPD",0.04
"Thalictrum rutifolium","Ranunculaceae","Generalist",1.5843,"MPD",0.04
"Thlaspi caerulescens","Brassicaceae","Generalist",NA,NA,1
"Tibetia himalaica","Leguminosae","Strict",2.13966666666667,"PY",0.97
"Tofieldia pusilla","Tofieldiaceae","Strict",NA,NA,0.27
"Tongoloa elata","Apiaceae","Generalist",0.5273,"MPD",0.06
"Tongoloa gracilis","Apiaceae","Generalist",0.847666666666667,NA,0.06
"Trichophorum distigmaticum","Cyperaceae","Generalist",2.44865,"PD",0.11
"Trichophorum pumilum","Cyperaceae","Generalist",0.65,NA,0.11
"Trifolium alpinum","Leguminosae","Strict",NA,"PY",0.99
"Trifolium badium","Leguminosae","Strict",0.75,NA,0.99
"Trifolium pallescens","Leguminosae","Strict",0.62,NA,0.99
"Trifolium polyphyllum","Leguminosae","Strict",NA,NA,0.99
"Trifolium pratense","Leguminosae","Generalist",1.414,"PY",0.99
"Trifolium thalii","Leguminosae","Strict",1.2688,NA,0.99
"Triglochin palustris","Juncaginaceae","Generalist",1.172,"PD",1
"Trisetum clarkei","Poaceae","Generalist",0.2423,"PD",0.2
"Trisetum spicatum","Poaceae","Generalist",0.417,NA,0.04
"Tristagma bivalve","Amaryllidaceae","Generalist",NA,NA,0.3
"Trollius europaeus","Ranunculaceae","Generalist",0.9868,"MPD",0.07
"Trollius farreri","Ranunculaceae","Strict",0.501666666666667,"MPD",0.07
"Urtica hyperborea","Urticaceae","Strict",0.253333333333333,NA,0.76
"Veronica allionii","Plantaginaceae","Strict",NA,NA,0.34
"Veronica alpina","Plantaginaceae","Strict",0.049,"PD",0.34
"Veronica aphylla","Plantaginaceae","Strict",NA,"PD",0.34
"Veronica bellidioides","Plantaginaceae","Strict",0.11,"PD",0.34
"Veronica ciliata","Plantaginaceae","Generalist",0.0493,"PD",0.34
"Veronica eriogyne","Plantaginaceae","Generalist",0.054,"PD",0.34
"Veronica fruticans","Plantaginaceae","Strict",0.603,"PD",0.34
"Veronica perfoliata","Plantaginaceae","Generalist",0.3,NA,0.34
"Veronica szechuanica","Plantaginaceae","Generalist",0.4293,"PD",0.34
"Veronica vandellioides","Plantaginaceae","Generalist",0.148333333333333,NA,0.34
"Vicia multicaulis","Leguminosae","Generalist",8.6033,NA,0.97
"Vicia orobus","Leguminosae","Generalist",NA,NA,0.97
"Viola betonicifolia","Violaceae","Generalist",1.37,NA,0.61
"Viola comollia","Violaceae","Strict",0.59,NA,0.61
"Wahlenbergia ceracea","Campanulaceae","Generalist",0.025,NA,0.22
"Wahlenbergia gloriosa","Campanulaceae","Generalist",0.046,NA,0.22
"Xerochrysum subundulatum","Compositae","Generalist",0.5958,NA,1
