"TPLName","Taxon","Source","Year","Country","Region","Macroregion","Accession","Latitude","Longitude","Elevation","Dish","Scarification","GA3","Stratification","Stratification_temperature","Stratification_days","Light","Photoperiod","Alternating","Tdif","Tmax","Tmin","Tmean","Temperature","Length.experiment","Sown","Germinated","Germinable","GRS","GRP","MGT","MGR","GSP","UNC","SYN","VGT","SDG","CVG"
"Epacris paludosa","Epacris paludosa","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792176 NA NA",NA,NA,"1936","2","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,6,0,0,NA,NA,NA,0,NA,0,0,NA
"Epacris paludosa","Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","5","N","N","None",NA,"0","Y",12,"N",0,28.26,28.26,28.26,"30C",NA,20,13,18,0,0,0,1,0,0,1,13,72.2222222222222,33.9230769230769
"Epacris paludosa","Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","11","N","N","None",NA,"0","Y",12,"N",0,28.26,28.26,28.26,"30C",NA,20,5,19,0,0,0,0,0,0,0,5,26.3157894736842,19.4
"Aciphylla glacialis","Aciphylla glacialis","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1850","2","N","N","Cold","5","4","Y",12,"Y",10,20,10,15,"15C",NA,25,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla glacialis","Aciphylla glacialis","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1850","4","N","N","Cold","2.5","4","Y",12,"N",0,20,20,20,"20C",NA,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Diplaspis nivis","Diplaspis nivis","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 786949 NA NA",NA,NA,"1960","2","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,8,0,0,NA,NA,NA,0,NA,0,0,NA
"Aciphylla glacialis","Aciphylla glacialis","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1850","3","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,20,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","1","N","N","None",NA,"0","Y",12,"N",0,20,20,20,"20C",NA,20,13,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Viola betonicifolia","Viola betonicifolia","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1310","5","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,0,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neopaxia australasica","Neopaxia australasica","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 771006 NA NA",NA,NA,"2095","1","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,10,8,10,8,80,14,0.0714285714285714,7.14285714285714,1.56127812445913,0.25,165.428571428571,12.861903880397,91.8707420028357
"Neopaxia australasica","Neopaxia australasica","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 771006 NA NA",NA,NA,"2095","1","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,10,3,10,3,30,23.3333333333333,0.0428571428571429,4.28571428571429,1.58496250072116,0,602.333333333333,24.5424801789333,105.182057909714
"Carex echinata","Carex echinata","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 747974 NA NA",NA,NA,"1959","2","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,15,24,15,62.5,25.2,0.0396825396825397,3.96825396825397,1.23664074194117,0.533333333333333,501.142857142857,22.3862202513702,88.8342073467071
"Epacris paludosa","Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","12","N","N","None",NA,"0","Y",12,"N",0,33.5,33.5,33.5,"35C",NA,20,6,20,0,0,1,1,1,0,0,6,30,42.5
"Carex echinata","Carex echinata","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 747974 NA NA",NA,NA,"1959","3","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,9,24,9,37.5,21,0.0476190476190476,4.76190476190476,0,1,364.5,19.0918830920368,90.913729009699
"Epacris paludosa","Epacris paludosa","Venn",NA,"Australia","Australian Alps","Australia","Australia Single -33.970278 150.05575","-33.970278",150.05575,"1170","3","N","N","None",NA,"0","Y",12,"N",0,19.88,19.88,19.88,"20C",NA,20,3,20,0,0,0,0,0,0,0,3,15,22.6666666666667
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","2","N","N","None",NA,"0","Y",12,"N",0,25,25,25,"25C",NA,25,8,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Xerochrysum subundulatum","Xerochrysum subundulatum","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1310","1","N","N","Cold","2.5","12","Y",12,"N",0,10,10,10,"10C",NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epacris paludosa","Epacris paludosa","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 813615 NA NA",NA,NA,"1636","3","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,1,21,1,4.76190476190476,42,0.0238095238095238,2.38095238095238,0,NA,Inf,Inf,Inf
"Chaerophyllum australianum","Oreomyrrhis ciliata","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792149 NA NA",NA,NA,"1748","3","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,7,23,7,30.4347826086957,24,0.0416666666666667,4.16666666666667,1.14883485428092,0.476190476190476,494.333333333333,22.2336081942031,92.6400341425127
"Chaerophyllum eriopodum","Oreomyrrhis eriopoda","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1960","4","N","N","Cold","2.5","8","Y",12,"N",0,25,25,25,"25C",NA,20,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Neopaxia australasica","Neopaxia australasica","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 771006 NA NA",NA,NA,"2095","2","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,10,8,10,8,80,13.125,0.0761904761904762,7.61904761904762,1.2987949406954,0.392857142857143,145.053571428571,12.0438188058677,91.7624289970869
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","4","N","N","Cold","5","12","Y",12,"Y",10,20,10,15,"15C",NA,20,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","3","N","N","Cold","2.5","12","Y",12,"N",0,15,15,15,"15C",NA,20,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozothamnus alpinus","Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","2","N","N","None",NA,"0","Y",12,"N",0,16,16,16,"15C",NA,20,0,19,0,0,NA,NA,NA,0,NA,0,0,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","5","N","N","Cold","2.5","12","Y",12,"N",0,10,10,10,"10C",NA,20,7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pimelea axiflora","Pimelea axiflora ","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 771063 NA NA",NA,NA,"1616","3","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pimelea axiflora","Pimelea axiflora ","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 771063 NA NA",NA,NA,"1616","2","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pimelea axiflora","Pimelea axiflora ","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 771063 NA NA",NA,NA,"1616","2","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pimelea axiflora","Pimelea axiflora ","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 771063 NA NA",NA,NA,"1616","1","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pimelea axiflora","Pimelea axiflora ","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 771063 NA NA",NA,NA,"1616","1","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epacris petrophila","Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia","Australia Single NA NA",NA,NA,NA,"3","N","N","None",NA,"0","Y",12,"N",0,19,19,19,"20C",NA,20,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epacris petrophila","Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia","Australia Single NA NA",NA,NA,NA,"1","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,0,8,0,0,NA,NA,NA,0,NA,0,0,NA
"Ozothamnus alpinus","Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","21","N","N","None",NA,"0","Y",12,"N",0,36,36,36,"35C",NA,20,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brachyscome rigidula","Brachyscome rigidula","Venn",NA,"Australia","Australian Alps","Australia","Australia Bogong NA NA",NA,NA,NA,"12","N","N","None",NA,"0","Y",14,"Y",10,20,10,15.8333333333333,"15C",NA,20,19,19,19,100,9.89473684210526,0.101063829787234,10.1063829787234,1.50902751253265,0.333333333333333,38.5438596491228,6.20837012823195,62.7441661895782
"Juncus falcatus","Juncus falcatus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792209 NA NA",NA,NA,"1771","2","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,0,0,NA,NA,NA,0,NA,0,0,NA
"Juncus falcatus","Juncus falcatus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792209 NA NA",NA,NA,"1771","1","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,0,0,NA,NA,NA,0,NA,0,0,NA
"Juncus falcatus","Juncus falcatus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792209 NA NA",NA,NA,"1771","3","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,0,0,NA,NA,NA,0,NA,0,0,NA
"Juncus falcatus","Juncus falcatus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792209 NA NA",NA,NA,"1771","1","N","N","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,0,0,NA,NA,NA,0,NA,0,0,NA
"Juncus falcatus","Juncus falcatus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792209 NA NA",NA,NA,"1771","2","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,0,0,NA,NA,NA,0,NA,0,0,NA
"Juncus falcatus","Juncus falcatus","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 792209 NA NA",NA,NA,"1771","3","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,0,25,0,0,NA,NA,NA,0,NA,0,0,NA
"Epacris petrophila","Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia","Australia Single NA NA",NA,NA,NA,"7","N","N","None",NA,"0","Y",12,"N",0,36,36,36,"35C",NA,20,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epacris petrophila","Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia","Australia Single NA NA",NA,NA,NA,"15","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,0,9,0,0,NA,NA,NA,0,NA,0,0,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","1","N","N","Cold","2.5","8","Y",12,"N",0,10,10,10,"10C",NA,20,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","3","N","N","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,20,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","2","N","N","Cold","2.5","8","Y",12,"N",0,15,15,15,"15C",NA,20,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","1","N","N","Cold","2.5","4","Y",12,"N",0,25,25,25,"25C",NA,20,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","4","N","N","Cold","2.5","4","Y",12,"Y",15,20,5,12.5,"10C",NA,20,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","5","N","N","Cold","2.5","12","Y",12,"N",0,20,20,20,"20C",NA,20,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","3","N","N","Cold","2.5","4","Y",12,"Y",15,20,5,12.5,"10C",NA,20,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","4","N","N","Cold","2.5","8","Y",12,"N",0,15,15,15,"15C",NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","5","N","N","Cold","2.5","4","Y",12,"Y",10,20,10,15,"15C",NA,20,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla glacialis","Aciphylla glacialis","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1850","2","N","N","Cold","2.5","8","Y",12,"N",0,20,20,20,"20C",NA,20,7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla glacialis","Aciphylla glacialis","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1850","5","N","N","Cold","2.5","4","Y",12,"N",0,10,10,10,"10C",NA,20,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla glacialis","Aciphylla glacialis","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1850","3","N","N","Cold","2.5","12","Y",12,"N",0,15,15,15,"15C",NA,20,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aciphylla glacialis","Aciphylla glacialis","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1850","3","N","N","Cold","2.5","4","Y",12,"N",0,10,10,10,"10C",NA,20,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","2","N","N","None",NA,"0","Y",12,"N",0,15,15,15,"15C",NA,25,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","2","N","N","Cold","2.5","8","Y",12,"N",0,10,10,10,"10C",NA,20,9,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epacris petrophila","Epacris petrophilla","Venn",NA,"Australia","Australian Alps","Australia","Australia Single NA NA",NA,NA,NA,"15","N","N","None",NA,"0","Y",12,"N",0,10,10,10,"10C",NA,20,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","5","N","N","Cold","5","4","Y",12,"Y",10,20,10,15,"15C",NA,20,9,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","1","N","N","Cold","5","4","Y",12,"Y",10,20,10,15,"15C",NA,20,16,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","5","N","N","None",NA,"0","Y",12,"Y",10,20,10,15,"15C",NA,20,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahlenbergia ceracea","Wahlenbergia  ceracea","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1620","5","N","N","None",NA,"0","Y",12,"Y",15,20,5,12.5,"10C",NA,20,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epacris petrophila","Epacris petrophila","Satyanti",NA,"Australia","Australian Alps","Australia","Australia 782533 NA NA",NA,NA,"1745","2","N","Y","None",NA,"0","Y",12,"Y",10,25,15,20,"20C",NA,25,8,9,8,88.8888888888889,21,0.0476190476190476,4.76190476190476,1.5,0.285714285714286,370.857142857143,19.2576515405473,91.7031025740346
"Podolepis robusta","Podolepis robusta","Sommerville",NA,"Australia","Australian Alps","Australia","Australia Kosciusko National Park NA NA",NA,NA,"1380","2","N","N","Cold","2.5","12","Y",12,"N",0,15,15,15,"15C",NA,20,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ozothamnus alpinus","Ozothamnus alpina","Venn",NA,"Australia","Australian Alps","Australia","Australia Single -36.8767 147.2408","-36.8767",147.2408,"1840","7","N","N","None",NA,"0","Y",12,"N",0,36,36,36,"35C",NA,20,0,15,0,0,NA,NA,NA,0,NA,0,0,NA
