"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Hedysarum sikkimense","Leguminosae","Strict",8.17838275862069,"Genus",0.98,"Genus",NA
"Helictochloa versicolor","Poaceae","Strict",2.13142,"Genus",0.2,"Family",NA
"Helictotrichon marginatum","Poaceae","Generalist",1.9624,"Genus",0.2,"Family",NA
"Helictotrichon tibeticum","Poaceae","Generalist",2.18833333333333,"Species",0.2,"Family","PD"
"Helictotrichon versicolor","Poaceae","Strict",1.7768,"Species",0.2,"Family",NA
"Heracleum millefolium","Apiaceae","Generalist",2.32248333333333,"Species",0.06,"Genus","MPD"
"Heracleum yungningense","Apiaceae","Generalist",8.81178518518518,"Genus",0.06,"Genus","MPD"
"Heteropappus gouldii","Compositae","Generalist",0.293333333333333,"Species",1,"Family","PD"
"Hippuris vulgaris","Plantaginaceae","Generalist",0.984011111111111,"Species",0.75,"Species","PD"
"Homogyne alpina","Compositae","Generalist",1.168,"Species",1,"Family","PD"
"Hypochaeris tenuifolia","Compositae","Strict",4.4772,"Species",1,"Genus",NA
"Isolepis crassiuscula","Cyperaceae","Generalist",0.2728,"Species",0.11,"Family",NA
"Isolepis setacea","Cyperaceae","Generalist",0.104805555555556,"Species",0.11,"Family","PD"
"Jacobaea incana","Compositae","Strict",1.2195,"Species",1,"Family",NA
"Jacobaea uniflora","Compositae","Strict",0.62245,"Genus",1,"Family",NA
"Jasione cavanillesii","Campanulaceae","Strict",0.096,"Species",0.22,"Family",NA
"Juncus allioides","Juncaceae","Generalist",0.0351833333333333,"Species",0.15,"Genus","PD"
"Juncus amplifolius","Juncaceae","Generalist",0.0763333333333333,"Species",0.15,"Genus","PD"
"Juncus balticus","Juncaceae","Generalist",0.04810859375,"Genus",0.15,"Genus","ND"
"Juncus falcatus","Juncaceae","Generalist",0.0287,"Species",0.15,"Genus",NA
"Juncus filiformis","Juncaceae","Generalist",0.04810859375,"Genus",0.15,"Genus","PD"
"Juncus himalensis","Juncaceae","Generalist",0.045,"Species",0.15,"Genus","PD"
"Juncus monanthos","Juncaceae","Strict",0.1588,"Species",0.15,"Genus",NA
"Juncus sphacelatus","Juncaceae","Strict",0.04810859375,"Genus",0.15,"Genus",NA
"Juncus thomsonii","Juncaceae","Generalist",0.0454833333333333,"Species",0.15,"Genus","PD"
"Juncus trifidus","Juncaceae","Strict",0.1525,"Species",0.15,"Genus",NA
"Juncus triglumis","Juncaceae","Strict",0.04810859375,"Genus",0.15,"Genus",NA
"Jurinea humilis","Compositae","Generalist",5.5759,"Species",1,"Family",NA
"Kelleria dieffenbachii","Thymelaeaceae","Strict",0.155,"Species",0.99,"Family",NA
"Kobresia capillifolia","Cyperaceae","Generalist",1.811,"Species",0.08,"Genus","PD"
"Kobresia humilis","Cyperaceae","Generalist",0.446333333333333,"Species",0.08,"Genus",NA
"Kobresia kansuensis","Cyperaceae","Strict",0.989544444444445,"Species",0.08,"Genus","PD"
"Kobresia macrantha","Cyperaceae","Generalist",0.705,"Species",0.08,"Genus",NA
"Kobresia myosuroides","Cyperaceae","Strict",1.4343,"Species",0.08,"Species","PD"
"Kobresia pygmaea","Cyperaceae","Strict",0.8815,"Species",0.08,"Genus",NA
"Kobresia setschwanensis","Cyperaceae","Generalist",1.35966666666667,"Species",0.08,"Genus",NA
"Kobresia simpliciuscula","Cyperaceae","Strict",0.483,"Genus",0.08,"Genus",NA
"Kobresia tibetica","Cyperaceae","Generalist",0.9745,"Species",0.08,"Genus",NA
"Koeleria litvinowii","Poaceae","Strict",0.2673,"Species",0.06,"Genus","PD"
"Kunzea muelleri","Myrtaceae","Strict",0.17065,"Species",1,"Family",NA
"Lagotis brachystachya","Plantaginaceae","Strict",11.695,"Species",0.48,"Family",NA
"Lancea tibetica","Phrymaceae","Generalist",0.107677777777778,"Species",0.86,"Family","PD"
"Laretia acaulis","Apiaceae","Strict",8.9281,"Species",0.04,"Species",NA
"Leibnitzia nepalensis","Compositae","Strict",1.30716666666667,"Species",1,"Family",NA
"Leontodon hispidus","Compositae","Generalist",1.2,"Species",1,"Genus","ND"
"Leontopodium nanum","Compositae","Generalist",0.161,"Species",1,"Family",NA
"Leontopodium nivale","Compositae","Strict",0.1366,"Species",1,"Family",NA
"Leontopodium ochroleucum","Compositae","Generalist",0.127666666666667,"Species",1,"Family",NA
"Leontopodium souliei","Compositae","Generalist",0.118516666666667,"Species",1,"Family","PD"
"Lepidium apetalum","Brassicaceae","Generalist",0.204377777777778,"Species",1,"Genus","PD"
"Lepidium capitatum","Brassicaceae","Generalist",0.981592307692308,"Genus",1,"Genus",NA
"Lepidium latifolium","Brassicaceae","Generalist",0.1805,"Species",1,"Genus",NA
"Leucanthemopsis alpina","Compositae","Strict",0.3801,"Species",1,"Family",NA
"Leucochrysum alpinum","Compositae","Generalist",0.91545,"Genus",1,"Family",NA
"Ligularia macrodonta","Compositae","Generalist",1.66481666666667,"Species",1,"Family","PD"
"Ligularia virgaurea","Compositae","Generalist",1.44467777777778,"Species",1,"Family","PD"
"Lilium martagon","Liliaceae","Generalist",5.01936818181818,"Genus",0.12,"Genus","MPD"
"Linaria alpina","Plantaginaceae","Strict",0.470878787878788,"Genus",0.48,"Family",NA
"Linaria tonzigii","Plantaginaceae","Strict",0.4333,"Species",0.48,"Family",NA
"Lloydia oxycarpa","Liliaceae","Generalist",0.533,"Species",0.06,"Family","MPD"
"Loasa caespitosa","Loasaceae","Strict",6.19973333333333,"Genus",0.66,"Family",NA
"Lomatogonium carinthiacum","Gentianaceae","Generalist",0.102766666666667,"Species",0.14,"Genus","PD"
"Lomatogonium gamosepalum","Gentianaceae","Generalist",0.118333333333333,"Species",0.14,"Genus",NA
"Lomatogonium macranthum","Gentianaceae","Generalist",0.164016666666667,"Species",0.14,"Genus","PD"
"Lonicera pyrenaica","Caprifoliaceae","Generalist",11.5425184210526,"Genus",0.05,"Genus",NA
"Luzula acutifolia","Juncaceae","Strict",0.546,"Species",0.1,"Genus",NA
"Luzula alpinopilosa","Juncaceae","Strict",0.2526,"Species",0.1,"Genus",NA
"Luzula brachyphylla","Juncaceae","Generalist",0.536928571428571,"Genus",0.1,"Genus",NA
"Luzula lutea","Juncaceae","Strict",0.536928571428571,"Genus",0.1,"Genus",NA
"Luzula modesta","Juncaceae","Generalist",0.5592,"Species",0.1,"Genus",NA
"Luzula nivea","Juncaceae","Generalist",0.536928571428571,"Genus",0.1,"Genus",NA
"Luzula spicata","Juncaceae","Strict",0.263,"Species",0.1,"Genus","PD"
"Madia sativa","Compositae","Generalist",3.1,"Species",0.99,"Genus","PD"
"Matricaria breviradiata","Compositae","Strict",0.4236,"Species",1,"Genus",NA
"Meconopsis horridula","Papaveraceae","Strict",0.181766666666667,"Species",0.06,"Family","MPD"
"Meconopsis integrifolia","Papaveraceae","Generalist",0.46465,"Species",0.06,"Family","MPD"
"Meconopsis punicea","Papaveraceae","Generalist",0.5317,"Species",0.06,"Family","MPD"
"Meconopsis quintuplinervia","Papaveraceae","Generalist",0.8135,"Species",0.06,"Family","MPD"
"Megacarpaea delavayi","Brassicaceae","Strict",6.811,"Species",1,"Family","PD"
"Microgynoecium tibeticum","Amaranthaceae","Strict",0.374,"Species",0.67,"Family",NA
"Microseris lanceolata","Compositae","Generalist",2.08,"Species",1,"Genus","PD"
"Microsteris gracilis","Polemoniaceae","Generalist",1.148,"Species",0.75,"Species","PD"
"Microula sikkimensis","Boraginaceae","Generalist",0.507333333333333,"Species",0.89,"Family",NA
"Microula tangutica","Boraginaceae","Strict",0.507333333333333,"Species",0.89,"Family",NA
"Minuartia laricifolia","Caryophyllaceae","Generalist",0.457582857142857,"Genus",0.66,"Family",NA
"Minuartia sedoides","Caryophyllaceae","Strict",0.457582857142857,"Genus",0.66,"Family",NA
"Minuartia verna","Caryophyllaceae","Generalist",0.18,"Species",0.66,"Family",NA
"Mniarum biflorum","Caryophyllaceae","Generalist",0.44,"Species",0.66,"Family",NA
"Montiopsis gayana","Montiaceae","Generalist",0.4872,"Genus",0.77,"Family",NA
"Mutisia sinuata","Compositae","Generalist",42.1384571428571,"Genus",1,"Family",NA
"Myosotis alpestris","Boraginaceae","Strict",0.85,"Species",1,"Genus",NA
"Nardostachys jatamansi","Caprifoliaceae","Generalist",4.17148333333333,"Species",0.34,"Family","PD"
"Nardus stricta","Poaceae","Generalist",0.4,"Species",0.2,"Family","PD"
"Nassauvia lagascae","Compositae","Generalist",0.93242,"Genus",1,"Family",NA
"Nassauvia pinnigera","Compositae","Strict",1.1,"Species",1,"Family",NA
"Nassauvia revoluta","Compositae","Generalist",0.93242,"Genus",1,"Family",NA
"Nastanthus scapigerus","Calyceraceae","Generalist",7.1784,"Genus",0.447914719,"Family",NA
"Neopaxia australasica","Portulacaceae","Generalist",0.7522,"Species",0.79,"Family",NA
"Nepeta coerulescens","Lamiaceae","Strict",0.9984,"Species",1,"Genus",NA
"Nepeta prattii","Lamiaceae","Generalist",1.20916666666667,"Species",1,"Genus","PD"
"Nicotiana corymbosa","Solanaceae","Generalist",0.138,"Species",0.48,"Genus",NA
"Nothoscordum andinum","Amaryllidaceae","Generalist",2.476,"Genus",0.16,"Genus",NA
"Notopterygium franchetii","Apiaceae","Generalist",1.4347,"Species",0.06,"Family","MPD"
"Notopterygium incisum","Apiaceae","Generalist",4.50418333333333,"Species",0.06,"Family","MPD"
"Olearia algida","Compositae","Generalist",0.419,"Species",1,"Family",NA
"Olearia phlogopappa","Compositae","Generalist",0.6016,"Species",1,"Family",NA
"Olsynium junceum","Iridaceae","Generalist",0.705,"Species",0.09,"Family",NA
"Olsynium philippii","Iridaceae","Strict",5.425,"Species",0.09,"Family",NA
"Oreobolus distichus","Cyperaceae","Strict",0.6524,"Genus",0.11,"Family",NA
"Oxylobium ellipticum","Leguminosae","Generalist",3.87,"Species",0.97,"Family",NA
"Oxyria digyna","Polygonaceae","Strict",0.75,"Species",0.39,"Species",NA
"Oxytropis campestris","Leguminosae","Strict",3.88143333333333,"Genus",0.97,"Species","PY"
"Oxytropis falcata","Leguminosae","Generalist",12.4093,"Species",0.98,"Genus","PY"
"Oxytropis lapponica","Leguminosae","Strict",3.88143333333333,"Genus",0.98,"Genus",NA
"Oxytropis ochrocephala","Leguminosae","Generalist",1.7316,"Species",0.98,"Genus","PY"
"Ozothamnus alpinus","Compositae","Strict",0.2876,"Species",1,"Family",NA
"Ozothamnus cupressoides","Compositae","Generalist",0.1714,"Species",1,"Family",NA
"Ozothamnus hookeri","Compositae","Generalist",0.112,"Species",1,"Family",NA
"Papaver alpinum","Papaveraceae","Strict",0.1774,"Species",0.17,"Genus","MPD"
"Paraquilegia microphylla","Ranunculaceae","Generalist",0.2647,"Species",0.04,"Family","MPD"
"Parnassia brevistyla","Celastraceae","Generalist",0.0516666666666667,"Species",0.64,"Family","PD"
"Parnassia trinervis","Celastraceae","Strict",0.0392333333333333,"Species",0.76,"Genus","PD"
"Pedicularis alaschanica","Orobanchaceae","Strict",1.24245555555556,"Species",0.32,"Genus","PD"
"Pedicularis cheilanthifolia","Orobanchaceae","Generalist",0.593433333333333,"Species",0.32,"Genus","PD"
"Pedicularis kansuensis","Orobanchaceae","Generalist",0.662222222222222,"Species",0.32,"Genus","PD"
"Pedicularis lachnoglossa","Orobanchaceae","Generalist",1.53748333333333,"Species",0.32,"Genus","PD"
"Pedicularis lasiophrys","Orobanchaceae","Generalist",0.448673333333333,"Species",0.32,"Genus","PD"
"Pedicularis longiflora","Orobanchaceae","Generalist",1.07133333333333,"Species",0.32,"Genus","PD"
"Pedicularis pseudoingens","Orobanchaceae","Strict",0.533666666666667,"Species",0.32,"Genus",NA
"Pedicularis rhinanthoides","Orobanchaceae","Generalist",0.840166666666667,"Species",0.32,"Genus","PD"
"Pedicularis szetschuanica","Orobanchaceae","Strict",0.381,"Species",0.32,"Genus",NA
"Pedicularis ternata","Orobanchaceae","Strict",0.4637,"Species",0.32,"Genus","PD"
"Pedicularis tuberosa","Orobanchaceae","Strict",0.5448,"Species",0.32,"Genus",NA
"Pelargonium helmsii","Geraniaceae","Strict",1.05,"Species",1,"Genus",NA
"Pennisetum centrasiaticum","Poaceae","Generalist",0.4727,"Species",0.41,"Genus","PD"
"Pentachondra pumila","Ericaceae","Strict",0.9,"Species",0.27,"Family",NA
"Perezia pedicularidifolia","Compositae","Generalist",2.345,"Genus",1,"Genus",NA
"Persicaria vivipara","Polygonaceae","Strict",1.878,"Species",0.68,"Species",NA
"Phleum alpinum","Poaceae","Strict",0.38,"Species",0.19,"Genus",NA
"Phlomoides rotata","Lamiaceae","Generalist",3.799,"Species",0.93,"Family",NA
"Phyteuma hemisphaericum","Campanulaceae","Strict",0.118355555555556,"Genus",0.22,"Family",NA
"Phyteuma sieberi","Campanulaceae","Strict",0.118355555555556,"Genus",0.22,"Family","PD"
"Pilosella officinarum","Compositae","Generalist",0.19785,"Species",1,"Family",NA
"Pimelea axiflora","Thymelaeaceae","Generalist",2.5132,"Species",0.99,"Family",NA
"Pimelea ligustrina","Thymelaeaceae","Generalist",3.2015,"Species",0.99,"Family",NA
"Pinguicula leptoceras","Lentibulariaceae","Generalist",0.0235,"Genus",1,"Genus",NA
"Piptatherum munroi","Poaceae","Generalist",1.56533333333333,"Species",0.2,"Family","PD"
"Plantago alpina","Plantaginaceae","Strict",0.6,"Species",0.72,"Genus",NA
"Plantago atrata","Plantaginaceae","Strict",3.0744,"Species",0.72,"Genus",NA
"Plantago depressa","Plantaginaceae","Generalist",0.358988888888889,"Species",0.72,"Genus","PD"
"Plantago glacialis","Plantaginaceae","Strict",0.918788607594937,"Genus",0.72,"Genus",NA
"Plantago muelleri","Plantaginaceae","Strict",0.918788607594937,"Genus",0.72,"Genus",NA
"Plantago nivalis","Plantaginaceae","Strict",0.918788607594937,"Genus",0.72,"Genus",NA
"Pleurospermum hookeri","Apiaceae","Generalist",1.55833333333333,"Species",0.06,"Genus","MPD"
"Pleurospermum wilsonii","Apiaceae","Strict",5.35,"Genus",0.06,"Genus","MPD"
"Pleurospermum wrightianum","Apiaceae","Strict",5.35,"Genus",0.06,"Genus",NA
"Poa alpina","Poaceae","Strict",0.3592,"Species",0.12,"Genus","PD"
"Poa annua","Poaceae","Generalist",0.2507,"Species",0.12,"Genus","PD"
"Poa attenuata","Poaceae","Strict",0.517711111111111,"Species",0.12,"Genus","PD"
"Poa costiniana","Poaceae","Generalist",0.412,"Species",0.12,"Genus",NA
"Poa hiemata","Poaceae","Generalist",0.356,"Species",0.12,"Genus",NA
"Poa phillipsiana","Poaceae","Generalist",0.4161,"Species",0.12,"Genus",NA
"Poa pratensis","Poaceae","Generalist",0.128516666666667,"Species",0.12,"Genus","PD"
"Poa sikkimensis","Poaceae","Strict",0.292,"Species",0.12,"Genus","PD"
"Poa szechuensis","Poaceae","Generalist",0.21115,"Species",0.12,"Genus","PD"
"Podolepis robusta","Compositae","Generalist",0.628,"Species",1,"Family",NA
"Podospermum canum","Compositae","Generalist",3.2798,"Species",1,"Family",NA
"Polygala alpina","Polygalaceae","Strict",36.7580028571429,"Genus",0.83,"Genus",NA
"Polygonum fertile","Polygonaceae","Generalist",1.12133333333333,"Species",0.47,"Genus","ND"
"Polygonum macrophyllum","Polygonaceae","Generalist",1.06622222222222,"Species",0.47,"Genus",NA
"Polygonum sibiricum","Polygonaceae","Generalist",1.28865555555556,"Species",0.47,"Genus","PD"
"Polygonum sparsipilosum","Polygonaceae","Generalist",0.87915,"Species",0.47,"Genus","PD"
"Pomatosace filicula","Primulaceae","Generalist",0.686111111111111,"Species",0.3,"Family","PD"
"Potentilla aurea","Rosaceae","Strict",0.329940625,"Genus",0.88,"Genus","PD"
"Potentilla crantzii","Rosaceae","Strict",0.329940625,"Genus",0.88,"Genus",NA
"Potentilla grandiflora","Rosaceae","Generalist",0.329940625,"Genus",0.88,"Genus",NA
"Potentilla multifida","Rosaceae","Generalist",0.327683333333333,"Species",0.88,"Genus","PD"
"Potentilla pamiroalaica","Rosaceae","Strict",0.466766666666667,"Species",0.88,"Genus",NA
"Potentilla potaninii","Rosaceae","Generalist",0.254233333333333,"Species",0.88,"Genus","PD"
"Potentilla saundersiana","Rosaceae","Generalist",0.2345,"Species",0.88,"Genus","PD"
"Primula agleniana","Primulaceae","Strict",0.115,"Species",0.46,"Genus",NA
"Primula algida","Primulaceae","Strict",0.372251724137931,"Genus",0.46,"Genus",NA
"Primula auricula","Primulaceae","Strict",0.24925,"Species",0.46,"Genus","PD"
"Primula auriculata","Primulaceae","Strict",0.372251724137931,"Genus",0.46,"Genus",NA
"Primula daonensis","Primulaceae","Strict",0.372251724137931,"Genus",0.46,"Genus","PD"
"Primula farinosa","Primulaceae","Generalist",0.07,"Species",0.46,"Genus","PD"
"Primula gemmifera","Primulaceae","Generalist",0.157333333333333,"Species",0.46,"Genus","PD"
"Primula glaucescens","Primulaceae","Generalist",0.28,"Species",0.46,"Genus","PD"
"Primula integrifolia","Primulaceae","Strict",0.372251724137931,"Genus",0.46,"Genus","PD"
"Primula minima","Primulaceae","Strict",0.1484,"Species",0.46,"Genus","PD"
"Primula orbicularis","Primulaceae","Strict",0.190333333333333,"Species",0.46,"Genus","PD"
"Primula secundiflora","Primulaceae","Strict",0.372251724137931,"Genus",0.46,"Genus",NA
"Primula stenocalyx","Primulaceae","Generalist",0.03,"Species",0.46,"Genus","PD"
"Primula tangutica","Primulaceae","Strict",0.1115,"Species",0.46,"Genus","PD"
"Prostanthera cuneata","Lamiaceae","Generalist",1.4016,"Species",0.93,"Family",NA
"Psychrophila introloba","Ranunculaceae","Strict",0.8792,"Species",0.04,"Family",NA
"Pterocephalus hookeri","Caprifoliaceae","Generalist",2.89833333333333,"Species",0.34,"Family",NA
"Ptilagrostis dichotoma","Poaceae","Strict",0.85615,"Species",0.2,"Family","ND"
"Pyrethrum tatsienense","Compositae","Strict",0.448483333333333,"Species",1,"Family","ND"
"Ranunculus acrophilus","Ranunculaceae","Strict",1.57561958762887,"Genus",0.04,"Genus",NA
"Ranunculus anemoneus","Ranunculaceae","Strict",2.9575,"Species",0.04,"Genus",NA
"Ranunculus brotherusii","Ranunculaceae","Generalist",0.368011111111111,"Species",0.04,"Genus","MPD"
"Ranunculus clivicola","Ranunculaceae","Strict",1.57561958762887,"Genus",0.04,"Genus",NA
"Ranunculus dissectifolius","Ranunculaceae","Strict",1.57561958762887,"Genus",0.04,"Genus",NA
"Ranunculus graniticola","Ranunculaceae","Generalist",1.7748,"Species",0.04,"Genus",NA
"Ranunculus gunnianus","Ranunculaceae","Strict",2.1368,"Species",0.04,"Genus",NA
"Ranunculus kamchaticus","Ranunculaceae","Generalist",2.4067,"Species",0.04,"Genus",NA
"Ranunculus lappaceus","Ranunculaceae","Generalist",2.7941,"Species",0.04,"Genus",NA
"Ranunculus montanus","Ranunculaceae","Generalist",1.57561958762887,"Genus",0.04,"Genus",NA
"Ranunculus muelleri","Ranunculaceae","Strict",1.4172,"Species",0.04,"Genus",NA
"Ranunculus niphophilus","Ranunculaceae","Strict",1.57561958762887,"Genus",0.04,"Genus",NA
"Ranunculus pimpinellifolius","Ranunculaceae","Generalist",1.57561958762887,"Genus",0.04,"Genus",NA
"Reynoutria multiflora","Polygonaceae","Generalist",7.017,"Species",0.56,"Family",NA
"Rheum palmatum","Polygonaceae","Generalist",10.054,"Species",0.63,"Genus",NA
"Rhinanthus glacialis","Orobanchaceae","Generalist",2.25423,"Genus",0.21,"Genus",NA
"Rhodiola kirilowii","Crassulaceae","Generalist",0.122975,"Species",1,"Family","PD"
"Rhodiola macrocarpa","Crassulaceae","Generalist",0.0443,"Species",1,"Family","PD"
"Rhodiola tangutica","Crassulaceae","Generalist",0.179666666666667,"Species",1,"Family",NA
"Rhododendron ferrugineum","Ericaceae","Strict",0.028,"Species",0.25,"Genus","PD"
"Rhodophiala andicola","Amaryllidaceae","Generalist",11.62055,"Genus",0.3,"Family",NA
"Ribes petraeum","Grossulariaceae","Generalist",4.52595869565217,"Genus",0.02,"Genus","PD"
"Richea continentis","Ericaceae","Strict",0.0648,"Species",0.27,"Family",NA
"Roegneria breviglumis","Poaceae","Strict",3.84933333333333,"Species",0.2,"Family","PD"
"Rorippa elata","Brassicaceae","Generalist",0.237666666666667,"Species",1,"Family",NA
"Rumex alpestris","Polygonaceae","Strict",1.2168,"Species",0.5,"Genus",NA
"Rumex nepalensis","Polygonaceae","Generalist",3.37636666666667,"Species",0.5,"Genus","ND"
"Rumex suffruticosus","Polygonaceae","Strict",1.1488,"Species",0.5,"Genus",NA
"Rytidosperma alpicola","Poaceae","Strict",0.751082352941176,"Genus",0.2,"Family",NA
"Rytidosperma nudiflorum","Poaceae","Generalist",1.275,"Species",0.2,"Family",NA
"Rytidosperma pictum","Poaceae","Generalist",0.751082352941176,"Genus",0.2,"Family",NA
"Rytidosperma pumilum","Poaceae","Generalist",0.751082352941176,"Genus",0.2,"Family",NA
"Sagina saginoides","Caryophyllaceae","Strict",0.0429583333333333,"Genus",0.74,"Species",NA
"Sanguisorba filiformis","Rosaceae","Generalist",0.708333333333333,"Species",1,"Genus",NA
"Sanicula graveolens","Apiaceae","Generalist",2.655,"Species",0.04,"Species",NA
"Saponaria lutea","Caryophyllaceae","Strict",0.678,"Species",0.56,"Genus",NA
"Saussurea globosa","Compositae","Strict",1.8473,"Species",1,"Genus","PD"
"Saussurea graminea","Compositae","Strict",2.37433333333333,"Species",1,"Genus","PD"
"Saussurea hieracioides","Compositae","Strict",2.05911111111111,"Species",1,"Genus","PD"
"Saussurea kansuensis","Compositae","Strict",2.15533333333333,"Species",1,"Genus","PD"
"Saussurea pachyneura","Compositae","Strict",1.10166666666667,"Species",1,"Genus",NA
"Saussurea przewalskii","Compositae","Strict",2.11966666666667,"Species",1,"Genus","PD"
"Saussurea stella","Compositae","Generalist",1.50933333333333,"Species",1,"Genus","PD"
"Saussurea sylvatica","Compositae","Generalist",1.96751666666667,"Species",1,"Genus","PD"
"Saxifraga aizoides","Saxifragaceae","Generalist",0.05,"Species",0.33,"Genus","MPD"
"Saxifraga bryoides","Saxifragaceae","Strict",0.0302,"Species",0.33,"Genus","MPD"
"Saxifraga caesia","Saxifragaceae","Strict",0.0581075471698113,"Genus",0.33,"Genus","MPD"
"Saxifraga cespitosa","Saxifragaceae","Strict",0.0581075471698113,"Genus",0.33,"Genus",NA
"Saxifraga egregia","Saxifragaceae","Generalist",0.0211666666666667,"Species",0.33,"Genus","PD"
"Saxifraga exarata","Saxifragaceae","Strict",0.089,"Species",0.33,"Genus",NA
"Saxifraga heleonastes","Saxifragaceae","Strict",0.0746666666666667,"Species",0.33,"Genus",NA
"Saxifraga hirculus","Saxifragaceae","Generalist",0.0581075471698113,"Genus",0.33,"Genus","ND"
"Saxifraga hostii","Saxifragaceae","Generalist",0.26,"Species",0.33,"Genus",NA
"Saxifraga melanocentra","Saxifragaceae","Strict",0.0446666666666667,"Species",0.33,"Genus",NA
"Saxifraga montana","Saxifragaceae","Generalist",0.0358166666666667,"Species",0.33,"Genus","PD"
"Saxifraga nivalis","Saxifragaceae","Strict",0.0581075471698113,"Genus",0.33,"Genus","PD"
"Saxifraga oppositifolia","Saxifragaceae","Strict",0.11,"Species",0.33,"Genus","MPD"
"Saxifraga paniculata","Saxifragaceae","Generalist",0.0625,"Species",0.33,"Genus","MPD"
"Saxifraga rivularis","Saxifragaceae","Strict",0.0581075471698113,"Genus",0.33,"Genus",NA
"Saxifraga stellaris","Saxifragaceae","Strict",0.0352,"Species",0.33,"Genus","MPD"
"Saxifraga tangutica","Saxifragaceae","Generalist",0.0581075471698113,"Genus",0.33,"Genus",NA
"Schizanthus grahamii","Solanaceae","Generalist",1.2261,"Species",0.47,"Family",NA
"Schizanthus hookeri","Solanaceae","Generalist",1.5,"Species",0.47,"Family",NA
"Scleranthus singuliflorus","Caryophyllaceae","Strict",0.543333333333333,"Genus",0.72,"Genus",NA
"Scorzoneroides cantabrica","Compositae","Strict",0.88475,"Genus",1,"Family",NA
"Scorzoneroides helvetica","Compositae","Strict",1.71,"Species",1,"Family",NA
"Sedum ulricae","Crassulaceae","Strict",0.218,"Species",1,"Genus","PD"
"Sedum villosum","Crassulaceae","Generalist",0.0536916666666667,"Genus",1,"Genus","PD"
"Senecio bipontinii","Compositae","Generalist",0.992407317073171,"Genus",1,"Genus",NA
"Senecio chionophilus","Compositae","Strict",0.992407317073171,"Genus",1,"Genus",NA
"Senecio doronicum","Compositae","Strict",0.28,"Species",1,"Genus",NA
"Senecio dubitabilis","Compositae","Generalist",0.268655555555556,"Species",1,"Genus","PD"
"Senecio eruciformis","Compositae","Generalist",0.6128,"Species",1,"Genus",NA
"Senecio gunnii","Compositae","Generalist",0.253,"Species",1,"Genus",NA
"Senecio squalidus","Compositae","Generalist",0.287166666666667,"Species",1,"Genus",NA
"Senecio thianschanicus","Compositae","Generalist",0.992407317073171,"Genus",1,"Genus",NA
"Sesleria albicans","Poaceae","Generalist",0.32,"Species",0.09,"Genus",NA
"Sesleria caerulea","Poaceae","Generalist",1.3264,"Species",0.09,"Genus",NA
"Sesleria sphaerocephala","Poaceae","Strict",1.9814,"Genus",0.09,"Genus",NA
"Sibbaldia procumbens","Rosaceae","Strict",0.758833333333333,"Species",1,"Genus",NA
"Silene acaulis","Caryophyllaceae","Strict",0.3596,"Species",0.61,"Genus","PD"
"Silene andicola","Caryophyllaceae","Strict",0.621213836477987,"Genus",0.61,"Genus",NA
"Silene ciliata","Caryophyllaceae","Generalist",0.621213836477987,"Genus",0.61,"Genus",NA
"Silene himalayensis","Caryophyllaceae","Generalist",0.621213836477987,"Genus",0.61,"Genus","ND"
"Silene rupestris","Caryophyllaceae","Generalist",0.0696,"Species",0.61,"Genus","PD"
"Silene suecica","Caryophyllaceae","Strict",0.0695,"Species",0.61,"Genus",NA
"Silene vallesia","Caryophyllaceae","Generalist",0.6768,"Species",0.61,"Genus",NA
"Silene vulgaris","Caryophyllaceae","Generalist",0.912,"Species",0.61,"Genus",NA
"Sinochasea trigyna","Poaceae","Strict",2.12298333333333,"Species",0.2,"Family","PD"
"Sinopodophyllum hexandrum","Berberidaceae","Strict",27.3323,"Species",0.08,"Family","MPD"
"Sisymbrium heteromallum","Brassicaceae","Generalist",0.241,"Species",1,"Genus","PD"
"Sisyrinchium arenarium","Iridaceae","Generalist",3.09,"Species",0.11,"Genus",NA
"Sisyrinchium pearcei","Iridaceae","Generalist",1.21891388888889,"Genus",0.11,"Genus",NA
"Smelowskia tibetica","Brassicaceae","Strict",0.213333333333333,"Species",1,"Family",NA
"Soldanella alpina","Primulaceae","Strict",0.21,"Species",0.3,"Family","ND"
"Solidago virgaurea","Compositae","Generalist",0.468583333333333,"Species",1,"Genus","PD"
"Spiraea mongolica","Rosaceae","Generalist",0.508189473684211,"Genus",0.73,"Genus",NA
"Stachys grandidentata","Lamiaceae","Generalist",2.1696,"Species",0.77,"Genus",NA
"Stackhousia monogyna","Celastraceae","Generalist",2.6304,"Species",0.64,"Family","PD"
"Stackhousia pulvinaris","Celastraceae","Strict",1.778,"Species",0.64,"Family",NA
"Stellaria decumbens","Caryophyllaceae","Strict",0.28575,"Species",0.69,"Genus",NA
"Stellaria uda","Caryophyllaceae","Generalist",0.298666666666667,"Species",0.69,"Genus","ND"
"Stephanachne nigrescens","Poaceae","Strict",2.44935,"Species",0.2,"Family","PD"
"Stipa aliena","Poaceae","Generalist",4.054,"Species",0.12,"Genus","PD"
"Stipa breviflora","Poaceae","Generalist",1.83833333333333,"Species",0.12,"Genus",NA
"Stipa capillacea","Poaceae","Generalist",5.483,"Species",0.12,"Genus","PD"
"Stipa concinna","Poaceae","Strict",0.6235,"Species",0.12,"Genus","PD"
