,taxon.name.in.seed.sid,mass,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,taxon.new
2033,Deschampsia cespitosa subsp. cespitosa,0.356,Deschampsia,,cespitosa,NA,subsp.,cespitosa,,tro-25510913,TRUE,1.1,Synonym,Poaceae,Deschampsia,,cespitosa,,,(L.) P.Beauv.,kew-407579,Accepted,FALSE,FALSE,FALSE,13/04/2020,Deschampsia_cespitosa
2034,Deschampsia cespitosa (L.) P.Beauv. Orthodox,0.25,Deschampsia,,cespitosa,NA,NA,,(L.) P.Beauv. Orthodox,kew-407579,TRUE,1.1,Accepted,Poaceae,Deschampsia,,cespitosa,,,(L.) P.Beauv.,kew-407579,Accepted,FALSE,FALSE,FALSE,13/04/2020,Deschampsia_cespitosa
2369,Elymus sibiricus L. Orthodox,2.6572,Elymus,,sibiricus,NA,NA,,L. Orthodox,kew-411563,TRUE,1.1,Accepted,Poaceae,Elymus,,sibiricus,,,L.,kew-411563,Accepted,FALSE,FALSE,FALSE,13/04/2020,Elymus_sibiricus
2620,Eriophorum angustifolium Honck. Orthodox?,0.41,Eriophorum,,angustifolium,NA,NA,,Honck. Orthodox?,kew-244512,TRUE,1.1,Accepted,Cyperaceae,Eriophorum,,angustifolium,,,Honck.,kew-244512,Accepted,FALSE,FALSE,FALSE,13/04/2020,Eriophorum_angustifolium
2626,Eriophorum scheuchzeri Hoppe Orthodox,0.4276,Eriophorum,,scheuchzeri,NA,NA,,Hoppe Orthodox,kew-244598,TRUE,1.1,Accepted,Cyperaceae,Eriophorum,,scheuchzeri,,,Hoppe,kew-244598,Accepted,FALSE,FALSE,FALSE,13/04/2020,Eriophorum_scheuchzeri
2690,Festuca halleri All. Orthodox p,1.2496,Festuca,,halleri,NA,NA,p,All. Orthodox,kew-415330,TRUE,1.1,Accepted,Poaceae,Festuca,,halleri,,,All.,kew-415330,Accepted,TRUE,FALSE,FALSE,13/04/2020,Festuca_halleri
2699,"Festuca melanopsis B.Foggi, G.Rossi & M.A.Signorini Orthodox",1.4784,Festuca,,melanopsis,NA,NA,,"B.Foggi, G.Rossi & M.A.Signorini Orthodox",kew-415669,TRUE,1.1,Synonym,Poaceae,Festuca,,violacea,,,Ser. ex Gaudin,kew-417166,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_violacea
2707,Festuca ovina var. duriuscula Schrad.,0.94,Festuca,,ovina,NA,var.,duriuscula,Schrad.,tro-25523701,TRUE,1.1,Synonym,Poaceae,Festuca,,rubra,,,L.,kew-416502,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_rubra
2708,Festuca ovina L. Orthodox,0.6,Festuca,,ovina,NA,NA,,L. Orthodox,kew-415853,TRUE,1.1,Accepted,Poaceae,Festuca,,ovina,,,L.,kew-415853,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_ovina
2711,Festuca paniculata (L.) Schinz & Thell. Orthodox,5.192,Festuca,,paniculata,NA,NA,,(L.) Schinz & Thell. Orthodox,kew-416194,TRUE,1.1,Accepted,Poaceae,Festuca,,paniculata,,,(L.) Schinz & Thell.,kew-416194,Accepted,FALSE,FALSE,FALSE,13/04/2020,Festuca_paniculata
