Source,Taxon,Country,Region,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Bu,Achnatherum splenolens,China,Qinghai-Tibet Plateau,35.85,102,2380,NA,0,N,N,N,Y,1,20,5,12,50,40,50
Bu,Aconitum barbatum,China,Qinghai-Tibet Plateau,35.85,102,2188,NA,0,N,N,N,Y,1,20,5,12,50,11,50
Bu,Aconitum barbatum,China,Qinghai-Tibet Plateau,35.85,102,2188,NA,0,N,N,N,Y,1,20,5,12,50,8,50
Bu,Aconitum barbatum,China,Qinghai-Tibet Plateau,35.85,102,2188,NA,0,N,N,N,Y,1,20,5,12,50,14,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,11,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,6,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3740,NA,0,N,N,N,Y,1,20,5,12,50,12,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3824,NA,0,N,N,N,Y,1,20,5,12,50,1,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3824,NA,0,N,N,N,Y,1,20,5,12,50,1,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3824,NA,0,N,N,N,Y,1,20,5,12,50,0,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3300,NA,0,N,N,N,Y,1,25,10,0,50,7,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3300,NA,0,N,N,N,Y,1,25,10,0,50,13,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3300,NA,0,N,N,N,Y,1,25,10,0,50,8,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3300,NA,0,N,N,N,Y,1,20,5,0,50,22,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3300,NA,0,N,N,N,Y,1,20,5,0,50,26,50
Bu,Aconitum brunneum,China,Qinghai-Tibet Plateau,35.85,102,3300,NA,0,N,N,N,Y,1,20,5,0,50,26,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,3712,NA,0,N,N,N,Y,1,20,5,12,50,3,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,3712,NA,0,N,N,N,Y,1,20,5,12,50,1,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,3712,NA,0,N,N,N,Y,1,20,5,12,50,1,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,35,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,9,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,31,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,30,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,13,50
Bu,Aconitum flavum,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,11,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,2100,NA,0,N,N,N,Y,1,20,5,0,50,1,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,21,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,23,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,2100,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,22,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,22,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,2100,NA,0,N,N,N,Y,1,20,5,0,50,1,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,2100,NA,0,N,N,N,Y,1,25,10,0,50,4,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,2100,NA,0,N,N,N,Y,1,25,10,0,50,2,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,2100,NA,0,N,N,N,Y,1,25,10,0,50,2,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,20,5,0,50,25,50
Bu,Aconitum gymnandrum,China,Qinghai-Tibet Plateau,35.85,102,3000,NA,0,N,N,N,Y,1,25,10,0,50,26,50
LiuGuja,Aconitum gymnandrum Maxim.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,82,150
LiuGuja,Aconitum gymnandrum Maxim.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,90,150
LiuGuja,Aconitum gymnandrum Maxim.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,43,150
Bu,Aconitum henryi,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Aconitum henryi,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Aconitum henryi,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Aconitum henryi,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Aconitum henryi,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Aconitum henryi,China,Qinghai-Tibet Plateau,35.85,102,2300,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Aconitum sinomontanum,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,20,5,0,50,9,50
Bu,Aconitum sinomontanum,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,25,10,0,50,23,50
Bu,Aconitum sinomontanum,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,25,10,0,50,18,50
Bu,Aconitum sinomontanum,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,20,5,0,50,10,50
Bu,Aconitum sinomontanum,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,20,5,0,50,6,50
Bu,Aconitum sinomontanum,China,Qinghai-Tibet Plateau,35.85,102,2200,NA,0,N,N,N,Y,1,25,10,0,50,22,50
LiuGuja,Aconitum sinomontanum Nakai,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,1,150
LiuGuja,Aconitum sinomontanum Nakai,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,20,10,0.5,150,2,150
LiuGuja,Aconitum sinomontanum Nakai,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,15,15,0.5,150,4,150
Bu,Aconitum tanguticum,China,Qinghai-Tibet Plateau,35.85,102,3900,NA,0,N,N,N,Y,1,20,5,0,50,0,50
Bu,Aconitum tanguticum,China,Qinghai-Tibet Plateau,35.85,102,3900,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Aconitum tanguticum,China,Qinghai-Tibet Plateau,35.85,102,3900,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Aconitum tanguticum,China,Qinghai-Tibet Plateau,35.85,102,3900,NA,0,N,N,N,Y,1,20,5,0,50,2,50
Bu,Aconitum tanguticum,China,Qinghai-Tibet Plateau,35.85,102,3900,NA,0,N,N,N,Y,1,25,10,0,50,0,50
Bu,Aconitum tanguticum,China,Qinghai-Tibet Plateau,35.85,102,3900,NA,0,N,N,N,Y,1,20,5,0,50,0,50
LiuGuja,Acroglochin persicarioides (Poir.)Mog.,China,Qinghai-Tibet Plateau,35.85,102,2800-4200,NA,0,N,N,N,Y,1,25,5,0.5,150,43,150
