ID,Family ,Species,loggevity,dispersal mode,altitude(m),"seed mass (g,100seeds)-sample1","seed mass (g,100seeds)-sample2","seed mass (g,100seeds)-sample3"
2.125,Gentianaceae ,Lomatogonium carinthiacum ,A,unassisted,3903,0.0126,0.0178,0.0156
2.165,Scrophulariaceae,Veronica ciliata ,P,unassisted,3903,0.0143,0.0169,0.0158
10.18,Poaceae,Poa declinata ,P,unassisted,3932,0.0142,0.016,0.0169
6.12,Crassulaceae,Sedum sp1,A,unassisted,2926,0.0152,0.021,0.011
2.157,Caryophyllaceae,Silene apricum,A,unassisted,2160,0.0152,0.015,0.0175
13.61,Asteraceae,Leontopodium anaum ,P,wind,3526,0.0148,0.0165,0.017
27.04,Caryophyllaceae,Myosoton aquaticum,A,unassisted,2172,0.0179,0.0143,0.0162
10.16,Poaceae,Poa attenuata,P,unassisted,3479,0.0167,0.0156,0.0163
6.15,Crassulaceae,Rhodiola dumulose,P,unassisted,4016,0.0144,0.0126,0.0219
10.24,Poaceae,Poa sinoglauca Ohwi,P,unassisted,2968,0.0159,0.0175,0.0158
26.04,Brassicaceae,Capsella bursa-pastoris,A,ant,2691,0.0146,0.0177,0.017
13.25,Asteraceae,Artemisia sp1,P,wind,2160,0.0107,0.0273,0.0122
2.75,Asteraceae,Artemisia dubia ,P,wind,2188,0.0154,0.0157,0.0193
13.65,Asteraceae,Anaphalis hancockii,P,wind,3514,0.0166,0.0164,0.0177
27.09,Caryophyllaceae,Cerastium pusillum ,P,unassisted,3903,0.0189,0.014,0.0182
17.09,Gentianaceae ,Swertia bifolia Batal,P,unassisted,3903,0.0155,0.018,0.0177
4.92,Campanulaceae,Adenophora potaninii,P,unassisted,2668,0.0176,0.0166,0.0173
25.03,Cyperaceae,Scirpus setaceus L.,P,unassisted,3587,0.0088,0.0329,0.0108
25.07,Cyperaceae,Scirpus sp,P,unassisted,3588,0.0088,0.0329,0.0108
6.21,Gentianaceae ,Gentiana offcinolis ,P,unassisted,2081,0.0167,0.0198,0.0167
17.01,Lamiaceae,Isodon henryi ,P,unassisted,2081,0.0169,0.0178,0.0185
1.03,Rosaceae,Potentilla potaninii,P,unassisted,2926,0.0189,0.0168,0.0177
2.98,Papaveraceae,Meconopsis horridula ,P,unassisted,3903,0.0149,0.021,0.0175
6.13,Crassulaceae,Rhodiola algida var tangutica ,P,unassisted,3740,0.0183,0.0163,0.0193
2.109,Poaceae,Agrostis perlasa Pilger,P,unassisted,2954,0.0209,0.0175,0.0165
27.07,Caryophyllaceae,Cerastium fontanum subsp.triviale ,A,unassisted,3530,0.0204,0.0184,0.0162
