ID,Family ,Species,loggevity,dispersal mode,altitude(m),"seed mass (g,100seeds)-sample1","seed mass (g,100seeds)-sample2","seed mass (g,100seeds)-sample3"
4.17,Rosaceae,Sanguisorba filiformis,P,unassisted,3500,0.0743,0.0723,0.0659
1.53,Asteraceae,Kochia scoparia,A,unassisted,2380,0.0694,0.0729,0.0738
2.18,Ranunculaceae,Clematis brericaudata,P,wind,2160,0.07,0.0766,0.0697
13.01,Asteraceae,Taraxacum maurocarpum ,P,wind,3550,0.0728,0.0701,0.0735
10.14,Poaceae,Trikeraia pappiformis ,P,unassisted,2926,0.0629,0.0656,0.0895
4.87,Asteraceae,Polygonum Macrophyllum ,P,unassisted,3021,0.07,0.0686,0.0802
2.78,Asteraceae,Aster souliei Franch.,P,wind,3550,0.0765,0.0719,0.0709
19.12,Ranunculaceae,Thalictrum alpinum,P,adhesive,3740,0.0725,0.0717,0.0752
2.103,Poaceae,Beckmannia syzigachne,A,unassisted,3468,0.0688,0.0862,0.0671
2.158,Caryophyllaceae,Dianthus superbus,P,unassisted,3423,0.0878,0.0655,0.0703
29.02,Scrophulariaceae,Pedicularis spicata Pall.,A,unassisted,2188,0.0688,0.0737,0.0815
15.15,Asteraceae,Polygonum sp,A,unassisted,3397,0.0786,0.0724,0.0755
2.32,Asteraceae,Chenopodium acuminatum ,A,unassisted,2168,0.0789,0.0718,0.0789
4.27,Valerianaceae,Valeriana officinalis var.officinalis,P,unassisted,3050,0.0784,0.081,0.0748
13.17,Asteraceae,Prenanthes tatarinowii ,P,wind,2229,0.0828,0.0722,0.0795
2.86,Asteraceae,Prenanthes macrophylla Franch,P,wind,2514,0.0733,0.0833,0.0799
10.53,Poaceae,Festuca sinensis,P,unassisted,2954,0.074,0.0806,0.0862
2.46,Papaveraceae,Macleaya microcarpa ,P,unassisted,3300,0.0835,0.0816,0.0759
24.06,Apiaceae,Bupleurum smithii ,P,unassisted,2532,0.081,0.0837,0.0777
4.29,Fumariaceae,Corydalis ophiocarpa,P,unassisted,2691,0.0754,0.0816,0.0856
4.33,Primulaceae ,Pomatosace filicula ,A,unassisted,2954,0.0818,0.0784,0.0831
13.02,Asteraceae,Ligularia tangutorum ,P,wind,3530,0.0818,0.0781,0.0845
4.88,Asteraceae,Kalimeris mongalica ,P,wind,2202,0.0802,0.0876,0.0779
2.52,Rubiaceae,Galium verum ,P,unassisted,3011,0.1014,0.0828,0.0656
2.68,Asteraceae,Carpesium lipskyi ,P,wind,2954,0.0827,0.0855,0.0835
10.34,Poaceae,Stipa bungeara ,P,adhesive,2768,0.0824,0.0965,0.0745
2.42,Apiaceae,Tongoloa gracilis,P,unassisted,2229,0.0875,0.0783,0.0885
24.02,Apiaceae,Chamaesium sp,P,unassisted,3514,0.0823,0.0891,0.0842
2.54,Apiaceae,Ligusticum thomsonii ,P,wind,3397,0.0796,0.0914,0.0858
2.67,Asteraceae,Carpesium minus,P,wind,3065,0.0852,0.0875,0.0866
6.26,Lamiaceae,Dracocephalum sp1,P,unassisted,3467,0.0992,0.0691,0.0916
24.13,Apiaceae,Bupleurum sp.,P,unassisted,3659,0.094,0.0832,0.0847
1.21,Asteraceae,Atriplex patens,A,unassisted,2954,0.0859,0.082,0.0942
14.02,Asteraceae,Atriplex sp,A,unassisted,2955,0.0859,0.082,0.0942
2.89,Asteraceae,Leibinitzia anandria,P,wind,2202,0.0851,0.0873,0.0899
4.7,Ranunculaceae,Clematis clarkeana ,P,wind,2597,0.0882,0.0834,0.0928
4.96,Plantaginaceae,Hippuris valgaris ,P,unassisted,3036,0.0888,0.0907,0.087
24.07,Apiaceae,Bupleurum smithii var. parvifolium ,P,unassisted,3526,0.0852,0.0955,0.0868
1.52,Cyperaceae,Kobresia kansuensis,P,unassisted,3550,0.0912,0.0856,0.0916
3.01,Solanaceae,Solanum alatum ,A,unassisted,2172,0.0875,0.087,0.0943
13.58,Asteraceae,Cirsium setosum ,P,wind,2954,0.089,0.0889,0.0934
2.133,Poaceae,Ptilagrastis dichotona ,P,wind,3903,0.0915,0.0912,0.0894
4.3,Rosaceae,Sibbaldia procumbens var.aphanopetala ,P,unassisted,3832,0.0911,0.0908,
13.28,Asteraceae,Carpesium triste var. sinensis,P,wind,2168,0.0935,0.094,0.0917
2.65,Asteraceae,Parasenecio roborowskii,P,wind,2081,0.0966,0.099,0.0844
2.03,Asteraceae,Salsola collina,A,unassisted,3049,0.0993,0.0868,0.0945
24.11,Apiaceae,Bupleurum yinchowense,P,unassisted,2430,0.0945,0.0898,0.0971
29.04,Scrophulariaceae,Pedicularis longiflora var. tubiformis,A,unassisted,3740,0.0907,0.0935,0.1003
1.17,Alliaceae,Allium mongolicum ,P,ant,2205,0.0998,0.0971,0.0928
1.72,Scrophulariaceae,Pedicularis rhinanthoides subsp. labellata ,P,unassisted,3530,0.0967,0.0923,0.1054
2.51,Juncaginaceae,Triglochin palustre ,P,unassisted,3113,0.1008,0.1016,0.0924
4.102,Fumariaceae,Corydalis adunca ,P,unassisted,1755,0.0948,0.1008,0.1036
24.09,Apiaceae,Bupleurum sp.,P,unassisted,2229,0.1007,0.1003,0.0994
2.81,Brassicaceae,Thlaspi arvense ,A,ant,3514,0.0932,0.1082,0.0991
4.22,Lamiaceae,Elsholtzia densa,A,unassisted,3526,0.1023,0.0992,
4.06,Polemoniaceae,Polemonium coeruleum var. chinense Brand,P,unassisted,3050,0.0966,0.1166,0.0955
6.07,Lamiaceae,Elsholtzia densa var. ianthina,A,unassisted,3526,0.0978,0.1138,0.1024
6.17,Lamiaceae,Leonurus japonicus Houtt.,A,unassisted,2160,0.1045,0.1043,0.1077
1.48,Apiaceae,Chamaesium paradoxum ,P,unassisted,3530,0.1004,0.0936,0.1229
24.12,Apiaceae,Bupleurum commelyhoideum ,P,unassisted,3454,0.0925,0.1196,0.1056
13.51,Asteraceae,Ligularia przewalskii ,P,wind,2954,0.095,0.1075,0.1176
6.22,Lamiaceae,Scutellaria rederiana ,P,unassisted,3554,0.1205,0.1067,0.0947
2.56,Apiaceae,Seseli squarrulosum ,P,unassisted,2430,0.1108,0.1179,0.0949
1.4,Cyperaceae,Scirpus triqueter,P,unassisted,2209,0.0944,0.1145,0.1157
2.04,Ranunculaceae,Thalictrum rutifolium ,P,adhesive,3740,0.1174,0.112,0.0968
2.136,Poaceae,Melica przewalskyi,P,unassisted,2081,0.107,0.1098,0.112
24.14,Apiaceae,Angelica laxifolliata ,P,wind,2081,0.1151,0.1109,0.1036
3.19,Ranunculaceae,Clematis argentilucida,P,wind,2160,0.1126,0.1134,0.1042
1.45,Apiaceae,Bupleurum chinense ,P,unassisted,2188,0.1149,0.1127,0.1111
6.09,Lamiaceae,Ajuga lupulina ,P,ant,3445,0.108,0.116,0.121
1.59,Gentianaceae ,Halenia elliptica ,A,unassisted,3530,0.1182,0.1193,0.1078
2.07,Lamiaceae,Nepeta prattii,P,unassisted,3020,0.1263,0.1113,0.1078
4.51,Balsaminaceae,Impatiens noli-tangere,A,wind,2168,0.1216,0.1095,0.1154
10.27,Poaceae,Achnatherum inebrians ,P,unassisted,2768,0.104,0.1267,0.1165
2.144,Fabaceae,Astragalus polycladus,P,unassisted,3530,0.1143,0.1161,0.1181
2.161,Scrophulariaceae,Pedicularis striata sp. arachnoidea,P,unassisted,2251,0.1159,0.114,0.1211
1.44,Cyperaceae,Kobresia kansuensis,P,unassisted,3740,0.1146,0.1258,0.1106
3.38,Brassicaceae,Braya rosea,P,ant,3402,0.1189,0.1189,0.12
2.9,Asteraceae,Cremanthodium lineare,P,wind,3514,0.1218,0.1144,0.1216
13.74,Asteraceae,Saussurea macrota,P,wind,3434,0.1194,0.1175,0.1226
2.93,Asteraceae,Saussurea parviflora ,P,wind,3062,0.1205,0.1177,0.1232
1.14,Rosaceae,Coluria longifilia,P,unassisted,3824,0.1363,0.0582,0.1683
9.1,Fabaceae,Oxytropis kansuensis,P,unassisted,3550,0.1203,0.125,0.1202
4.05,Ranunculaceae,Clematis tangutica ,P,wind,2380,0.1288,0.1245,0.1137
2.178,Ranunculaceae,Thalictrum przewalskii,P,adhesive,3397,0.1255,0.1205,0.1216
1.89,Liliaceae,Lilium duchartrei,P,unassisted,2514,0.1562,0.0778,0.1356
2.22,Asteraceae,Polygonum aviculare ,A,unassisted,2954,0.128,0.1301,0.1125
2.177,Scrophulariaceae,Pedicularis schizorhyncha,P,unassisted,3995,0.1209,0.133,
6.18,Scrophulariaceae,Pedicularis sp4.,P,unassisted,3995,0.1209,0.133,
4.45,Cannabaceae,Hummlus lapulus cordifolius ,P,unassisted,2229,0.1266,0.1299,0.1346
13.04,Asteraceae,Saussurea sylvatica,P,wind,3113,0.1254,0.1424,0.125
19.02,Ranunculaceae,Aconitum flavum ,P,unassisted,3712,0.135,0.1403,0.119
13.05,Asteraceae,Saussurea sp1.,P,wind,2514,0.127,0.1377,0.1304
13.77,Asteraceae,Leibinitzia nepalensis ,P,wind,3100,0.1265,0.1363,0.1339
15.05,Ranunculaceae,Aquilegia oxysepala,P,unassisted,2188,0.132,0.1346,0.1322
6.14,Lamiaceae,Dracocephalum heterophyllum ,P,unassisted,3445,0.132,0.1322,0.1365
4.21,Apiaceae,Heracleum souliei,P,wind,2514,0.1352,0.138,0.1288
1.16,Apiaceae,Angelica dahurica ,P,wind,2691,0.1352,0.138,0.1288
2.1,Asteraceae,Axyris amaron thoicles,A,unassisted,2251,0.1322,0.1343,0.1364
15.04,Asteraceae,Polygonum sibirilum,P,unassisted,3500,0.1325,0.1312,0.1403
10.4,Poaceae,Oryzopsis tibetica,P,unassisted,2659,0.1503,0.1259,0.1307
1.7,Cyperaceae,Kobresia setchwanensis ,P,unassisted,3550,0.1569,0.1316,0.1194
2.33,Ranunculaceae,Thalictrum. minus,P,adhesive,2160,0.1557,0.1319,0.1228
2.142,Fabaceae,Astragalus bhotanensis ,P,unassisted,2514,0.138,0.1348,0.1396
4.82,Valerianaceae,Patrinia heterophylla,P,unassisted,2251,0.1573,0.1221,0.1331
15.02,Asteraceae,Rumex aquaticus L.,P,wind,3530,0.1566,0.1495,0.1123
1.87,Asteraceae,Corispermum stauntonii ,A,unassisted,3417,0.1434,0.1408,0.1571
1.1,Lamiaceae,Dracocephalum tanguticum ,P,unassisted,3554,0.1432,0.1419,0.1604
6.29,Lamiaceae,Stachys sieboldii mia.,P,unassisted,2954,0.1474,0.1538,0.1465
10.42,Poaceae,Echinochloa colonum,A,unassisted,1879,0.1507,0.1438,0.1562
4.23,Boraginaceae,Lappula intermedia ,A,unassisted,3028,0.1508,0.1529,0.1553
2.148,Fabaceae,Astragalus adsurgens ,P,unassisted,2954,0.1509,0.1522,0.1563
10.36,Poaceae,Elymus cylindricus ,P,unassisted,2954,0.1609,0.1517,0.1476
10.49,Poaceae,Leymus secalinus ,P,unassisted,2954,0.1568,0.1334,0.174
13.5,Asteraceae,Saussurea sp2,P,wind,3932,0.168,0.1395,0.1576
3.26,Asteraceae,Saussurea salicifolia ,P,wind,3933,0.168,0.1395,0.1576
2.41,Apiaceae,Pleurospermum hookeri var. thomsonii,P,unassisted,3740,0.1547,0.1543,0.1585
2.011,Poaceae,Orgzopsis munroi,P,unassisted,2532,0.1521,0.1681,0.1494
2.017,Scrophulariaceae,Pedicularis lachnoglossa,P,unassisted,3565,0.1597,0.1588,0.1515
9.11,Fabaceae,Oxytropis longipedunculata,P,unassisted,3021,0.1622,0.161,0.1509
2.7,Asteraceae,Saussurea nigrescens ,P,wind,3021,0.1752,0.1476,0.1573
2.66,Asteraceae,Cacalia deltophylla,P,wind,3565,0.1689,0.1582,0.1607
9.09,Fabaceae,Oxytropis ochrocephala ,P,unassisted,2954,0.1603,0.1705,0.1577
2.94,Rosaceae,Geum aleppicum ,P,adhesive,2205,0.1719,0.1603,0.1615
4.73,Ranunculaceae,Clematis sp ,P,wind,3397,0.175,0.1596,0.1613
15.14,Asteraceae,Polygonum nepalense,A,unassisted,2202,0.1678,0.1714,0.1568
2.6,Apiaceae,Pimpinella diversifolia,P,unassisted,2168,0.169,0.1682,0.162
1.12,Alliaceae,Allium cyathophorum var. farreri,P,ant,2926,0.1855,0.1404,0.1812
2.43,Apiaceae,Heradeum miuefolium ,P,wind,2960,0.1929,0.1613,0.1557
19.11,Ranunculaceae,Aconitum brunneum ,P,unassisted,3824,0.1725,0.1806,0.1623
13.72,Asteraceae,Saussurea stella ,P,wind,3550,0.1763,0.1681,0.1742
9.04,Fabaceae,Astragalus tongolensis var.glaber.,P,unassisted,3150,0.1688,0.1759,0.1765
1.76,Scrophulariaceae,Pedicularis alascharica,P,unassisted,2976,0.1871,0.1705,0.1699
2.173,Scrophulariaceae,Pedicularis sp1,P,unassisted,2976,0.1871,0.1705,0.1699
1.51,Apiaceae,Angealia nitica ,P,wind,3550,0.1888,0.1642,0.1767
13.12,Apiaceae,Angelica nitida ,P,wind,3550,0.1888,0.1642,0.1767
4.101,Linaceae,Linum pallescens ,P,unassisted,2251,0.1184,0.2184,0.2065
1.69,Cyperaceae,Kobresia capilifolia ,P,unassisted,3550,0.1947,0.1942,0.1544
13.29,Lamiaceae,Dracocephalum sp2,P,unassisted,2976,0.1825,0.1712,0.1944
10.19,Poaceae,Stipa breviflora ,P,adhesive,3451,0.1791,0.1999,0.1725
24.15,Apiaceae,Pimpinella smithii Wolff,P,unassisted,2081,0.19,0.1968,0.1735
2.018,Ranunculaceae,Aconitum brunneum,P,unassisted,3740,0.1826,0.1999,0.1802
4.03,Boraginaceae,Asperugo procumbens L.,A,unassisted,3514,0.1832,0.1932,0.1963
2.06,Asteraceae,Chenopodium hybridum ,A,unassisted,2172,0.1892,0.1948,0.1928
13.73,Asteraceae,Saussurea sylvatica,P,wind,3886,0.2325,0.1391,0.2204
6.08,Lamiaceae,Salvia tricuspis,P,unassisted,2304,0.2039,0.1907,0.199
13.2,Asteraceae,Ligularia virgaurea,P,wind,3457,0.1963,0.2003,0.2033
2.26,Asteraceae,Rumex pseudonatronatus ,P,wind,3500,0.203,0.2076,0.1928
13.35,Asteraceae,Saussurea hieracioides ,P,wind,3526,0.2038,0.1991,0.2005
2.95,Rosaceae,Sanguisorba officinalis ,P,unassisted,2188,0.1925,0.1957,0.216
10.29,Poaceae,Seteria glauca ,A,unassisted,2172,0.2101,0.2038,0.2008
3.28,Fabaceae,Medicago sp,A,unassisted,2955,0.2035,0.2119,0.2045
9.22,Fabaceae,Medicago sativa,P,unassisted,2380,0.2116,0.2074,0.2121
2.145,Fabaceae,Hedysarum tanguticum,P,unassisted,3423,0.2094,0.2142,0.21
2.79,Asteraceae,Saussurea przewalskii ,P,wind,4070,0.211,0.2036,0.2213
13.3,Asteraceae,Siegesbeckia pubescens,P,wind,2188,0.2011,0.2039,0.2397
2.147,Fabaceae,Melilotus officinalis,A,unassisted,2160,0.2044,0.2219,0.2186
2.92,Asteraceae,Saussurea kansuensis ,P,wind,3550,0.2098,0.2154,0.2214
2.153,Fabaceae,Oxytropis ochrocephala,P,unassisted,3240,0.2043,0.2051,0.2394
9.12,Fabaceae,Tibetia himalaica ,P,unassisted,2954,0.2236,0.2201,0.2167
3.1,Fabaceae,Tibetia himalaica ,P,unassisted,2955,0.2236,0.2201,0.2167
2.154,Fabaceae,Medicago ruthenica ,P,unassisted,2926,0.2156,0.2263,0.2229
2.104,Poaceae,Helictotrichon tibeticum ,P,unassisted,3397,0.2252,0.21,0.2376
13.1,Asteraceae,Saussurea variiloba,P,wind,2202,0.241,0.2233,0.211
2.91,Asteraceae,Saussurea graminea,P,wind,3500,0.2109,0.2231,0.2473
13.33,Asteraceae,Saussurea purpurascens ,P,wind,3740,0.2196,0.2196,0.2468
9.24,Apiaceae,Carum carvi,P,unassisted,3530,0.1962,0.2671,0.2242
2.156,Fabaceae,Medicago lupulina ,A,unassisted,2081,0.2369,0.2173,0.2372
4.64,Malvaceae,Malva verticillate var. chinensis,A,unassisted,2532,0.2581,0.2086,0.2271
4.58,Biebersteiniaceae,Biebersteinia heterostemon,A,adhesive,2760,0.2526,0.2262,0.2228
6.16,Lamiaceae,Salvia roborowskii,A,adhesive,2960,0.2246,0.2366,0.2479
9.01,Fabaceae,Astragalus peteiae ,P,unassisted,3565,0.2375,0.2368,0.2353
10.3,Poaceae,Sinochasea trigyna ,P,unassisted,3886,0.2601,0.2198,0.2298
6.27,Lamiaceae,Elsholtzia densa.,A,unassisted,2960,0.2339,0.2243,0.2519
2.143,Fabaceae,Astragalus przewalskii ,P,unassisted,3050,0.235,0.2399,0.2445
1.35,Alliaceae,Allium tanguticum,P,ant,3659,0.2225,0.2432,0.2568
13.26,Asteraceae,Cirsium leo,P,wind,2304,0.2395,0.2464,0.2419
4.04,Dipsacaceae ,Pterocephalus sp,P,unassisted,3496,0.2213,0.2632,0.246
2.21,Asteraceae,Rumex patientia ,P,wind,3468,0.2588,0.251,0.253
13.37,Asteraceae,Ligularia mocrodouta ,P,wind,2750,0.2517,0.2555,0.26
1.86,Liliaceae,Lilium pumilum ,P,unassisted,2202,0.2641,0.2535,0.2502
2.2,Asteraceae,Rumex crispus,P,wind,2960,0.2589,0.2527,0.2581
9.14,Fabaceae,Astragalus melilotoides ,P,unassisted,2430,0.2456,0.2644,0.2625
1.5,Lamiaceae,Phlomis dentosa Franch.,P,unassisted,2968,0.2523,0.2632,0.2699
15.07,Asteraceae,Polygonum hydropiper ,A,unassisted,2209,0.2464,0.2749,0.2656
4.19,Geraniaceae ,Geranium pylzowianum ,P,unassisted,2960,0.2694,0.2783,0.2707
10.41,Poaceae,Duthiea brachypodia ,P,unassisted,3554,0.2642,0.2586,0.2985
24.05,Apiaceae,Torilis japonnica ,A,wind,2160,0.2651,0.2803,0.2768
10.13,Poaceae,Achnatherum sibiricum,P,unassisted,2202,0.2755,0.2775,0.2804
2.115,Poaceae,Stephanachne nigrescens,P,unassisted,3824,0.2903,0.2546,0.2975
4.76,Dipsacaceae ,Dispsacus japonicus ,P,unassisted,2172,0.2961,0.2637,0.2878
10.52,Poaceae,Roegneria stricta,P,unassisted,2202,0.2988,0.2819,0.2769
2.155,Fabaceae,Melilotus alba,A,unassisted,3036,0.2865,0.2873,0.2843
4.81,Geraniaceae ,Geranium sibiricum ,A,unassisted,2954,0.284,0.2777,0.3011
3.18,Dipsacaceae ,Pterocephalus hookeri,P,unassisted,3496,0.3191,0.2663,0.2841
2.108,Poaceae,Bromus tectovum ,A,unassisted,3445,0.2983,0.2942,0.2789
19.03,Ranunculaceae,Aconitum barbatum var. hispidum,P,unassisted,2188,0.286,0.2848,0.3018
13.14,Asteraceae,Bidens tripartita L.,P,wind,2236,0.2792,0.31,0.2924
1.24,Alliaceae,Allium ovalifolium ,P,unassisted,2202,0.3034,0.2906,0.2887
15.12,Asteraceae,Polygonum divaricatum ,P,unassisted,3554,0.3036,0.294,0.3026
2.107,Poaceae,Achnatherum extreniorientale,P,unassisted,2430,0.3198,0.2838,0.3148
2.135,Poaceae,Bromus plurinodis,P,unassisted,3454,0.2947,0.3084,0.3283
10.11,Poaceae,Bromus magnus ,P,unassisted,3479,0.3215,0.2866,0.3256
1.33,Fabaceae,Medicago archiduisni,P,unassisted,3582,0.3009,0.3363,0.2978
4.41,Boraginaceae,Cynoglossum lanceolatum ,P,unassisted,1718,0.3178,0.3022,0.3158
2.72,Asteraceae,Cirsium lanatum ,A,wind,3240,0.3092,0.3154,0.312
13.49,Asteraceae,Saussurea oligantha ,P,wind,2705,0.3119,0.3253,0.3113
10.46,Poaceae,Roegneria pendulina,P,unassisted,1879,0.3266,0.3196,0.3296
2.114,Poaceae,Elymus nutans ,P,unassisted,3514,0.3476,0.3308,0.3063
13.08,Asteraceae,Carduus nutans ,A,wind,3397,0.3316,0.3209,0.3358
2.16,Plumbaginaceae,Plumbagella micrantha,A,adhesive,3445,0.344,0.3158,0.344
9.06,Poaceae,Roegneria kokonorica,P,unassisted,3417,0.3563,0.3166,0.3334
10.39,Poaceae,Roegneria sp3,P,unassisted,3417,0.3563,0.3166,0.3334
2.106,Poaceae,Roegneria varia ,P,unassisted,2960,0.347,0.3178,0.3615
9.05,Fabaceae,Astragalus floridus ,P,unassisted,3397,0.3544,0.3321,0.3556
10.02,Poaceae,Elymus sp2,P,unassisted,2514,0.4117,0.3186,0.3515
10.12,Poaceae,Roegneria sp2,P,unassisted,3468,0.3555,0.3685,0.364
9.2,Fabaceae,Hedysarum multijugum,P,unassisted,2380,0.3528,0.3993,0.3393
2.117,Poaceae,Roegneria parvigluma,P,unassisted,3454,0.3402,0.4118,0.3549
4.2,Valerianaceae,Nardostachys chinensis ,P,unassisted,3530,0.3644,0.3623,0.3955
2.014,Poaceae,Bromus sinensis,P,unassisted,3740,0.3851,0.3933,0.3653
6.05,Lamiaceae,Salvia przewalskii ,P,adhesive,2749,0.3964,0.3712,0.4011
2.13,Ranunculaceae,Thalictrum uncatum ,P,adhesive,2659,0.3914,0.3889,0.3902
6.19,Lamiaceae,Galeopsis bifida Boenn.,A,unassisted,2954,0.3979,0.4156,0.3708
2.113,Poaceae,Elymus sp1,P,unassisted,3932,0.379,0.4097,0.4135
10.45,Poaceae,Stipa regeliana ,P,adhesive,4070,0.3843,0.4194,
2.132,Poaceae,Stipa aliena,P,adhesive,3021,0.4235,0.3813,0.4114
13.76,Asteraceae,Cirsium souliei,P,wind,3514,0.3918,0.4219,0.4031
2.111,Poaceae,Roegneria sp1,P,unassisted,3496,0.4198,0.4144,0.4103
6.2,Lamiaceae,Stachys sieboldii,A,unassisted,2960,0.417,0.4313,0.4115
10.05,Poaceae,Roegneria nutans ,P,unassisted,3514,0.4196,0.418,0.4237
9.17,Fabaceae,Astragalus membranaceus ,P,unassisted,3554,0.4024,0.4251,0.4379
1.63,Cyperaceae,Scirpus distigmaticus,P,unassisted,3530,0.4115,0.4587,0.3985
10.5,Poaceae,Roegneria breviglumis ,P,unassisted,3570,0.4089,0.4461,0.4142
13.09,Asteraceae,Ligularia fischeri,P,wind,3565,0.456,0.442,0.375
2.151,Fabaceae,Hedysarum polybotrys ,P,unassisted,2514,0.4406,0.436,0.4196
10.51,Poaceae,Elymus atratus ,P,unassisted,3824,0.4385,0.4447,0.4425
4.103,Dipsacaceae ,Morina sp,P,unassisted,3505,0.459,0.4462,0.4558
2.27,Asteraceae,Rumex nepalensis,P,wind,3740,0.453,0.4616,0.4585
25.12,Poaceae,Elymus tangutorum ,P,unassisted,3454,0.4403,0.4625,0.4785
13.16,Asteraceae,Saussurea mongolica,P,wind,2532,0.473,0.4779,0.4342
4.46,Geraniaceae ,Erodium stephananum,A,unassisted,2954,0.4486,0.4616,0.5087
10.21,Poaceae,Roegneria dura,P,unassisted,3903,0.4863,0.4953,0.4478
2.15,Rubiaceae,Galium aparine Linn.var echinospermum,P,adhesive,3036,0.5062,0.53,0.4497
4.36,Solanaceae,Datura stramonium,A,unassisted,2252,0.5318,0.519,0.4888
1.56,Apiaceae,Sphallero carpus,P,unassisted,2960,0.5279,0.5266,0.5122
4.09,Dipsacaceae ,Morina alba ,P,unassisted,3402,0.5508,0.5267,0.527
10.32,Poaceae,Stipa baicalensis ,P,adhesive,2768,0.5205,0.576,0.5369
10.04,Poaceae,Stipa capillacea ,P,adhesive,3514,0.5083,0.5797,0.5569
4.44,Dipsacaceae ,Dipsacus chinensis ,P,unassisted,2691,0.5831,0.5788,0.559
4.71,Zygophyllaceae,Peganum multisectum,P,unassisted,1755,0.5738,0.5785,0.5737
15.08,Asteraceae,Fagonum sp1,P,unassisted,2926,0.5602,0.5949,0.5742
13.19,Dipsacaceae ,Serratula strangulata,P,unassisted,2202,0.6188,0.5886,0.5686
2.71,Asteraceae,Xanthopappus subacaulis,P,wind,3028,0.6327,0.6433,0.6344
4.95,Geraniaceae ,Geranium pratense,P,unassisted,3740,0.686,0.617,0.6903
9.23,Asteraceae,Olgaca tangutica Iljin,P,wind,2304,0.7254,0.6235,0.6545
19.01,Asteraceae,Polygonum muitiflorum.,P,unassisted,2168,0.7456,0.6177,0.7418
1.58,Asteraceae,Scorzonera austriaca ,P,wind,2160,0.7287,0.6511,0.7283
13.32,Asteraceae,Scorzonera sp,P,wind,2160,0.7287,0.6511,0.7283
4.78,Asclepiadaceae,Cynanchum inamoenum,P,wind,2188,0.7302,0.7328,0.7184
4.8,Cuscutaceae,Curscuta japonica ,A,adhesive,2229,0.749,0.7616,0.7594
4.56,Convolvulaceae,Convolvulus arvensis L.,P,unassisted,2597,0.8371,0.7285,0.7065
2.23,Solanaceae,Anisodus tanguticus ,A,unassisted,3036,0.8434,0.8297,0.8298
13.15,Asteraceae,Adenocaulon himalaicum ,P,wind,2229,0.8488,0.8361,0.8656
3.21,Araceae,Arisaema erubescens ,P,unassisted,2749,0.9288,0.8407,0.8432
15.13,Asteraceae,Rheum palmatum L.,P,unassisted,3824,1.0028,1.0216,0.9918
13.46,Asteraceae,Arctium lappa ,P,wind,2602,0.9843,1.0989,1.0267
2.105,Poaceae,Duthiea sp1,P,unassisted,2575,1.0911,1.0871,1.0419
4.08,Araceae,Arisaema sp,P,unassisted,3300,1.0523,1.2617,0.9958
2.152,Fabaceae,Vicia cracca ,P,unassisted,2954,1.1164,1.1382,1.1515
1.23,Rosaceae,Agrimonia pilosa ,P,adhesive,2229,1.1811,1.1677,1.1515
15.06,Asteraceae,Fagonum tataricum ,A,unassisted,2202,1.2593,1.2216,1.2762
10.15,Poaceae,Duthiea sp2,P,unassisted,4070,1.5837,1.1333,1.2256
15.1,Asteraceae,Fagonum wrophyllum,P,unassisted,2926,1.3346,1.33,1.3525
9.21,Fabaceae,Vicia amoena ,P,unassisted,2597,1.446,1.6457,1.388
15.09,Asteraceae,Fagonum sp2,P,unassisted,2926,1.3618,1.7371,1.4768
2.146,Fabaceae,Vicia multicaulis ,P,unassisted,2602,2.0708,1.937,1.8579
9.03,Fabaceae,Vicia angustifolia,A,unassisted,2954,1.9819,2.234,2.2161
2.015,Fabaceae,Thermopsis lanceolata,P,unassisted,2380,2.3423,2.3896,2.311
1.8,Asparagaceae,Asparagus longiflorus ,P,unassisted,2926,2.4093,2.5629,2.5186
