"Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date","Name","Longevity","Dispersal","Elevation","Days","Germinated","Tmax","Tmin","Light"
"Achnatherum sp1","Achnatherum","","sp1",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp1",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp1","P","unassisted",2800,60,36,20,5,0
"Achnatherum sp1","Achnatherum","","sp1",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp1",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp1","P","unassisted",2800,60,41,25,10,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,39,25,10,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,43,20,5,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,42,20,5,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,41,25,10,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,44,25,10,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,53,25,10,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,42,25,10,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,58,20,5,0
"Achnatherum sp2","Achnatherum","","sp2",NA,NA,"","","",FALSE,"1.1","","","Achnatherum","","sp2",NA,"","","","",FALSE,FALSE,FALSE,2019-10-28,"Achnatherum sp2","P","unassisted",2200,60,37,25,10,0
"Achnatherum splendens(Trin.)Nevski","Achnatherum","","splendens",NA,NA,"","(Trin.)Nevski","kew-387159",TRUE,"1.1","Synonym","Poaceae","Stipa","","splendens","","","Trin.","kew-445779","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Stipa splendens","P","unassisted",2300,60,45,25,10,0
"Achnatherum splendens(Trin.)Nevski","Achnatherum","","splendens",NA,NA,"","(Trin.)Nevski","kew-387159",TRUE,"1.1","Synonym","Poaceae","Stipa","","splendens","","","Trin.","kew-445779","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Stipa splendens","P","unassisted",2300,60,48,20,5,0
"Achnatherum splendens(Trin.)Nevski","Achnatherum","","splendens",NA,NA,"","(Trin.)Nevski","kew-387159",TRUE,"1.1","Synonym","Poaceae","Stipa","","splendens","","","Trin.","kew-445779","Accepted",FALSE,FALSE,FALSE,2019-10-28,"Stipa splendens","P","unassisted",2300,60,37,20,5,0
