Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Cavieres,Madia sativa,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,25,25
Cavieres,Mutisia sinuata,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,25,25
Cavieres,Mutisia sinuata,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,25,25
Cavieres,Mutisia sinuata,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,25,25
Cavieres,Nicotiana corymbosa,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,17,25
Cavieres,Nicotiana corymbosa,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,13,25
Cavieres,Nicotiana corymbosa,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,11,25
Cavieres,Rhodophiala andicola,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,25,25
Cavieres,Rhodophiala andicola,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,21,25
Cavieres,Rhodophiala andicola,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,14,25
Cavieres,Sanicula graveolens,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,2,25
Cavieres,Sanicula graveolens,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,2,20,10,12,25,16,25
Cavieres,Sanicula graveolens,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,3,20,10,12,25,0,25
Cavieres,Schizanthus hookerii,Chile,Chile,-33.352035,-70.315812,2200-2500,4,90,Y,N,N,Y,1,20,10,12,25,20,25
