"TPLName","Dormancy"
"Abarema barbouriana","PY"
"Abarema jupunba","ND"
"Abarema macradenia","ND"
"Abelia dielsii","MPD"
"Abeliophyllum distichum","PD"
"Abelmoschus esculentus","PY"
"Abelmoschus moschatus","PY"
"Abies alba","PD"
"Abies amabilis","PD"
"Abies balsamea","PD"
"Abies bracteata","PD"
"Abies chensiensis","PD"
"Abies concolor","PD"
"Abies densa","PD"
"Abies firma","PD"
"Abies fraseri","PD"
"Abies grandis","PD"
"Abies guatemalensis","PD"
"Abies homolepis","PD"
"Abies lasiocarpa","PD"
"Abies magnifica","PD"
"Abies mariesii","PD"
"Abies nephrolepis","PD"
"Abies nordmanniana","PD"
"Abies pindrow","PD"
"Abies procera","PD"
"Abies religiosa","PD"
"Abies sachalinensis","PD"
"Abies sibirica","PD"
"Abies spectabilis","PD"
"Abies veitchii","PD"
"Abroma augusta","ND"
"Abronia fragrans","PD"
"Abronia maritima","PD"
"Abronia umbellata","PD"
"Abronia villosa","PD"
"Abrus precatorius","PY"
"Abuta panamensis","PD"
"Abutilon eremitopetalum","PY"
"Abutilon fruticosum","PY"
"Abutilon indicum","PY"
"Abutilon longicuspe","PY"
"Abutilon menziesii","PY"
"Abutilon sandwicense","PY"
"Abutilon theophrasti","PY"
"Acacia abyssinica","PY"
"Acacia acuminata","PY"
"Acacia adsurgens","PY"
"Acacia ammobia","PY"
"Acacia ampliceps","PY"
"Acacia aneura","PY"
"Acacia angustissima","PY"
"Acacia aprica","PY"
"Acacia aristulata","PY"
"Acacia aroma","PY"
"Acacia asak","PY"
"Acacia ataxacantha","ND"
"Acacia ataxiphylla","PY"
"Acacia atramentaria","PY"
"Acacia aulacocarpa","PY"
"Acacia auratiflora","PY"
"Acacia aureocrinita","PY"
"Acacia auriculiformis","PY"
"Acacia ausfeldii","PY"
"Acacia awestoniana","PY"
"Acacia bakeri","PY"
"Acacia benthamii","PY"
"Acacia berlandieri","PY"
"Acacia bonariensis","PY"
"Acacia brachypoda","PY"
"Acacia brachystachya","PY"
"Acacia brassii","PY"
"Acacia brevispica","PY"
"Acacia browniana","PY"
"Acacia burkei","PY"
"Acacia burrowii","PY"
"Acacia bynoeana","PY"
"Acacia caffra","PY"
"Acacia calcicola","PY"
"Acacia cambagei","PY"
"Acacia catechu","PY"
"Acacia caven","PY"
"Acacia chrysotricha","PY"
"Acacia cincinnata","PY"
"Acacia citrinoviridis","PY"
"Acacia clunies-rossiae","PY"
"Acacia cochliacantha","PY"
"Acacia cochlocarpa","PY"
"Acacia colei","PY"
"Acacia concinna","PY"
"Acacia confusa","PY"
"Acacia conspersa","PY"
"Acacia constricta","PY"
"Acacia coriacea","PY"
"Acacia cornigera","ND"
"Acacia costiniana","PY"
"Acacia courtii","PY"
"Acacia cowleana","PY"
"Acacia craspedocarpa","PY"
"Acacia crassicarpa","PY"
"Acacia cyclops","PY"
"Acacia dealbata","PY"
"Acacia deanei","PY"
"Acacia decurrens","PY"
"Acacia difficilis","PY"
"Acacia distans","PY"
"Acacia drepanolobium","ND"
"Acacia drummondii","PY"
"Acacia dudgeoni","PY"
"Acacia dunnii","PY"
"Acacia ehrenbergiana","PY"
"Acacia elata","PY"
"Acacia erioloba","PY"
"Acacia eriopoda","PY"
"Acacia erubescens","ND"
"Acacia estrophiolata","PY"
"Acacia extensa","PY"
"Acacia farnesiana","PY"
"Acacia fasciculifera","PY"
"Acacia filicifolia","PY"
"Acacia flavescens","PY"
"Acacia furcatispina","PY"
"Acacia galpinii","PY"
"Acacia genistifolia","PY"
"Acacia georgensis","PY"
"Acacia gerrardii","PY"
"Acacia glaucocarpa","PY"
"Acacia gordonii","PY"
"Acacia grandicornuta","PY"
"Acacia greggii","PY"
"Acacia hamulosa","PY"
"Acacia harpophylla","ND"
"Acacia hayesii","ND"
"Acacia hebeclada","PY"
"Acacia helicophylla","PY"
"Acacia hemignosta","PY"
"Acacia hereroensis","PY"
"Acacia heteroclita","PY"
"Acacia holosericea","PY"
"Acacia hylonoma","PY"
"Acacia insolita","PY"
"Acacia iraqensis","PY"
"Acacia irrorata","PY"
"Acacia julifera","PY"
"Acacia kamerunensis","ND"
"Acacia karroo","PY"
"Acacia kempeana","PY"
"Acacia koa","PY"
"Acacia kybeanensis","PY"
"Acacia lasiocarpa","PY"
"Acacia latericola","PY"
"Acacia lenticularis","PY"
"Acacia leptalea","PY"
"Acacia leptocarpa","PY"
"Acacia leucoclada","PY"
"Acacia leucolobia","PY"
"Acacia leucophaea","PY"
"Acacia ligulata","PY"
"Acacia lobulata","PY"
"Acacia longispicata","PY"
"Acacia lucasii","PY"
"Acacia luederitzii","PY"
"Acacia macnuttiana","PY"
"Acacia maconochieana","ND"
"Acacia macracantha","PY"
"Acacia macrostachya","ND"
"Acacia maidenii","PY"
"Acacia mangium","PY"
"Acacia mearnsii","PY"
"Acacia melanoxylon","PY"
"Acacia mellifera","PY"
"Acacia modesta","PY"
"Acacia montfordii","PY"
"Acacia multisiliqua","PY"
"Acacia murrayana","PY"
"Acacia myrtifolia","PY"
"Acacia neriifolia","PY"
"Acacia nigrescens","PY"
"Acacia nilotica","PY"
"Acacia obliquinervia","PY"
"Acacia oerfota","PY"
"Acacia oraria","PY"
"Acacia origena","PY"
"Acacia orites","PY"
"Acacia orthocarpa","PY"
"Acacia pachycarpa","PY"
"Acacia paradoxa","PY"
"Acacia pennatula","PY"
"Acacia petraea","PY"
"Acacia pharangites","PY"
"Acacia phasmoides","PY"
"Acacia pilispina","PY"
"Acacia pinguifolia","PY"
"Acacia platycarpa","PY"
"Acacia plectocarpa","PY"
"Acacia podalyriifolia","PY"
"Acacia polyacantha","PY"
"Acacia polyphylla","ND"
"Acacia polystachya","PY"
"Acacia praecox","PY"
"Acacia pseudo-eburnea","PY"
"Acacia pubescens","PY"
"Acacia pubifolia","PY"
"Acacia pulchella","PY"
"Acacia pycnantha","PY"
"Acacia pycnostachya","PY"
"Acacia pygmaea","PY"
"Acacia ramulosa","PY"
"Acacia recurvata","PY"
"Acacia rigidula","PY"
"Acacia robusta","PY"
"Acacia rothii","PY"
"Acacia rubida","PY"
"Acacia ruppii","PY"
"Acacia salicina","PY"
"Acacia saligna","PY"
"Acacia schaffneri","PY"
"Acacia sciophanes","PY"
"Acacia sclerosperma","PY"
"Acacia senegal","PY"
"Acacia seyal","PY"
"Acacia shirleyi","PY"
"Acacia siculiformis","PY"
"Acacia sieberiana","PY"
"Acacia silvestris","PY"
"Acacia simsii","PY"
"Acacia spirorbis","PY"
"Acacia stenophylla","PY"
"Acacia stipuligera","PY"
"Acacia suaveolens","PY"
"Acacia subflexuosa","PY"
"Acacia tanganyikensis","PY"
"Acacia tephrina","PY"
"Acacia terminalis","PY"
"Acacia tetragonophylla","PY"
"Acacia tortilis","PY"
"Acacia torulosa","PY"
"Acacia trachycarpa","PY"
"Acacia trachyphloia","PY"
"Acacia tumida","PY"
"Acacia urophylla","PY"
"Acacia vassalii","PY"
"Acacia victoriae","PY"
"Acacia williamsonii","PY"
"Acacia wilsonii","PY"
"Acacia wrightii","PY"
"Acacia xanthophloea","PY"
"Acaena argentea","ND"
"Acaena exigua","PD"
"Acaena magellanica","MD"
"Acaena ovina","PD"
"Acaena pinnatifida","PD"
"Acalypha ostryaefolia","PD"
"Acamplopappus sphaerocephalus","PD"
"Acanthocarpus preissii","PD"
"Acanthosiscyos naudiniana","PD"
"Acanthospermum hispidum","PD"
"Acanthus ilicifolius","ND"
"Acca sellowiana","ND"
"Acer barbinerve","PD"
"Acer buergerianum","PD"
"Acer caesium","PD"
"Acer campbellii","PD"
"Acer campestre","PD"
"Acer caudatifolium","PD"
"Acer caudatum","PD"
"Acer circinatum","PD"
"Acer davidii","PD"
"Acer diabolicum","PD"
"Acer glabrum","PD"
"Acer griseum","PD"
"Acer heldreichii","PD"
"Acer hersii","PD"
"Acer japonicum","PD"
"Acer macrophyllum","PD"
"Acer mandshuricum","PD"
"Acer maximowiczianum","PD"
"Acer monspessulanum","PD"
"Acer negundo","PD"
"Acer oblongum","PD"
"Acer oliverianum","PD"
"Acer opalus","PD"
"Acer palmatum","PD"
"Acer pectinatum","PD"
"Acer pensylvanicum","PD"
"Acer pictum","MPD"
"Acer platanoides","PD"
"Acer pseudoplatanus","PD"
"Acer pseudosieboldianum","PD"
"Acer rubrum","PD"
"Acer saccharinum","ND"
"Acer saccharum","PD"
"Acer sino-oblongum","PD"
"Acer spicatum","PD"
"Acer stachyophyllum","PD"
"Acer sterculiaceum","PD"
"Acer tataricum","PD"
"Acer tegmentosum","PD"
"Acer triflorum","PD"
"Acer truncatum","PD"
"Acharia tragodes","MPD"
"Achillea acuminata","PD"
"Achillea atrata","PD"
"Achillea cretica","PD"
"Achillea fragrantissima","PD"
"Achillea millefolium","PD"
"Achmella caulirhiza","PD"
"Achnatherum psilantherum","ND"
"Achnopora tatei","PD"
"Achrysanthes splendens","ND"
"Achyranthes aspera","PD"
"Achyranthes bidentata","ND"
"Achyrocline satureioides","PD"
"Acmanthera latifolia","PD"
"Acmispon maritimus","PY"
"Acoelorraphe wrightii","MPD"
"Acokanthera schimperi","ND"
"Aconitum altaicum","MPD"
"Aconitum anthora","MPD"
"Aconitum apetalum","MPD"
"Aconitum baicalense","MPD"
"Aconitum barbatum","MPD"
"Aconitum brunneum","MPD"
"Aconitum columbianum","MPD"
"Aconitum decipiens","MPD"
"Aconitum flavum","MPD"
"Aconitum grossedentatum","MPD"
"Aconitum gymnandrum","MPD"
"Aconitum henryi","MPD"
"Aconitum karakolicum","MPD"
"Aconitum lasiostomum","MPD"
"Aconitum leucostomum","MPD"
"Aconitum lycoctonum","MPD"
"Aconitum maximum","MPD"
"Aconitum miyabei","MPD"
"Aconitum moldavicum","MPD"
"Aconitum monticola","MPD"
"Aconitum napellus","MPD"
"Aconitum pendulum","MPD"
"Aconitum septentrionale","MPD"
"Aconitum sinomontanum","MPD"
"Aconitum soongaricum","MPD"
"Aconitum tanguticum","MPD"
"Aconitum variegatum","MPD"
"Aconitum villosum","MPD"
"Aconitum vulparia","MPD"
"Acorus calamus","MPD"
"Acosmium dasycarpum","PY"
"Acosmium nitens","PY"
"Acosmium subelegans","ND"
"Acrisione denticulata","ND"
"Acrocarpus fraxinifolius","PY"
"Acrocomia aculeata","MPD"
"Acrocomia crispa","MPD"
"Acrocomia media","MPD"
"Acroglochin persicarioides","PD"
"Acronema chinense","MPD"
"Acronychia pedunculata","ND"
"Acronychia vestita","PD"
"Acrotriche patula","PD"
"Actaea cimicifuga","MPD"
"Actaea pachypoda","MPD"
"Actaea racemosa","MPD"
"Actaea rubra","MPD"
"Actaea simplex","MPD"
"Actaea spicata","MPD"
"Actaea vaginata","MPD"
"Actinidia kolomikta","MPD"
"Actinidia latifolia","PD"
"Actinidia polygama","PD"
"Actinobole uliginosum","PD"
"Actinocladum verticillatum","PD"
"Actinodaphne henryi","PD"
"Actinodaphne hookeri","PD"
"Actinodaphne lancifolia","PD"
"Actinodaphne wightiana","PD"
"Actinodium cunninghamii","PD"
"Actinorhytis calapparia","MPD"
"Actinostrobus acuminatus","PD"
"Actinotus helianthi","MPD"
"Actinotus leucocephalus","MPD"
"Adansonia digitata","PY"
"Adansonia fony","PY"
"Adansonia grandidieri","PY"
"Adansonia gregorii","PY"
"Adansonia madagascariensis","PY"
"Adansonia suarezensis","PY"
"Adelia triloba","ND"
"Adelphia hiraea","ND"
"Adenanthera aglaosperma","PY"
"Adenanthera colubrina","ND"
"Adenanthera microsperma","PY"
"Adenanthera pavonina","PY"
"Adenanthos ellipticus","PD"
"Adenanthos labillardierei","PD"
"Adenanthos pungens","PD"
"Adenanthos velutinus","PD"
"Adenia macrophylla","ND"
"Adenocarpus complicatus","PY"
"Adenocarpus decorticans","PY"
"Adenocarpus hispanicus","PY"
"Adenocarpus telonensis","PY"
"Adenocaulon himalaicum","PD"
"Adenophora liliifolioides","PD"
"Adenophora potaninii","PD"
"Adenophora stenanthina","PD"
"Adenophora triphylla","PD"
"Adenostemma lavenia","PD"
"Adenostoma fasciculatum","PD"
"Adesmia confusa","PY"
"Adesmia subterranea","PY"
"Adinandra acuminata","ND"
"Adinandra dumosa","ND"
"Adinandra integerrima","PD"
"Adinandra milletii","PD"
"Adonidia merrillii","MPD"
"Adonis ramosa","MPD"
"Adonis vernalis","MPD"
"Adonis wolgensis","MPD"
"Adoxa moschatellina","MPD"
"Adriana quadripartita","PD"
"Aechmea blanchetiana","ND"
"Aechmea bracteata","ND"
"Aechmea coelestis","ND"
"Aechmea distichantha","ND"
"Aechmea fasciata","ND"
"Aechmea floribunda","MD"
"Aechmealanchetiana NA","ND"
"Aegialitis rotundifoliacr","ND"
"Aegiceras corniculatumcr","ND"
"Aegiceras majuscr","ND"
"Aegilops crassa","PD"
"Aegilops cylindrica","PD"
"Aegilops geniculata","PD"
"Aegilops kotschyi","PD"
"Aegilops longissima","PD"
"Aegilops neglecta","PD"
"Aegilops sharonensis","PD"
"Aegilops triuncialis","PD"
"Aeginetia indica","PD"
"Aegiphila lhotzskyana","PD"
"Aegiphila sellowiana","PD"
"Aegiphilla klotschiana","PD"
"Aegopodium podagraria","MPD"
"Aellenia autranii","PD"
"Aeluropus lagopoides","PD"
"Aeonium percarneum","PD"
"Aeonium valverdense","PD"
"Aerva javanica","PD"
"Aeschynomene aspera","PY"
"Aeschynomene virginica","PY"
"Aesculus californica","ND"
"Aesculus flava","PD"
"Aesculus glabra","PD"
"Aesculus hippocastanum","PD"
"Aesculus indica","PD"
"Aesculus parviflora","PD"
"Aesculus pavia","ND"
"Aesculus sylvatica","PD"
"Aethionema carneum","PD"
"Aethusa cynapium","MPD"
"Aextoxicon punctatum","PD"
"Afeostyrax lepidophyllus","ND"
"Afraegle paniculata","PD"
"Afrocarpus falcatus","MPD"
"Afrocarpus gracilior","MPD"
"Afrocarpus usambarensis","MPD"
"Afrolicania elaeosperma","PD"
"Afzelia africana","ND"
"Afzelia bella","ND"
"Afzelia bipindensis","ND"
"Afzelia quanzensis","ND"
"Afzelia xylocarpa","PY"
"Agalinis aspera","PD"
"Agalinis auriculata","PD"
"Agalinis fasciculata","PD"
"Agalinis skinneriana","PD"
"Agalinis tenuifolia","PD"
"Agapetes scortechinii","PD"
"Agastache foeniculum","PD"
"Agastache urticifolia","PD"
"Agathis alba","ND"
"Agathis australis","ND"
"Agathis dammara","ND"
"Agathis robusta","ND"
"Agathosma apiculata","PD"
"Agathosma betulina","PD"
"Agathosma stenopetala","PD"
"Agave americana","PD"
"Agave lecheguillac","PD"
"Agave macroacantha","ND"
"Agave parryi","PD"
"Agelaea pentagyna","ND"
"Ageratina adenophora","PD"
"Ageratina altissima","PD"
"Ageratina havanensis","ND"
"Ageratina luciae-brauniae","PD"
"Ageratum conyzoides","PD"
"Aglaia elaeagnoidea","ND"
"Aglaia forbesii","PD"
"Aglaia grandis","PD"
"Aglaia leucophylla","PD"
"Aglaia mackiana","ND"
"Aglaia macrostigma","PD"
"Aglaia malaccensis","ND"
"Aglaia pachyphylla","ND"
"Aglaia silvestris","ND"
"Aglaia spectabilis","PD"
"Agnorhiza elata","PD"
"Agonandra brasiliensis","MPD"
"Agonis flexuosa","ND"
"Agoseris glauca","PD"
"Agostis stolonifera","PD"
"Agrimonia pilosa","PD"
"Agriophyllum squarrosum","PD"
"Agropyron cristatum","PD"
"Agropyron desertorum","PD"
"Agropyron trachycaulon","PD"
"Agrostemma githago","PD"
"Agrostis capillaris","PD"
"Agrostis gigantea","PD"
"Agrostis hookeriana","PD"
"Agrostis hugoniana","PD"
"Agrostis micrantha","PD"
"Agrostis stolonifera","PD"
"Agrostis vinealis","ND"
"Agrostocrinum scabrum","MPD"
"Aidia densiflora","ND"
"Aidia yunnanensis","PD"
"Ailanthus altissima","PD"
"Ailanthus excelsa","ND"
"Ailanthus integrifolia","PD"
"Aiphanes caryotaefolia","MPD"
"Aiphanes minima","MPD"
"Aira caryophyllea","PD"
"Aira praecox","PD"
"Aisandra butyracea","ND"
"Ajania myriantha","PD"
"Ajania salicifolia","ND"
"Ajania tenuifolia","PD"
"Ajuga lupulina","PD"
"Ajuga pyramidalis","PD"
"Alangium chinense","PD"
"Alangium javanicum","PD"
"Alangium kurzii","PD"
"Alangium ridleyi","PD"
"Albizia adinocephala","ND"
"Albizia altissima","ND"
"Albizia amara","PY"
"Albizia anthelmintica","PY"
"Albizia arunachalensis","PY"
"Albizia brevifolia","PY"
"Albizia chinensis","PY"
"Albizia grandibracteata","PY"
"Albizia guachapele","PY"
"Albizia gummifera","PY"
"Albizia harveyi","PY"
"Albizia julibrissin","PY"
"Albizia lebbeck","PY"
"Albizia lucidior","PY"
"Albizia multiflora","PY"
"Albizia niopoides","PY"
"Albizia odoratissima","PY"
"Albizia pedicellaris","PY"
"Albizia petersiana","PY"
"Albizia polycephala","PY"
"Albizia procera","PY"
"Albizia saman","PY"
"Albizia schimperiana","PY"
"Albizia tanganyicensis","PY"
"Albizzia adianthifolia","ND"
"Albizzia coriaria","ND"
"Albizzia ferruginea","ND"
"Albizzia glaberrima","ND"
"Albizzia pedicellata","ND"
"Albizzia zygia","ND"
"Albuca bracteata","MD"
"Albuca setosa","MD"
"Alchemilla alpina","PD"
"Alchemilla cryptantha","PD"
"Alchemilla pentaphyllea","PD"
"Alchornea costaricensis","ND"
"Alchornea glandulosa","PD"
"Alchornea latifolia","PD"
"Alchornea triplinervia","PD"
"Aldina latifolia","ND"
"Alectryon excelsus","PY"
"Alectyron macrococcus","PD"
"Alepidea amatymbica","MPD"
"Alepidea natalensis","MPD"
"Aletris glabra","MPD"
"Aletris spicata","MPD"
"Aleurites cordata","PD"
"Aleurites moluccanus","PD"
"Alexa grandiflora","ND"
"Alexgeorgea subterranea","PD"
"Alfaroa costaricensis","ND"
"Alhagi pseudalhagi","PY"
"Alibertia edulis","ND"
"Alicia anisopetala","PD"
"Alisma gramineum","PD"
"Alisma lanceolatum","PD"
"Alisma plantago-aquatica","PD"
"Alisma subcordatum","PD"
"Allagoptera campestris","MPD"
"Allagoptera caudescens","MPD"
"Allanblackia floribunda","PD"
"Allanblackia stuhlmannii","ND"
"Allenia autrani","PD"
"Allenrolfea occidentalis","PD"
"Alliaria petiolata","PD"
"Allium aaseae","PD"
"Allium aflatunense","PD"
"Allium akaka","PD"
"Allium altaicum","ND"
"Allium altissimum","PD"
"Allium angulosum","PD"
"Allium anisopodium","PD"
"Allium atroviolaceum","PD"
"Allium bidentatum","PD"
"Allium canadense","PD"
"Allium cardiostemon","PD"
"Allium carinatum","PD"
"Allium carolinianum","PD"
"Allium cernuum","PD"
"Allium chrysanthum","PD"
"Allium chrysocephalum","PD"
"Allium cyaneum","PD"
"Allium decipiens","PD"
"Allium denudatum","PD"
"Allium dictyoprasum","PD"
"Allium galanthum","PD"
"Allium hymenorhizum","PD"
"Allium karataviense","PD"
"Allium kunthianum","PD"
"Allium materculae","PD"
"Allium nigrum","PD"
"Allium obliquum","PD"
"Allium paczoskianum","PD"
"Allium polyrhizum","PD"
"Allium przewalskianum","PD"
"Allium pseudoampeloprasum","PD"
"Allium rothii","PD"
"Allium rude","PD"
"Allium saxatile","PD"
"Allium schoenoprasoides","PD"
"Allium schubertii","PD"
"Allium sewerzowii","PD"
"Allium sikkimense","PD"
"Allium staticiforme","PD"
"Allium stipitatum","PD"
"Allium subhirsutum","PD"
"Allium suworowii","PD"
"Allium tenuissimum","PD"
"Allium tricoccum","MPD"
"Allium truncatum","PD"
"Allium tuberosum","PD"
"Allium ursinum","MPD"
"Allium victorialis","MPD"
"Allocasuarina defungens","ND"
"Allocasuarina diminuta","ND"
"Allocasuarina distyla","ND"
"Allocasuarina fibrosa","ND"
"Allocasuarina glareicola","ND"
"Allocasuarina gymnanthera","ND"
"Allocasuarina humilis","PD"
"Allocasuarina luehmannii","ND"
"Allocasuarina nana","ND"
"Allocasuarina paludosa","ND"
"Allocasuarina portuensis","ND"
"Allocasuarina simulans","ND"
"Allocasuarina tortiramula","ND"
"Allocasuarina torulosa","PD"
"Allocasuarina verticillata","PD"
"Allophyllum gilioides","PD"
"Allophyllus africanus","ND"
"Allophyllus cobbe","PD"
"Allophylus cobbe","ND"
"Allophylus cominia","PD"
"Allophylus edulis","ND"
"Allophylus psilospermus","PY"
"Alloteropsis semialata","PD"
"Alnus acuminata","ND"
"Alnus alnobetula","PD"
"Alnus formosana","ND"
"Alnus glutinosa","PD"
"Alnus hirsuta","PD"
"Alnus incana","PD"
"Alnus jorullensis","ND"
"Alnus maritima","PD"
"Alnus nepalensis","PD"
"Alnus nitida","ND"
"Alnus oblongifolia","PD"
"Alnus rhombifolia","ND"
"Alnus rubra","PD"
"Alnus serrulata","PD"
"Alnus sieboldiana","PD"
"Aloe ferox","PD"
"Aloe vera","MD"
"Alopecurus carolinianus","PD"
"Alopecurus geniculatus","PD"
"Alopecurus myosuroides","PD"
"Alopecurus pratensis","PD"
"Aloysia gratissima","PD"
"Aloysia virgata","ND"
"Alphitonia incana","PY"
"Alphitonia neocaledonica","PY"
"Alphitonia petriei","PY"
"Alphitonia ponderosa","PY"
"Alphonsea boniana","MPD"
"Alseis blackiana","PD"
"Alseis floribunda","PD"
"Alseodaphne semecarpifolia","PD"
"Alseuosmia macrophylla","PD"
"Alseuosmia pusilla","PD"
"Alseuosmia quercifolia","PD"
"Alsinidendron obovatum","PD"
"Alsinidendron trinerve","PD"
"Alstonia angustiloba","ND"
"Alstonia boonei","PD"
"Alstonia congensis","ND"
"Alstonia rostrata","PD"
"Alstonia scholaris","ND"
"Alstroemeria aurea","PD"
"Alstroemeria ligtu","MPD"
"Alstroemeria pseudospathulata","MPD"
"Alstroemeria pulchella","PD"
"Alternanthera sessilis","PD"
"Althenia filiformis","PD"
"Altingia chinensis","ND"
"Altingia excelsa","PD"
"Alvaradoa amorphoides","PD"
"Alyogyne hakeifolia","PY"
"Alyogyne huegelii","PY"
"Alysicarpus monilifer","PYPD"
"Alysicarpus ovalifolius","PY"
"Alysicarpus vaginalis","PYPD"
"Alyssum akamasicum","PD"
"Alyssum alyssoides","PD"
"Alyssum dasycarpum","PD"
"Alyssum desertorum","PD"
"Alyssum turkestanicum","PD"
"Alyxia buxifolia","PD"
"Alyxia stellata","PD"
"Amaioua corymbosa","MPD"
"Amaranthus albus","PD"
"Amaranthus cannabinus","PD"
"Amaranthus caudatus","PD"
"Amaranthus deflexus","PD"
"Amaranthus dubius","PD"
"Amaranthus fimbriatus","PD"
"Amaranthus graecizans","PD"
"Amaranthus greggii","ND"
"Amaranthus hybridus","PD"
"Amaranthus powellii","PD"
"Amaranthus pumilus","PD"
"Amaranthus retroflexus","PD"
"Amaranthus spinosus","PD"
"Amaranthus tricolor","PD"
"Amaranthus tuberculatus","PD"
"Amaryllis belladonna","MPD"
"Ambelania acida","PD"
"Ambrosia artemisiifolia","PD"
"Ambrosia dumosa","PD"
"Ambrosia salsola","PD"
"Ambrosia trifida","PD"
"Amburana cearensis","ND"
"Amelanchier alnifolia","PD"
"Amelanchier arborea","PD"
"Amelanchier canadensis","PD"
"Amelanchier laevis","PD"
"Amelanchier ovalis","PD"
"Amelanchier pallida","PD"
"Amelanchier pumila","PD"
"Amelanchier sanguinea","PD"
"Amelanchier spicata","PD"
"Amelanchier utahensis","PD"
"Amellus tenuifolius","PD"
"Amesiodendron chinense","PD"
"Amethystea caerulea","PD"
"Ammannia coccinea","PD"
"Ammochloa palaestina","PD"
"Ammodendron conollyi","PY"
"Ammophila arenaria","PD"
"Ammophila breviligulata","PD"
"Ammopiptanthus mongolicus","PY"
"Ammopiptanthus nanus","PY"
"Amomyrtus luma","PD"
"Amomyrtus meli","PD"
"Amorpha californica","PY"
"Amorpha canescens","PY"
"Amorpha fruticosa","PY"
"Amorpha nana","PY"
"Ampelamus laevis","PD"
"Ampelopsis glandulosa","MPD"
"Ampelopsis japonica","PD"
"Ampelopsis sp.","MPD"
"Amphiachyris dracunculoides","ND"
"Amphicarpaea bracteata","PY"
"Amphilophium crucigerum","ND"
"Amphilophium paniculatum","PD"
"Amphimas pterocarpoides","ND"
"Amphipogon amphipogonoides","PD"
"Amsinckia calycina","PD"
"Amsonia elliptica","PD"
"Amsonia illustris","MPD"
"Amsonia tabernaemontana","MPD"
"Amyema preissii","PD"
"Amygdalus bucharica","PD"
"Amyris elemifera","PD"
"Amyris madrensis","PD"
"Anacardium excelsum","PD"
"Anacardium giganteum","ND"
"Anacardium humile","ND"
"Anacardium occidentale","PD"
"Anacardium othonianum","PD"
"Anacardium spruceanum","ND"
"Anacolosa frutescens","MPD"
"Anacolosa ilicoides","MPD"
"Anadenanthera colubrina","ND"
"Anadenanthera peregrina","PY"
"Anagallis arvensis","PD"
"Anagallis minima","PD"
"Ananas sagenaria","ND"
"Anaphalis aureopunctata","PD"
"Anaphalis bicolor","ND"
"Anaphalis flavescens","PD"
"Anaphalis hancockii","ND"
"Anaphalis lactea","ND"
"Anaphalis latialata","ND"
"Anaphalis margaritacea","ND"
"Anarthria prolifera","PD"
"Anarthria scabra","PD"
"Anchusa arvensis","PD"
"Anchusa officinalis","PD"
"Andersonia aristata","PD"
"Andersonia axilliflora","PD"
"Andersonia bifida","PD"
"Andersonia caerulea","PD"
"Andersonia echinocephala","PD"
"Andersonia gracilis","PD"
"Andersonia grandiflora","PD"
"Andersonia involucrata","PD"
"Andersonia latiflora","PD"
"Andersonia lehmanniana","PD"
"Andersonia pinaster","PD"
"Andersonia sprengelioides","PD"
"Andira anthelmia","ND"
"Andira cuyabensis","ND"
"Andira fraxinifolia","ND"
"Andira inermis","PD"
"Andira micrantha","PD"
"Andira unifoliolata","PD"
"Andrographis paniculata","PD"
"Andromeda arborea","MPD"
"Andromeda polifolia","MPD"
"Andropogon bicornis","PD"
"Andropogon gayanus","PD"
"Andropogon gerardii","PD"
"Andropogon glomeratus","PD"
"Andropogon selloanus","PD"
"Andropogon virgatus","PD"
"Andropogon virginicus","PD"
"Androsace alpina","MPD"
"Androsace argentea","PD"
"Androsace brachystegia","PD"
"Androsace erecta","ND"
"Androsace helvetica","PD"
"Androsace lactea","MPD"
"Androsace maxima","PD"
"Androsace sarmentosa","MPD"
"Androsace tibetica","PD"
"Androsace wulfeniana","MPD"
"Androsace yargongensis","PD"
"Andryala pinnatifida","PD"
"Anemone alpina","MPD"
"Anemone altaica","MPD"
"Anemone angulosa","MPD"
"Anemone baldensis","PD"
"Anemone caerulea","MPD"
"Anemone coronaria","MD"
"Anemone cylindrica","MPD"
"Anemone hepatica","MPD"
"Anemone imbricata","MPD"
"Anemone nemorosa","MPD"
"Anemone obtusiloba","MPD"
"Anemone patens","MPD"
"Anemone pratensis","MPD"
"Anemone ranunculoides","MPD"
"Anemone rivularis","MPD"
"Anemone sylvestris","MD"
"Anemone trullifolia","MPD"
"Anemonella thalictroides","MPD"
"Anemonenemorosa NA","MPD"
"Anemonenemorosa ranunculoides","MPD"
"Anemopaegma arvense","PD"
"Angelica archangelica","MPD"
"Angelica atropurpurea","MPD"
"Angelica dahurica","MPD"
"Angelica decursiva","MPD"
"Angelica glauca","MPD"
"Angelica japonica","MD"
"Angelica nitida","MPD"
"Angelica sylvestris","MPD"
"Angophora costata","ND"
"Angophora floribunda","ND"
"Angophora inopina","ND"
"Aniba affinis","ND"
"Aniba canelilla","ND"
"Aniba firmula","PD"
"Aniba rosaeodora","PD"
"Anigozanthos bicolor","MPD"
"Anigozanthos flavidus","MPD"
"Anigozanthos gabrielae","MPD"
"Anigozanthos humilis","MPD"
"Anigozanthos manglesii","MPD"
"Anigozanthos preissii","MPD"
"Anigozanthos pulcherrimus","MPD"
"Anigozanthos rufus","MPD"
"Anigozanthos viridis","MPD"
"Aningueria robusta","ND"
"Anisacanthus quadrifidus","PD"
