FoCh name,Range,Habitat,Alpine,Min elevation,Max elevation,Standardized name,Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
,400-1600 m,"Slopes, roadsides, grasslands, thickets, open shrublands; 400-1600 m. SE Gansu, Henan, W Hubei, Jiangsu, SW Jiangxi, Shaanxi, SE Shanxi, NE Sichuan.",Lowland,400,1600,Macleaya microcarpa,Macleaya microcarpa ,Macleaya,,microcarpa,NA,NA,,,tro-24000391,TRUE,1.1,Accepted,Papaveraceae,Macleaya,,microcarpa,,,(Maxim.) Fedde,tro-24000391,Accepted,FALSE,FALSE,FALSE,28/10/2019
,600-1600 m,"Forest margins, gravelly or sunny mountain slopes, dry stony grasslands; 600-1600 m. Hebei, N Heilongjiang, Nei Mongol, N Shaanxi, N Shanxi [Afghanistan, Japan, Korea, Mongolia, Russia].",Lowland,600,1600,Bupleurum bicaule,Bupleurum pusillum,Bupleurum,,pusillum,NA,NA,,,kew-2687025,TRUE,1.1,Synonym,Apiaceae,Bupleurum,,bicaule,subsp.,pusillum,(Krylov) Czubarov,kew-2603859,Accepted,FALSE,FALSE,FALSE,28/10/2019
,600-1600 m,"Near houses, roadsides, grasslands; 600-1600 m. Throughout China [native of Mexico, now worldwide]",Lowland,600,1600,Datura stramonium,Datura stramonium,Datura,,stramonium,NA,NA,,,kew-2757848,TRUE,1.1,Accepted,Solanaceae,Datura,,stramonium,,,L.,kew-2757848,Accepted,FALSE,FALSE,FALSE,28/10/2019
,below 1600 m,"Shady places, rocks on slopes; below 1600 m. Anhui, Fujian, Gansu, Guizhou, Hebei, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan, Zhejiang [Japan, Korea, N Thailand].",Lowland,0,1600,Sedum sarmentosum,Sedum sarmentosum Bunge,Sedum,,sarmentosum,NA,NA,,Bunge,kew-2489587,TRUE,1.1,Accepted,Crassulaceae,Sedum,,sarmentosum,,,Bunge,kew-2489587,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1200-1700 m,"Thickets; 1200-1700 m. ?Fujian, ?Hebei, Henan, Hubei, W Hunan, Shaanxi, Shanxi, Sichuan.",Lowland,1200,1700,Philadelphus incanus,Philadelphus incanus Koehne,Philadelphus,,incanus,NA,NA,,Koehne,tro-29101533,TRUE,1.1,Accepted,Hydrangeaceae,Philadelphus,,incanus,,,Koehne,tro-29101533,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1500-1700 m,"Damp grassy places; 1500-1700 m. Heilongjiang, Jilin, Liaoning, Nei Mongol [Japan, Korea, Mongolia, Pakistan, Russia; America, Europe].",Lowland,1500,1700,Agrostis vinealis,Agrostis trinii,Agrostis,,trinii,NA,NA,,,kew-390579,TRUE,1.1,Synonym,Poaceae,Agrostis,,vinealis,,,Schreb.,kew-390633,Accepted,FALSE,FALSE,FALSE,28/10/2019
,400-1700 m,"Wet grassy areas, riverbanks; 400-1700 m. Heilongjiang, Jilin, Liaoning, Nei Mongol, Shaanxi, Shandong, Shanxi [Russia].",Lowland,400,1700,Stachys aspera,Stachys aspera ,Stachys,,aspera,NA,NA,,,kew-194813,TRUE,1.1,Accepted,Lamiaceae,Stachys,,aspera,,,Michx.,kew-194813,Accepted,FALSE,FALSE,FALSE,28/10/2019
,100-1800 m,"Scrub, meadows, by water, weedy areas; 100-1800 m. Anhui, Fujian, S Gansu, Guizhou, Hebei, S Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, E Nei Mongol, S Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, E Yunnan, Zhejiang [Japan, Korea, Russia; Europe (introduced)].",Lowland,100,1800,Geranium wilfordii,Geranium wilfordii Maxim. ,Geranium,,wilfordii,NA,NA,,Maxim.,kew-2824280,TRUE,1.1,Accepted,Geraniaceae,Geranium,,wilfordii,,,Maxim.,kew-2824280,Accepted,FALSE,FALSE,FALSE,28/10/2019
,100-1800 m,"Grassy places on mountain slopes; 100-1800 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hainan, Hubei, Hunan, Jiangsu, Jiangxi, Shaanxi, Shanxi, Sichuan, Taiwan, Xinjiang, Xizang, Yunnan, Zhejiang [worldwide weed in temperate zones and tropics].",Lowland,100,1800,Verbena officinalis,Verbena officinalis L.,Verbena,,officinalis,NA,NA,,L.,kew-212527,TRUE,1.1,Accepted,Verbenaceae,Verbena,,officinalis,,,L.,kew-212527,Accepted,FALSE,FALSE,FALSE,06/09/2019
,200-1800 m,"Mountain slopes, forests or among shrubs in valleys, riversides, shady places at roadsides, sunny places at watersides; 200-1800 m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Guizhou, Hubei, Hunan, Jiangsu, Jiangxi, Shaanxi, Sichuan, Taiwan, Xizang, Yunnan, Zhejiang [India, Japan, Korea, Nepal, Philippines, Vietnam; Australia].",Lowland,200,1800,Carex brunnea,Carex brunnea,Carex,,brunnea,NA,NA,,,kew-225167,TRUE,1.1,Accepted,Cyperaceae,Carex,,brunnea,,,Thunb.,kew-225167,Accepted,FALSE,FALSE,FALSE,28/10/2019
,200-1800 m,"Grasslands, forest margins, forests; 200-1800 m. Hebei, Hei-longjiang, Jilin, Liaoning, Nei Mongol, Shaanxi, Shanxi [Japan, Korea, Mongolia, Russia].",Lowland,200,1800,Halenia corniculata,Halenia corniculata,Halenia,,corniculata,NA,NA,,,kew-2837965,TRUE,1.1,Accepted,Gentianaceae,Halenia,,corniculata,,,(L.) Cornaz,kew-2837965,Accepted,FALSE,FALSE,FALSE,28/10/2019
,below 1800(-3000) m,"Fields, forests, disturbed wettish sites; below 1800(-3000) m. Anhui, Fujian, Gansu, Guangdong, Guangxi, Hebei, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Yunnan, Zhejiang [Cambodia, Korea, Laos, Nepal, Thailand, Vietnam; Europe, North and South America, Pacific islands].",Lowland,0,1800,Bidens bipinnata,Bidens bipinnata L.,Bidens,,bipinnata,NA,NA,,L.,gcc-127817,TRUE,1.1,Accepted,Compositae,Bidens,,bipinnata,,,L.,gcc-127817,Accepted,FALSE,FALSE,FALSE,06/09/2019
,100-1900 m,"Shady places in thickets on mountain slopes; 100-1900 m. throughout China except Xinjiang [Japan, Korea, Russia (Far East)].",Lowland,100,1900,Phtheirospermum japonicum,Phtheirospermum japonicum (Thunb.) Kanitz,Phtheirospermum,,japonicum,NA,NA,,(Thunb.) Kanitz,tro-29208857,TRUE,1.1,Accepted,Orobanchaceae,Phtheirospermum,,japonicum,,,(Thunb.) Kanitz,tro-29208857,Accepted,FALSE,FALSE,FALSE,06/09/2019
,500-1900 m,"Dry mountain slopes; 500-1900 m. Gansu, Nei Mongol, Ningxia, Shaanxi.",Lowland,500,1900,Bupleurum yinchowense,Bupleurum yinchowense,Bupleurum,,yinchowense,NA,NA,,,kew-2687287,TRUE,1.1,Accepted,Apiaceae,Bupleurum,,yinchowense,,,R.H.Shan & Y.Li,kew-2687287,Accepted,FALSE,FALSE,FALSE,28/10/2019
, sea level (Liaoning) to 2000 m (Guizhou),"Fields, pastures, steppes, grassy and dry stony slopes, pebble shores, forest margins, clearings; sea level (Liaoning) to 2000 m (Guizhou). Anhui, Fujian, Gansu, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Shaanxi, Shanxi, Sichuan, Zhejiang; also recorded from Guangdong, Guangxi [Korea, Mongolia, Russia (Far East, E Siberia)].",Lowland,0,2000,Hypericum attenuatum,Hypericum attenuatum ,Hypericum,,attenuatum,NA,NA,,,kew-2857765,TRUE,1.1,Accepted,Hypericaceae,Hypericum,,attenuatum,,,Fisch. ex Choisy,kew-2857765,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1000-2000 m,"Shaded wet places of forest understories on slopes, forest margins by canal sides; 1000-2000 m. Henan, Shaanxi.",Lowland,1000,2000,Parasenecio sinicus,Parasenecio sinica,Parasenecio,,sinica,NA,NA,,,gcc-40692,TRUE,1.1,Accepted,Compositae,Parasenecio,,sinicus,,,(Ling) Y.L.Chen,gcc-40692,Accepted,TRUE,FALSE,FALSE,28/10/2019
,100--2000 m,"Meadows, wet places on mountain slopes, sandy river banks, field margins, saline deserts; 100--2000 m. Anhui, Gansu, Guangdong, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Ningxia, Shaanxi, Shandong, Shanxi, Sichuan, Xinjiang, Xizang, Yunnan, Zhejiang [widespread in N hemisphere and subtropical regions].",Lowland,100,2000,Potentilla supina,Potentilla supina L.,Potentilla,,supina,NA,NA,,L.,rjp-2038,TRUE,1.1,Accepted,Rosaceae,Potentilla,,supina,,,L.,rjp-2038,Accepted,FALSE,FALSE,FALSE,06/09/2019
,100-2000 m,"Sunny grassy slopes, waste and cultivated areas; 100-2000 m. Gansu, Hebei, Heilongjiang, Henan, Hubei, Jiangsu, Liaoning, Nei Mongol, Shaanxi, Shandong, Shanxi [Japan, Korea, Mongolia, Russia]",Lowland,100,2000,Scutellaria baicalensis,Scutellaria baicalensis Georgi,Scutellaria,,baicalensis,NA,NA,,Georgi,kew-188938,TRUE,1.1,Accepted,Lamiaceae,Scutellaria,,baicalensis,,,Georgi,kew-188938,Accepted,FALSE,FALSE,FALSE,06/09/2019
Olgaea tangutica,1200-2000 m,"Slopes, thickets in valleys, farmlands, flooded lands, wastelands; 1200-2000 m. Gansu, Hebei, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shanxi.",Lowland,1200,2000,Olgaca tangutica,Olgaca tangutica Iljin,Olgaca,,tangutica,NA,NA,,Iljin,,FALSE,1.1,,,Olgaca,,tangutica,NA,,,,,FALSE,FALSE,FALSE,28/10/2019
,1300-2000 m,"Margins of pine forests, grassy slopes, wet grasslands; 1300-2000 m. Gansu, Hebei, Nei Mongol, Shaanxi, Shanxi [Mongolia, Russia]",Lowland,1300,2000,Nepeta multifida,Schizonepeta multifida (L.) Briq.,Schizonepeta,,multifida,NA,NA,,(L.) Briq.,kew-188175,TRUE,1.1,Synonym,Lamiaceae,Nepeta,,multifida,,,L.,kew-134813,Accepted,FALSE,FALSE,FALSE,06/09/2019
,200-2000 m,"Forest margins, grassy slopes; 200-2000 m. Anhui, Fujian, Gansu, Guangxi, Guizhou, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Sichuan, Zhejiang.",Lowland,200,2000,Peucedanum praeruptorum,Peucedanum praeruptorum Dunn,Peucedanum,,praeruptorum,NA,NA,,Dunn,kew-2403796,TRUE,1.1,Accepted,Apiaceae,Peucedanum,,praeruptorum,,,Dunn,kew-2403796,Accepted,FALSE,FALSE,FALSE,28/10/2019
,400-2000 m,"Slopes, floodplains, grassy riverbanks and lake shores; 400-2000 m. Gansu, Hebei, Henan, Jilin, Liaoning, Nei Mongol, Ningxia, Shaanxi, Shandong, Shanxi, Xinjiang [Kazakhstan, Mongolia, Russia; C and SE Europe].",Lowland,400,2000,Scorzonera austriaca,Scorzonera austriaca Willd.,Scorzonera,,austriaca,NA,NA,,Willd.,gcc-11781,TRUE,1.1,Accepted,Compositae,Scorzonera,,austriaca,,,Willd.,gcc-11781,Accepted,FALSE,FALSE,FALSE,06/09/2019
,500--2000 m,"Mountain slopes, sands, field margins; 500--2000 m. Gansu, Nei Mongol, Ningxia, Qinghai, N Shaanxi, Shanxi, Xinjiang [?C Asia].",Lowland,500,2000,Gypsophila licentiana,Gypsophila licentiana,Gypsophila,,licentiana,NA,NA,,,kew-2836733,TRUE,1.1,Accepted,Caryophyllaceae,Gypsophila,,licentiana,,,Hand.-Mazz.,kew-2836733,Accepted,FALSE,FALSE,FALSE,28/10/2019
,600--2000 m,"Forests, shady and moist slopes, pastures; 600--2000 m. Anhui, Hebei, Henan, Jilin, Shaanxi, Shanxi.",Lowland,600,2000,Allium listera,Allium victorialia var listera,Allium,,victorialia,NA,var,listera,,tro-18406601,TRUE,1.1,Synonym,Amaryllidaceae,Allium,,listera,,,Stearn,kew-295908,Accepted,TRUE,FALSE,FALSE,28/10/2019
,800--2000 m,"Mountain meadows, grassy mountain slopes, in shrubs; 800--2000 m. Fujian, Guizhou, Hebei, Heilongjiang, Jiangsu, Jilin, Liaoning, Nei Mongol, Ningxia, Shaanxi, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang [Japan, Korea, E Russia].",Lowland,800,2000,Lysimachia barystachys,Lysimachia barystachys,Lysimachia,,barystachys,NA,NA,,,tro-26400443,TRUE,1.1,Accepted,Primulaceae,Lysimachia,,barystachys,,,Bunge,tro-26400443,Accepted,FALSE,FALSE,FALSE,28/10/2019
,800-2000(-2800) m,"Abandoned fields, grasslands, along paths and roads; 800-2000(-2800) m. Anhui, Fujian, Guangdong, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jilin, Liaoning, Nei Mongol, Shaanxi, Shandong, Shanxi, Sichuan, Xizang, Zhejiang.",Lowland,800,2000,Taraxacum mongolicum,Taraxacum mongolicum Hand.-Mazz. ,Taraxacum,,mongolicum,NA,NA,,Hand.-Mazz.,gcc-104274,TRUE,1.1,Accepted,Compositae,Taraxacum,,mongolicum,,,Hand.-Mazz.,gcc-104274,Accepted,FALSE,FALSE,FALSE,06/09/2019
,below 100-2000 m,"Forests, forest margins, grasslands, dry slopes, among boulders, cliffs, field margins, roadsides; below 100-2000 m. Anhui, Chongqing, Fujian, Guangdong, Guangxi, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Shandong, Shanxi, Sichuan, Yunnan, Zhejiang [Japan, Korea, Mongolia, E Russia, Vietnam].",Lowland,100,2000,Crepidiastrum denticulatum,Paraixeris denticulata (Houtt.) Nakai ,Paraixeris,,denticulata,NA,NA,,(Houtt.) Nakai,gcc-22300,TRUE,1.1,Synonym,Compositae,Crepidiastrum,,denticulatum,,,(Houtt.) Pak & Kawano,gcc-30135,Accepted,FALSE,FALSE,FALSE,06/09/2019
,ca. 2000 m,"Forests, open slopes; ca. 2000 m. S Guizhou",Lowland,2000,2000,Clematis clarkeana,Clematis clarkeana ,Clematis,,clarkeana,NA,NA,,,kew-2725816,TRUE,1.1,Accepted,Ranunculaceae,Clematis,,clarkeana,,,H.Lév. & Vaniot,kew-2725816,Accepted,FALSE,FALSE,FALSE,28/10/2019
,low elevations to 2000 m,"Slopes, shrublands, riverbanks, lakeshores, roadsides, steppes, forest steppes, dry valleys; low elevations to 2000 m. Anhui, N Fujian, Gansu, N Guangdong, Guizhou, Hebei, Heilongjiang, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Jilin, Liaoning, Nei Mongol, Ningxia, Qinghai, Shaanxi, Shandong, Shanxi, Sichuan, Taiwan, Xinjiang [Kazakhstan, Korea, Kyrgyzstan, Russia, Turkmenistan, Uzbekistan].",Lowland,0,2000,Artemisia mongolica,Artemisia mongolica (Fisch. ex Bess.) Nakai,Artemisia,,mongolica,NA,NA,,(Fisch. ex Bess.) Nakai,gcc-88993,TRUE,1.1,Accepted,Compositae,Artemisia,,mongolica,,,(Fisch. ex Besser) Fisch. ex Nakai,gcc-88993,Accepted,FALSE,FALSE,FALSE,06/09/2019
,0-2100 m,"Hills, thickets, valleys, forests, forest margins, grasslands; 0-2100 m. Gansu, Hebei, Heilongjiang, Henan, Jiangsu, Jilin, Liaoning, Shaanxi, Shandong, Shanxi, Sichuan [Japan, Korea, Russia]",Lowland,0,2100,Isodon japonicus,Isodon glaucocalyx var.japonicus,Isodon,,glaucocalyx,NA,var.,japonicus,,kew-454018,TRUE,1.1,Synonym,Lamiaceae,Isodon,,japonicus,,,(Burm.f.) H.Hara,kew-102949,Accepted,FALSE,FALSE,FALSE,28/10/2019
,1000-2100 m,"Meadows, open sites in forests; 1000-2100 m. Gansu, Heilongjiang, Hubei, Jilin, Liaoning, Nei Mongol, Qinghai, Shaanxi, Shanxi, NE Sichuan [Korea, Mongolia, E Russia].",Lowland,1000,2100,Polemonium chinense,Polemonium coeruleum L. var. chinense Brand,Polemonium,,coeruleum,NA,var.,chinense,Brand,tro-25801013,TRUE,1.1,Synonym,Polemoniaceae,Polemonium,,chinense,,,(Brand) Brand,tro-25801014,Accepted,TRUE,FALSE,FALSE,06/09/2019
