Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable
Aconitum_firmum,,,WARS_028/02,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,330,500
Aconitum_firmum,,,WARS_029/02,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,250,500
Aconitum_lasiocarpum,,,WARS_053/03,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,250,500
Aconitum_lasiocarpum,,,WARS_080/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,210,500
Aconitum_lasiocarpum,,,WARS_081/04,Poland,,,,,,N,Y,N,Y,Y,21.66666667,21.66666667,150,500
Aconitum_lycoctonum,,,K_16841,Norway,,,,,,N,N,N,Y,N,5,5,2,20
Aconitum_lycoctonum,,,K_16841,Norway,,,,,,N,Y,N,Y,Y,13.33333333,13.33333333,20,20
Aconitum_lycoctonum,,,K_16841,Norway,,,,,,N,Y,N,Y,Y,15,15,12,20
Aconitum_lycoctonum,,,K_16841,Norway,,,,,,N,Y,N,Y,Y,16,16,17,20
Aconitum_lycoctonum,,,K_16841,Norway,,,,,,N,Y,N,Y,Y,16,16,43,50
Aconitum_lycoctonum,,,B_AT-3005501,Austria,,,,,,N,N,N,Y,N,22,22,0,20
Aconitum_lycoctonum,,,B_FR-2587202,France,,,,,,N,N,N,Y,N,22,22,0,20
Aconitum_nasutum,,,K_343783,Georgia,,,,,,N,Y,Y,Y,N,20,20,5,5
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,N,Y,N,6,6,0,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,Y,N,Y,Y,N,10,10,9,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,Y,Y,N,10,10,10,19
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,N,Y,N,11,11,0,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,N,N,Y,Y,N,11,11,14,20
Aconitum_talassicum,,,K_16368,Russia,,,,,,Y,N,Y,Y,N,11,11,15,20
