"TPLName","Family","New.Genus","New.Species"
"Juncus falcatus","Juncaceae","Juncus","falcatus"
"Juncus filiformis","Juncaceae","Juncus","filiformis"
"Juncus himalensis","Juncaceae","Juncus","himalensis"
"Juncus monanthos","Juncaceae","Juncus","monanthos"
"Juncus sphacelatus","Juncaceae","Juncus","sphacelatus"
"Juncus thomsonii","Juncaceae","Juncus","thomsonii"
"Juncus trifidus","Juncaceae","Juncus","trifidus"
"Juncus triglumis","Juncaceae","Juncus","triglumis"
"Jurinea humilis","Compositae","Jurinea","humilis"
"Kelleria dieffenbachii","Thymelaeaceae","Kelleria","dieffenbachii"
"Kobresia myosuroides","Cyperaceae","Kobresia","myosuroides"
"Kobresia capillifolia","Cyperaceae","Kobresia","capillifolia"
"Kobresia humilis","Cyperaceae","Kobresia","humilis"
"Kobresia kansuensis","Cyperaceae","Kobresia","kansuensis"
"Kobresia pygmaea","Cyperaceae","Kobresia","pygmaea"
"Kobresia setschwanensis","Cyperaceae","Kobresia","setschwanensis"
"Kobresia simpliciuscula","Cyperaceae","Kobresia","simpliciuscula"
"Kobresia tibetica","Cyperaceae","Kobresia","tibetica"
"Koeleria litvinowii","Poaceae","Koeleria","litvinowii"
"Kunzea muelleri","Myrtaceae","Kunzea","muelleri"
"Lagotis brachystachya","Plantaginaceae","Lagotis","brachystachya"
"Phlomoides rotata","Lamiaceae","Phlomoides","rotata"
"Lancea tibetica","Phrymaceae","Lancea","tibetica"
"Laretia acaulis","Apiaceae","Laretia","acaulis"
"Leibnitzia nepalensis","Compositae","Leibnitzia","nepalensis"
"Leontodon hispidus","Compositae","Leontodon","hispidus"
"Leontopodium nivale","Compositae","Leontopodium","nivale"
"Leontopodium nanum","Compositae","Leontopodium","nanum"
"Leontopodium ochroleucum","Compositae","Leontopodium","ochroleucum"
"Leontopodium souliei","Compositae","Leontopodium","souliei"
"Lepidium apetalum","Brassicaceae","Lepidium","apetalum"
"Lepidium capitatum","Brassicaceae","Lepidium","capitatum"
"Lepidium latifolium","Brassicaceae","Lepidium","latifolium"
"Leucanthemopsis alpina","Compositae","Leucanthemopsis","alpina"
"Leucochrysum alpinum","Compositae","Leucochrysum","alpinum"
"Ligularia macrodonta","Compositae","Ligularia","macrodonta"
"Ligularia virgaurea","Compositae","Ligularia","virgaurea"
"Lilium martagon","Liliaceae","Lilium","martagon"
"Linaria alpina","Plantaginaceae","Linaria","alpina"
"Linaria tonzigii","Plantaginaceae","Linaria","tonzigii"
"Lloydia oxycarpa","Liliaceae","Lloydia","oxycarpa"
"Loasa caespitosa","Loasaceae","Loasa","caespitosa"
"Lomatogonium carinthiacum","Gentianaceae","Lomatogonium","carinthiacum"
"Lomatogonium gamosepalum","Gentianaceae","Lomatogonium","gamosepalum"
"Lomatogonium macranthum","Gentianaceae","Lomatogonium","macranthum"
"Lonicera pyrenaica","Caprifoliaceae","Lonicera","pyrenaica"
"Luzula acutifolia","Juncaceae","Luzula","acutifolia"
"Luzula alpinopilosa","Juncaceae","Luzula","alpinopilosa"
"Luzula brachyphylla","Juncaceae","Luzula","brachyphylla"
"Luzula lutea","Juncaceae","Luzula","lutea"
"Luzula modesta","Juncaceae","Luzula","modesta"
"Luzula nivea","Juncaceae","Luzula","nivea"
"Luzula spicata","Juncaceae","Luzula","spicata"
"Silene suecica","Caryophyllaceae","Silene","suecica"
"Madia sativa","Compositae","Madia","sativa"
"Matricaria breviradiata","Compositae","Matricaria","breviradiata"
"Meconopsis horridula","Papaveraceae","Meconopsis","horridula"
"Meconopsis integrifolia","Papaveraceae","Meconopsis","integrifolia"
"Meconopsis punicea","Papaveraceae","Meconopsis","punicea"
"Meconopsis quintuplinervia","Papaveraceae","Meconopsis","quintuplinervia"
"Megacarpaea delavayi","Brassicaceae","Megacarpaea","delavayi"
"Callistemon pityoides","Myrtaceae","Callistemon","pityoides"
"Silene himalayensis","Caryophyllaceae","Silene","himalayensis"
"Microgynoecium tibeticum","Amaranthaceae","Microgynoecium","tibeticum"
"Microseris lanceolata","Compositae","Microseris","lanceolata"
"Microsteris gracilis","Polemoniaceae","Microsteris","gracilis"
"Microula sikkimensis","Boraginaceae","Microula","sikkimensis"
"Microula tangutica","Boraginaceae","Microula","tangutica"
"Minuartia laricifolia","Caryophyllaceae","Minuartia","laricifolia"
"Minuartia sedoides","Caryophyllaceae","Minuartia","sedoides"
"Minuartia verna","Caryophyllaceae","Minuartia","verna"
"Montiopsis gayana","Montiaceae","Montiopsis","gayana"
"Mutisia sinuata","Compositae","Mutisia","sinuata"
"Myosotis alpestris","Boraginaceae","Myosotis","alpestris"
"Nardostachys jatamansi","Caprifoliaceae","Nardostachys","jatamansi"
"Nardus stricta","Poaceae","Nardus","stricta"
"Nassauvia lagascae","Compositae","Nassauvia","lagascae"
"Nassauvia pinnigera","Compositae","Nassauvia","pinnigera"
"Nassauvia revoluta","Compositae","Nassauvia","revoluta"
"Nastanthus scapigerus","Calyceraceae","Nastanthus","scapigerus"
"Neopaxia australasica","Portulacaceae","Neopaxia","australasica"
"Nepeta coerulescens","Lamiaceae","Nepeta","coerulescens"
"Nepeta prattii","Lamiaceae","Nepeta","prattii"
"Nicotiana corymbosa","Solanaceae","Nicotiana","corymbosa"
"Thlaspi caerulescens","Brassicaceae","Thlaspi","caerulescens"
"Notopterygium franchetii","Apiaceae","Notopterygium","franchetii"
"Notopterygium incisum","Apiaceae","Notopterygium","incisum"
"Olearia algida","Compositae","Olearia","algida"
"Olearia phlogopappa","Compositae","Olearia","phlogopappa"
"Olsynium junceum","Iridaceae","Olsynium","junceum"
"Oreobolus distichus","Cyperaceae","Oreobolus","distichus"
"Chaerophyllum australianum","Apiaceae","Chaerophyllum","australianum"
"Chaerophyllum eriopodum","Apiaceae","Chaerophyllum","eriopodum"
"Piptatherum munroi","Poaceae","Piptatherum","munroi"
"Ranunculus kamchaticus","Ranunculaceae","Ranunculus","kamchaticus"
"Oxylobium ellipticum","Leguminosae","Oxylobium","ellipticum"
"Oxyria digyna","Polygonaceae","Oxyria","digyna"
"Oxytropis campestris","Leguminosae","Oxytropis","campestris"
"Oxytropis falcata","Leguminosae","Oxytropis","falcata"
"Oxytropis lapponica","Leguminosae","Oxytropis","lapponica"
"Oxytropis ochrocephala","Leguminosae","Oxytropis","ochrocephala"
"Ozothamnus alpinus","Compositae","Ozothamnus","alpinus"
"Ozothamnus cupressoides","Compositae","Ozothamnus","cupressoides"
"Ozothamnus hookeri","Compositae","Ozothamnus","hookeri"
"Papaver alpinum","Papaveraceae","Papaver","alpinum"
"Paraquilegia microphylla","Ranunculaceae","Paraquilegia","microphylla"
"Parnassia brevistyla","Celastraceae","Parnassia","brevistyla"
"Parnassia trinervis","Celastraceae","Parnassia","trinervis"
"Pedicularis alaschanica","Orobanchaceae","Pedicularis","alaschanica"
"Pedicularis cheilanthifolia","Orobanchaceae","Pedicularis","cheilanthifolia"
"Pedicularis kansuensis","Orobanchaceae","Pedicularis","kansuensis"
"Pedicularis rhinanthoides","Orobanchaceae","Pedicularis","rhinanthoides"
"Pedicularis lachnoglossa","Orobanchaceae","Pedicularis","lachnoglossa"
"Pedicularis lasiophrys","Orobanchaceae","Pedicularis","lasiophrys"
"Pedicularis longiflora","Orobanchaceae","Pedicularis","longiflora"
"Pedicularis pseudoingens","Orobanchaceae","Pedicularis","pseudoingens"
"Pedicularis szetschuanica","Orobanchaceae","Pedicularis","szetschuanica"
"Pedicularis ternata","Orobanchaceae","Pedicularis","ternata"
"Pedicularis tuberosa","Orobanchaceae","Pedicularis","tuberosa"
"Pelargonium helmsii","Geraniaceae","Pelargonium","helmsii"
"Pennisetum centrasiaticum","Poaceae","Pennisetum","centrasiaticum"
"Pentachondra pumila","Ericaceae","Pentachondra","pumila"
"Perezia pedicularidifolia","Compositae","Perezia","pedicularidifolia"
"Persicaria vivipara","Polygonaceae","Persicaria","vivipara"
"Phleum alpinum","Poaceae","Phleum","alpinum"
"Phyteuma hemisphaericum","Campanulaceae","Phyteuma","hemisphaericum"
"Phyteuma sieberi","Campanulaceae","Phyteuma","sieberi"
"Pilosella officinarum","Compositae","Pilosella","officinarum"
"Pimelea axiflora","Thymelaeaceae","Pimelea","axiflora"
"Pimelea ligustrina","Thymelaeaceae","Pimelea","ligustrina"
"Pinguicula leptoceras","Lentibulariaceae","Pinguicula","leptoceras"
"Plantago depressa","Plantaginaceae","Plantago","depressa"
"Plantago alpina","Plantaginaceae","Plantago","alpina"
"Plantago atrata","Plantaginaceae","Plantago","atrata"
"Plantago glacialis","Plantaginaceae","Plantago","glacialis"
"Plantago muelleri","Plantaginaceae","Plantago","muelleri"
"Plantago nivalis","Plantaginaceae","Plantago","nivalis"
"Pleurospermum wilsonii","Apiaceae","Pleurospermum","wilsonii"
"Pleurospermum hookeri","Apiaceae","Pleurospermum","hookeri"
"Pleurospermum wrightianum","Apiaceae","Pleurospermum","wrightianum"
"Poa alpina","Poaceae","Poa","alpina"
"Poa annua","Poaceae","Poa","annua"
"Poa attenuata","Poaceae","Poa","attenuata"
"Poa costiniana","Poaceae","Poa","costiniana"
"Poa szechuensis","Poaceae","Poa","szechuensis"
"Poa hiemata","Poaceae","Poa","hiemata"
"Poa phillipsiana","Poaceae","Poa","phillipsiana"
"Poa pratensis","Poaceae","Poa","pratensis"
"Poa sikkimensis","Poaceae","Poa","sikkimensis"
"Podolepis robusta","Compositae","Podolepis","robusta"
"Polygala alpina","Polygalaceae","Polygala","alpina"
"Polygonum fertile","Polygonaceae","Polygonum","fertile"
"Polygonum macrophyllum","Polygonaceae","Polygonum","macrophyllum"
"Reynoutria multiflora","Polygonaceae","Reynoutria","multiflora"
"Polygonum sibiricum","Polygonaceae","Polygonum","sibiricum"
"Polygonum sparsipilosum","Polygonaceae","Polygonum","sparsipilosum"
"Pomatosace filicula","Primulaceae","Pomatosace","filicula"
"Potentilla saundersiana","Rosaceae","Potentilla","saundersiana"
"Potentilla aurea","Rosaceae","Potentilla","aurea"
"Potentilla crantzii","Rosaceae","Potentilla","crantzii"
"Potentilla multifida","Rosaceae","Potentilla","multifida"
"Potentilla pamiroalaica","Rosaceae","Potentilla","pamiroalaica"
"Potentilla potaninii","Rosaceae","Potentilla","potaninii"
"Potentilla grandiflora","Rosaceae","Potentilla","grandiflora"
"Primula agleniana","Primulaceae","Primula","agleniana"
"Primula algida","Primulaceae","Primula","algida"
"Primula auricula","Primulaceae","Primula","auricula"
"Primula auriculata","Primulaceae","Primula","auriculata"
"Primula daonensis","Primulaceae","Primula","daonensis"
"Primula farinosa","Primulaceae","Primula","farinosa"
"Primula gemmifera","Primulaceae","Primula","gemmifera"
"Primula glaucescens","Primulaceae","Primula","glaucescens"
"Primula integrifolia","Primulaceae","Primula","integrifolia"
"Primula minima","Primulaceae","Primula","minima"
"Primula orbicularis","Primulaceae","Primula","orbicularis"
"Primula secundiflora","Primulaceae","Primula","secundiflora"
"Primula stenocalyx","Primulaceae","Primula","stenocalyx"
"Primula tangutica","Primulaceae","Primula","tangutica"
"Prostanthera cuneata","Lamiaceae","Prostanthera","cuneata"
"Psychrophila introloba","Ranunculaceae","Psychrophila","introloba"
"Pterocephalus hookeri","Caprifoliaceae","Pterocephalus","hookeri"
"Ptilagrostis dichotoma","Poaceae","Ptilagrostis","dichotoma"
"Stipa concinna","Poaceae","Stipa","concinna"
"Anemone vernalis","Ranunculaceae","Anemone","vernalis"
"Pyrethrum tatsienense","Compositae","Pyrethrum","tatsienense"
"Ranunculus acrophilus","Ranunculaceae","Ranunculus","acrophilus"
"Ranunculus anemoneus","Ranunculaceae","Ranunculus","anemoneus"
"Ranunculus brotherusii","Ranunculaceae","Ranunculus","brotherusii"
"Ranunculus clivicola","Ranunculaceae","Ranunculus","clivicola"
"Ranunculus dissectifolius","Ranunculaceae","Ranunculus","dissectifolius"
"Ranunculus graniticola","Ranunculaceae","Ranunculus","graniticola"
"Ranunculus gunnianus","Ranunculaceae","Ranunculus","gunnianus"
"Ranunculus lappaceus","Ranunculaceae","Ranunculus","lappaceus"
"Ranunculus montanus","Ranunculaceae","Ranunculus","montanus"
"Ranunculus muelleri","Ranunculaceae","Ranunculus","muelleri"
"Ranunculus niphophilus","Ranunculaceae","Ranunculus","niphophilus"
"Ranunculus pimpinellifolius","Ranunculaceae","Ranunculus","pimpinellifolius"
"Rheum palmatum","Polygonaceae","Rheum","palmatum"
"Rhinanthus glacialis","Orobanchaceae","Rhinanthus","glacialis"
"Rhodiola tangutica","Crassulaceae","Rhodiola","tangutica"
"Rhodiola macrocarpa","Crassulaceae","Rhodiola","macrocarpa"
"Rhodiola kirilowii","Crassulaceae","Rhodiola","kirilowii"
"Rhododendron ferrugineum","Ericaceae","Rhododendron","ferrugineum"
"Rhodophiala andicola","Amaryllidaceae","Rhodophiala","andicola"
"Ribes petraeum","Grossulariaceae","Ribes","petraeum"
"Richea continentis","Ericaceae","Richea","continentis"
"Roegneria breviglumis","Poaceae","Roegneria","breviglumis"
"Rorippa elata","Brassicaceae","Rorippa","elata"
"Rumex alpestris","Polygonaceae","Rumex","alpestris"
"Rumex nepalensis","Polygonaceae","Rumex","nepalensis"
"Rumex suffruticosus","Polygonaceae","Rumex","suffruticosus"
"Rytidosperma nudiflorum","Poaceae","Rytidosperma","nudiflorum"
"Rytidosperma pictum","Poaceae","Rytidosperma","pictum"
"Rytidosperma pumilum","Poaceae","Rytidosperma","pumilum"
"Sagina saginoides","Caryophyllaceae","Sagina","saginoides"
"Sanguisorba filiformis","Rosaceae","Sanguisorba","filiformis"
"Sanicula graveolens","Apiaceae","Sanicula","graveolens"
"Saponaria lutea","Caryophyllaceae","Saponaria","lutea"
"Stachys grandidentata","Lamiaceae","Stachys","grandidentata"
"Saussurea pachyneura","Compositae","Saussurea","pachyneura"
"Saussurea globosa","Compositae","Saussurea","globosa"
"Saussurea graminea","Compositae","Saussurea","graminea"
"Saussurea hieracioides","Compositae","Saussurea","hieracioides"
"Saussurea kansuensis","Compositae","Saussurea","kansuensis"
"Saussurea przewalskii","Compositae","Saussurea","przewalskii"
"Saussurea stella","Compositae","Saussurea","stella"
"Saussurea sylvatica","Compositae","Saussurea","sylvatica"
"Saxifraga aizoides","Saxifragaceae","Saxifraga","aizoides"
"Saxifraga bryoides","Saxifragaceae","Saxifraga","bryoides"
"Saxifraga caesia","Saxifragaceae","Saxifraga","caesia"
"Saxifraga cespitosa","Saxifragaceae","Saxifraga","cespitosa"
"Saxifraga egregia","Saxifragaceae","Saxifraga","egregia"
"Saxifraga exarata","Saxifragaceae","Saxifraga","exarata"
"Saxifraga heleonastes","Saxifragaceae","Saxifraga","heleonastes"
"Saxifraga hirculus","Saxifragaceae","Saxifraga","hirculus"
"Saxifraga hostii","Saxifragaceae","Saxifraga","hostii"
"Saxifraga melanocentra","Saxifragaceae","Saxifraga","melanocentra"
"Saxifraga montana","Saxifragaceae","Saxifraga","montana"
"Saxifraga nivalis","Saxifragaceae","Saxifraga","nivalis"
"Saxifraga oppositifolia","Saxifragaceae","Saxifraga","oppositifolia"
"Saxifraga paniculata","Saxifragaceae","Saxifraga","paniculata"
"Saxifraga rivularis","Saxifragaceae","Saxifraga","rivularis"
"Saxifraga stellaris","Saxifragaceae","Saxifraga","stellaris"
"Saxifraga tangutica","Saxifragaceae","Saxifraga","tangutica"
"Schizanthus hookeri","Solanaceae","Schizanthus","hookeri"
"Schizanthus grahamii","Solanaceae","Schizanthus","grahamii"
"Trichophorum distigmaticum","Cyperaceae","Trichophorum","distigmaticum"
"Trichophorum pumilum","Cyperaceae","Trichophorum","pumilum"
"Mniarum biflorum","Caryophyllaceae","Mniarum","biflorum"
"Scleranthus singuliflorus","Caryophyllaceae","Scleranthus","singuliflorus"
"Podospermum canum","Compositae","Podospermum","canum"
"Scorzoneroides cantabrica","Compositae","Scorzoneroides","cantabrica"
"Scorzoneroides helvetica","Compositae","Scorzoneroides","helvetica"
"Sedum ulricae","Crassulaceae","Sedum","ulricae"
"Sedum villosum","Crassulaceae","Sedum","villosum"
"Senecio bipontinii","Compositae","Senecio","bipontinii"
"Senecio chionophilus","Compositae","Senecio","chionophilus"
"Senecio doronicum","Compositae","Senecio","doronicum"
"Senecio dubitabilis","Compositae","Senecio","dubitabilis"
"Senecio eruciformis","Compositae","Senecio","eruciformis"
"Senecio gunnii","Compositae","Senecio","gunnii"
"Jacobaea uniflora","Compositae","Jacobaea","uniflora"
"Jacobaea incana","Compositae","Jacobaea","incana"
"Senecio squalidus","Compositae","Senecio","squalidus"
"Senecio thianschanicus","Compositae","Senecio","thianschanicus"
"Sesleria albicans","Poaceae","Sesleria","albicans"
"Sesleria caerulea","Poaceae","Sesleria","caerulea"
"Sesleria sphaerocephala","Poaceae","Sesleria","sphaerocephala"
"Sibbaldia procumbens","Rosaceae","Sibbaldia","procumbens"
"Silene acaulis","Caryophyllaceae","Silene","acaulis"
"Silene andicola","Caryophyllaceae","Silene","andicola"
"Silene ciliata","Caryophyllaceae","Silene","ciliata"
"Silene rupestris","Caryophyllaceae","Silene","rupestris"
"Silene vallesia","Caryophyllaceae","Silene","vallesia"
"Silene vulgaris","Caryophyllaceae","Silene","vulgaris"
"Sinochasea trigyna","Poaceae","Sinochasea","trigyna"
"Sinopodophyllum hexandrum","Berberidaceae","Sinopodophyllum","hexandrum"
"Sisymbrium heteromallum","Brassicaceae","Sisymbrium","heteromallum"
"Sisyrinchium arenarium","Iridaceae","Sisyrinchium","arenarium"
"Sisyrinchium pearcei","Iridaceae","Sisyrinchium","pearcei"
"Olsynium philippii","Iridaceae","Olsynium","philippii"
"Soldanella alpina","Primulaceae","Soldanella","alpina"
"Solidago virgaurea","Compositae","Solidago","virgaurea"
"Spiraea mongolica","Rosaceae","Spiraea","mongolica"
"Stackhousia monogyna","Celastraceae","Stackhousia","monogyna"
"Stackhousia pulvinaris","Celastraceae","Stackhousia","pulvinaris"
"Stellaria decumbens","Caryophyllaceae","Stellaria","decumbens"
"Stellaria uda","Caryophyllaceae","Stellaria","uda"
"Stephanachne nigrescens","Poaceae","Stephanachne","nigrescens"
"Stipa aliena","Poaceae","Stipa","aliena"
"Stipa breviflora","Poaceae","Stipa","breviflora"
"Stipa capillacea","Poaceae","Stipa","capillacea"
"Stipa pappiformis","Poaceae","Stipa","pappiformis"
"Stipa regeliana","Poaceae","Stipa","regeliana"
"Stylidium graminifolium","Stylidiaceae","Stylidium","graminifolium"
"Swertia bifolia","Gentianaceae","Swertia","bifolia"
"Swertia erythrosticta","Gentianaceae","Swertia","erythrosticta"
"Swertia wolfgangiana","Gentianaceae","Swertia","wolfgangiana"
"Taraxacum alpinum","Compositae","Taraxacum","alpinum"
"Taraxacum confusum","Compositae","Taraxacum","confusum"
"Taraxacum stevenii","Compositae","Taraxacum","stevenii"
"Tasmannia xerophila","Winteraceae","Tasmannia","xerophila"
"Teesdaliopsis conferta","Brassicaceae","Teesdaliopsis","conferta"
"Teucrium chamaedrys","Lamiaceae","Teucrium","chamaedrys"
"Thalictrum alpinum","Ranunculaceae","Thalictrum","alpinum"
"Thalictrum rutifolium","Ranunculaceae","Thalictrum","rutifolium"
"Tibetia himalaica","Leguminosae","Tibetia","himalaica"
"Tofieldia pusilla","Tofieldiaceae","Tofieldia","pusilla"
"Tongoloa elata","Apiaceae","Tongoloa","elata"
"Tongoloa gracilis","Apiaceae","Tongoloa","gracilis"
"Trifolium alpinum","Leguminosae","Trifolium","alpinum"
"Trifolium badium","Leguminosae","Trifolium","badium"
"Trifolium pallescens","Leguminosae","Trifolium","pallescens"
"Trifolium polyphyllum","Leguminosae","Trifolium","polyphyllum"
"Trifolium pratense","Leguminosae","Trifolium","pratense"
"Trifolium thalii","Leguminosae","Trifolium","thalii"
"Triglochin palustris","Juncaginaceae","Triglochin","palustris"
"Trisetum clarkei","Poaceae","Trisetum","clarkei"
"Trisetum spicatum","Poaceae","Trisetum","spicatum"
"Tristagma bivalve","Amaryllidaceae","Tristagma","bivalve"
"Trollius europaeus","Ranunculaceae","Trollius","europaeus"
"Trollius farreri","Ranunculaceae","Trollius","farreri"
"Urtica hyperborea","Urticaceae","Urtica","hyperborea"
"Veronica allionii","Plantaginaceae","Veronica","allionii"
"Veronica alpina","Plantaginaceae","Veronica","alpina"
"Veronica aphylla","Plantaginaceae","Veronica","aphylla"
"Veronica bellidioides","Plantaginaceae","Veronica","bellidioides"
"Veronica ciliata","Plantaginaceae","Veronica","ciliata"
"Veronica eriogyne","Plantaginaceae","Veronica","eriogyne"
"Veronica fruticans","Plantaginaceae","Veronica","fruticans"
"Veronica perfoliata","Plantaginaceae","Veronica","perfoliata"
"Veronica szechuanica","Plantaginaceae","Veronica","szechuanica"
"Veronica vandellioides","Plantaginaceae","Veronica","vandellioides"
"Vicia multicaulis","Leguminosae","Vicia","multicaulis"
"Vicia orobus","Leguminosae","Vicia","orobus"
"Viola betonicifolia","Violaceae","Viola","betonicifolia"
"Viola comollia","Violaceae","Viola","comollia"
"Wahlenbergia ceracea","Campanulaceae","Wahlenbergia","ceracea"
"Wahlenbergia gloriosa","Campanulaceae","Wahlenbergia","gloriosa"
"Xerochrysum subundulatum","Compositae","Xerochrysum","subundulatum"
"Nothoscordum andinum","Amaryllidaceae","Nothoscordum","andinum"
