Original,Spelling,Original.clean,TPLName,Familia,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Cynoglossum lanceolatum,Cynoglossum lanceolatum,Cynoglossum lanceolatum,Cynoglossum lanceolatum,Boraginaceae,Cynoglossum,NA,lanceolatum,NA,NA,,,kew-2752016,TRUE,1.1,Accepted,Boraginaceae,Cynoglossum,,lanceolatum,,,Forssk.,kew-2752016,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Datura stramonium,Datura stramonium,Datura stramonium,Datura stramonium,Solanaceae,Datura,NA,stramonium,NA,NA,,,kew-2757848,TRUE,1.1,Accepted,Solanaceae,Datura,,stramonium,,,L.,kew-2757848,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Daucus carota,Daucus carota,Daucus carota,Daucus carota,Apiaceae,Daucus,NA,carota,NA,NA,,,kew-2757936,TRUE,1.1,Accepted,Apiaceae,Daucus,,carota,,,L.,kew-2757936,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium albocoeruleum,Delphinium albocoeruleum,Delphinium albocoeruleum,Delphinium albocoeruleum,Ranunculaceae,Delphinium,NA,albocoeruleum,NA,NA,,,kew-2759391,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,albocoeruleum,,,Maxim.,kew-2759391,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium albocoeruleum Maxim.,Delphinium albocoeruleum Maxim.,Delphinium albocoeruleum,Delphinium albocoeruleum,Ranunculaceae,Delphinium,NA,albocoeruleum,NA,NA,,Maxim.,kew-2759391,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,albocoeruleum,,,Maxim.,kew-2759391,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium campylocentrum,Delphinium campylocentrum,Delphinium campylocentrum,Delphinium campylocentrum,Ranunculaceae,Delphinium,NA,campylocentrum,NA,NA,,,kew-2759549,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,campylocentrum,,,Maxim.,kew-2759549,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium cyphoplectrum,Delphinium cyphoplectrum,Delphinium cyphoplectrum,Delphinium cyphoplectrum,Ranunculaceae,Delphinium,NA,cyphoplectrum,NA,NA,,,kew-2759644,TRUE,1.1,Unresolved,Ranunculaceae,Delphinium,,cyphoplectrum,,,Boiss.,kew-2759644,Unresolved,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium elatum,Delphinium elatum,Delphinium elatum,Delphinium elatum,Ranunculaceae,Delphinium,NA,elatum,NA,NA,,,kew-2759714,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,elatum,,,L.,kew-2759714,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium kamaonense,Delphinium kamaonense,Delphinium kamaonense,Delphinium kamaonense,Ranunculaceae,Delphinium,NA,kamaonense,NA,NA,,,kew-2759933,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,kamaonense,,,Huth,kew-2759933,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium kamaonense Hunth var. glabrescens (W.T.Wang) W.T.Wang,Delphinium kamaonense Hunth var. glabrescens (W.T.Wang) W.T.Wang,Delphinium kamaonense,Delphinium kamaonense,Ranunculaceae,Delphinium,NA,kamaonense,NA,var.,glabrescens,(W.T.Wang) W.T.Wang,kew-2759935,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,kamaonense,var.,glabrescens,(W.T.Wang) W.T.Wang,kew-2759935,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium pylzowii Maxim. var. trigynum W.T. Wang,Delphinium pylzowii Maxim. var. trigynum W.T. Wang,Delphinium pylzowii,Delphinium pylzowii,Ranunculaceae,Delphinium,NA,pylzowii,NA,var.,trigynum,W.T. Wang,kew-2760297,FALSE,1.1,Accepted,Ranunculaceae,Delphinium,,pylzowii,,,Maxim. ex Regel,kew-2760297,Accepted,FALSE,FALSE,TRUE,18/04/2020,Species
Delphinium siwanense,Delphinium siwanense,Delphinium siwanense,Delphinium siwanense,Ranunculaceae,Delphinium,NA,siwanense,NA,NA,,,kew-2760392,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,siwanense,,,Franch.,kew-2760392,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium siwanense Franch. var. leptopogon (Hand.-Mazz.) W.T.Wang,Delphinium siwanense Franch. var. leptopogon (Hand.-Mazz.) W.T.Wang,Delphinium siwanense,Delphinium siwanense,Ranunculaceae,Delphinium,NA,siwanense,NA,var.,leptopogon,(Hand.-Mazz.) W.T.Wang,kew-2760394,TRUE,1.1,Synonym,Ranunculaceae,Delphinium,,siwanense,,,Franch.,kew-2760392,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium souliei,Delphinium souliei,Delphinium souliei,Delphinium souliei,Ranunculaceae,Delphinium,NA,souliei,NA,NA,,,kew-2760402,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,souliei,,,Franch.,kew-2760402,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Delphinium sparsiflorum,Delphinium sparsiflorum,Delphinium sparsiflorum,Delphinium sparsiflorum,Ranunculaceae,Delphinium,NA,sparsiflorum,NA,NA,,,kew-2760403,TRUE,1.1,Accepted,Ranunculaceae,Delphinium,,sparsiflorum,,,Maxim.,kew-2760403,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
