Original,Spelling,Original.clean,TPLName,Familia,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date,Tax_res
Acaena alpina,Acaena alpina,Acaena alpina,Acaena alpina,Rosaceae,Acaena,NA,alpina,NA,NA,,,rjp-12540,TRUE,1.1,Accepted,Rosaceae,Acaena,,alpina,,,Poepp. ex Walp.,rjp-12540,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Acaena digitata,Acaena digitata,Acaena digitata,Acaena alpina,Rosaceae,Acaena,NA,digitata,NA,NA,,,rjp-11902,TRUE,1.1,Synonym,Rosaceae,Acaena,,alpina,,,Poepp. ex Walp.,rjp-12540,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Acaena pinnatifida,Acaena pinnatifida,Acaena pinnatifida,Acaena pinnatifida,Rosaceae,Acaena,NA,pinnatifida,NA,NA,,,rjp-3737,TRUE,1.1,Accepted,Rosaceae,Acaena,,pinnatifida,,,Ruiz & Pav.,rjp-3737,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Acanthocalyx alba,Acanthocalyx alba,Acanthocalyx alba,Acanthocalyx alba,Caprifoliaceae,Acanthocalyx,NA,alba,NA,NA,,,kew-2614489,TRUE,1.1,Unresolved,Caprifoliaceae,Acanthocalyx,,alba,,,(Hand.-Mazz.) M.J.Cannon,kew-2614489,Unresolved,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea acuminata,Achillea acuminata,Achillea acuminata,Achillea acuminata,Compositae,Achillea,NA,acuminata,NA,NA,,,gcc-129408,TRUE,1.1,Accepted,Compositae,Achillea,,acuminata,,,(Ledeb.) Sch.Bip.,gcc-129408,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea atrata,Achillea atrata,Achillea atrata,Achillea atrata,Compositae,Achillea,NA,atrata,NA,NA,,,gcc-14881,TRUE,1.1,Accepted,Compositae,Achillea,,atrata,,,L.,gcc-14881,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea clavenae,Achillea clavenae,Achillea clavenae,Achillea clavennae,Compositae,Achillea,NA,clavenae,NA,NA,,,gcc-105259,TRUE,1.1,Accepted,Compositae,Achillea,,clavennae,,,L.,gcc-105259,Accepted,TRUE,FALSE,FALSE,18/04/2020,Species
Achillea millefolium,Achillea millefolium,Achillea millefolium,Achillea millefolium,Compositae,Achillea,NA,millefolium,NA,NA,,,gcc-140712,TRUE,1.1,Accepted,Compositae,Achillea,,millefolium,,,L.,gcc-140712,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea moschata,Achillea moschata,Achillea moschata,Achillea erba-rotta,Compositae,Achillea,NA,moschata,NA,NA,,,gcc-103225,TRUE,1.1,Synonym,Compositae,Achillea,,erba-rotta,subsp.,moschata,(Wulfen) I.Richardson,gcc-23438,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea nana,Achillea nana,Achillea nana,Achillea nana,Compositae,Achillea,NA,nana,NA,NA,,,gcc-24761,TRUE,1.1,Accepted,Compositae,Achillea,,nana,,,L.,gcc-24761,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achillea roseoalba,Achillea roseoalba,Achillea roseoalba,Achillea roseo-alba,Compositae,Achillea,NA,roseoalba,NA,NA,,,gcc-130562,TRUE,1.1,Accepted,Compositae,Achillea,,roseo-alba,,,Ehrend.,gcc-130562,Accepted,TRUE,FALSE,FALSE,18/04/2020,Species
Achnatherum extremiorientale (Hara) Keng ex P. C. Kuo,Achnatherum extremiorientale (Hara) Keng ex P. C. Kuo,Achnatherum extremiorientale,Stipa pekinensis,Poaceae,Achnatherum,NA,extremiorientale,NA,NA,,(Hara) Keng ex P. C. Kuo,kew-387278,TRUE,1.1,Synonym,Poaceae,Stipa,,pekinensis,,,Hance,kew-445502,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achnatherum inebrians (Hance) Keng,Achnatherum inebrians (Hance) Keng,Achnatherum inebrians,Stipa inebrians,Poaceae,Achnatherum,NA,inebrians,NA,NA,,(Hance) Keng,kew-387288,TRUE,1.1,Synonym,Poaceae,Stipa,,inebrians,,,Hance,kew-445178,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achnatherum psilantherum Keng,Achnatherum psilantherum Keng,Achnatherum psilantherum,Achnatherum psilantherum,Poaceae,Achnatherum,NA,psilantherum,NA,NA,,Keng,kew-387146,TRUE,1.1,Unresolved,Poaceae,Achnatherum,,psilantherum,,,Keng ex Tzvelev,kew-387146,Unresolved,FALSE,FALSE,FALSE,18/04/2020,Species
Achnatherum sibiricum (L.) Keng ex Tzvel. ,Achnatherum sibiricum (L.) Keng ex Tzvel. ,Achnatherum sibiricum,Stipa sibirica,Poaceae,Achnatherum,NA,sibiricum,NA,NA,,(L.) Keng ex Tzvel.,kew-387154,TRUE,1.1,Synonym,Poaceae,Stipa,,sibirica,,,(L.) Lam.,kew-445734,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Achnatherum splendens (Trin.) Nevski,Achnatherum splendens (Trin.) Nevski,Achnatherum splendens,Stipa splendens,Poaceae,Achnatherum,NA,splendens,NA,NA,,(Trin.) Nevski,kew-387159,TRUE,1.1,Synonym,Poaceae,Stipa,,splendens,,,Trin.,kew-445779,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aciphylla glacialis,Aciphylla glacialis,Aciphylla glacialis,Aciphylla glacialis,Apiaceae,Aciphylla,NA,glacialis,NA,NA,,,kew-2618030,TRUE,1.1,Accepted,Apiaceae,Aciphylla,,glacialis,,,(F.Muell.) Benth.,kew-2618030,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aciphylla simplicifolia,Aciphylla simplicifolia,Aciphylla simplicifolia,Aciphylla simplicifolia,Apiaceae,Aciphylla,NA,simplicifolia,NA,NA,,,kew-2618058,TRUE,1.1,Accepted,Apiaceae,Aciphylla,,simplicifolia,,,(F.Muell.) Benth.,kew-2618058,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum barbatum,Aconitum barbatum,Aconitum barbatum,Aconitum barbatum,Ranunculaceae,Aconitum,NA,barbatum,NA,NA,,,kew-2618419,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,barbatum,,,Patrin ex Pers.,kew-2618419,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum brunneum,Aconitum brunneum,Aconitum brunneum,Aconitum brunneum,Ranunculaceae,Aconitum,NA,brunneum,NA,NA,,,kew-2618464,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,brunneum,,,Hand.-Mazz.,kew-2618464,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum bucovinense,Aconitum bucovinense,Aconitum bucovinense,Aconitum bucovinense,Ranunculaceae,Aconitum,NA,bucovinense,NA,NA,,,kew-2618465,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,bucovinense,,,Zapal.,kew-2618465,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum firmum,Aconitum firmum,Aconitum firmum,Aconitum firmum,Ranunculaceae,Aconitum,NA,firmum,NA,NA,,,kew-2618699,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,firmum,,,Rchb.,kew-2618699,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum flavum,Aconitum flavum,Aconitum flavum,Aconitum flavum,Ranunculaceae,Aconitum,NA,flavum,NA,NA,,,kew-2618716,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,flavum,,,Hand.-Mazz.,kew-2618716,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum gymnandrum,Aconitum gymnandrum,Aconitum gymnandrum,Aconitum gymnandrum,Ranunculaceae,Aconitum,NA,gymnandrum,NA,NA,,,kew-2618782,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,gymnandrum,,,Maxim.,kew-2618782,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum gymnandrum Maxim.,Aconitum gymnandrum Maxim.,Aconitum gymnandrum,Aconitum gymnandrum,Ranunculaceae,Aconitum,NA,gymnandrum,NA,NA,,Maxim.,kew-2618782,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,gymnandrum,,,Maxim.,kew-2618782,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum henryi,Aconitum henryi,Aconitum henryi,Aconitum henryi,Ranunculaceae,Aconitum,NA,henryi,NA,NA,,,kew-2618812,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,henryi,,,E.Pritz. ex Diels,kew-2618812,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum lasiocarpum,Aconitum lasiocarpum,Aconitum lasiocarpum,Aconitum lasiocarpum,Ranunculaceae,Aconitum,NA,lasiocarpum,NA,NA,,,kew-2618958,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,lasiocarpum,,,(Rchb.) Gáyer,kew-2618958,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum lycoctonum,Aconitum lycoctonum,Aconitum lycoctonum,Aconitum lycoctonum,Ranunculaceae,Aconitum,NA,lycoctonum,NA,NA,,,kew-2619019,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,lycoctonum,,,L.,kew-2619019,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum napellus,Aconitum napellus,Aconitum napellus,Aconitum napellus,Ranunculaceae,Aconitum,NA,napellus,NA,NA,,,kew-2619110,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,napellus,,,L.,kew-2619110,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum nasutum,Aconitum nasutum,Aconitum nasutum,Aconitum nasutum,Ranunculaceae,Aconitum,NA,nasutum,NA,NA,,,kew-2619213,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,nasutum,,,Fisch. ex Rchb.,kew-2619213,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum sinomontanum,Aconitum sinomontanum,Aconitum sinomontanum,Aconitum sinomontanum,Ranunculaceae,Aconitum,NA,sinomontanum,NA,NA,,,kew-2619523,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,sinomontanum,,,Nakai,kew-2619523,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum sinomontanum Nakai,Aconitum sinomontanum Nakai,Aconitum sinomontanum,Aconitum sinomontanum,Ranunculaceae,Aconitum,NA,sinomontanum,NA,NA,,Nakai,kew-2619523,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,sinomontanum,,,Nakai,kew-2619523,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum talassicum,Aconitum talassicum,Aconitum talassicum,Aconitum talassicum,Ranunculaceae,Aconitum,NA,talassicum,NA,NA,,,kew-2619592,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,talassicum,,,Popov,kew-2619592,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum tanguticum,Aconitum tanguticum,Aconitum tanguticum,Aconitum tanguticum,Ranunculaceae,Aconitum,NA,tanguticum,NA,NA,,,kew-2619596,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,tanguticum,,,(Maxim.) Stapf,kew-2619596,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aconitum tauricum,Aconitum tauricum,Aconitum tauricum,Aconitum tauricum,Ranunculaceae,Aconitum,NA,tauricum,NA,NA,,,kew-2619611,TRUE,1.1,Accepted,Ranunculaceae,Aconitum,,tauricum,,,Wulfen,kew-2619611,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Acroglochin persicarioides (Poir.)Mog.,Acroglochin persicarioides (Poir.)Mog.,Acroglochin persicarioides,Acroglochin persicarioides,Amaranthaceae,Acroglochin,NA,persicarioides,NA,NA,,(Poir.)Mog.,kew-2620146,TRUE,1.1,Accepted,Amaranthaceae,Acroglochin,,persicarioides,,,(Poir.) Moq.,kew-2620146,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aeronema chinense,Acronema chinense,Acronema chinense,Acronema chinense,Apiaceae,Acronema,NA,chinense,NA,NA,,,kew-2620203,TRUE,1.1,Accepted,Apiaceae,Acronema,,chinense,,,H.Wolff,kew-2620203,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Acronema chinense,Acronema chinense,Acronema chinense,Acronema chinense,Apiaceae,Acronema,NA,chinense,NA,NA,,,kew-2620203,TRUE,1.1,Accepted,Apiaceae,Acronema,,chinense,,,H.Wolff,kew-2620203,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Actaea cimicifuga,Actaea cimicifuga,Actaea cimicifuga,Actaea cimicifuga,Ranunculaceae,Actaea,NA,cimicifuga,NA,NA,,,kew-2620525,TRUE,1.1,Accepted,Ranunculaceae,Actaea,,cimicifuga,,,L.,kew-2620525,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenocaulon himalaicum,Adenocaulon himalaicum,Adenocaulon himalaicum,Adenocaulon himalaicum,Compositae,Adenocaulon,NA,himalaicum,NA,NA,,,gcc-103381,TRUE,1.1,Accepted,Compositae,Adenocaulon,,himalaicum,,,Edgew.,gcc-103381,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenophora himalayana,Adenophora himalayana,Adenophora himalayana,Adenophora himalayana,Campanulaceae,Adenophora,NA,himalayana,NA,NA,,,kew-360279,TRUE,1.1,Accepted,Campanulaceae,Adenophora,,himalayana,,,Feer,kew-360279,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenophora liliifolia,Adenophora liliifolia,Adenophora liliifolia,Adenophora liliifolia,Campanulaceae,Adenophora,NA,liliifolia,NA,NA,,,kew-360310,TRUE,1.1,Accepted,Campanulaceae,Adenophora,,liliifolia,,,(L.) A.DC.,kew-360310,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenophora liliifolioides,Adenophora liliifolioides,Adenophora liliifolioides,Adenophora liliifolioides,Campanulaceae,Adenophora,NA,liliifolioides,NA,NA,,,kew-360326,TRUE,1.1,Accepted,Campanulaceae,Adenophora,,liliifolioides,,,Pax & K.Hoffm.,kew-360326,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenophora potaninii,Adenophora potaninii,Adenophora potaninii,Adenophora potaninii,Campanulaceae,Adenophora,NA,potaninii,NA,NA,,,kew-360436,TRUE,1.1,Accepted,Campanulaceae,Adenophora,,potaninii,,,Korsh.,kew-360436,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenophora potaninii Korsh.,Adenophora potaninii Korsh.,Adenophora potaninii,Adenophora potaninii,Campanulaceae,Adenophora,NA,potaninii,NA,NA,,Korsh.,kew-360436,TRUE,1.1,Accepted,Campanulaceae,Adenophora,,potaninii,,,Korsh.,kew-360436,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenophora stenanthina,Adenophora stenanthina,Adenophora stenanthina,Adenophora stenanthina,Campanulaceae,Adenophora,NA,stenanthina,NA,NA,,,kew-360481,TRUE,1.1,Accepted,Campanulaceae,Adenophora,,stenanthina,,,(Ledeb.) Kitag.,kew-360481,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenophora stenanthina (Ledeb.) Kitag.,Adenophora stenanthina (Ledeb.) Kitag.,Adenophora stenanthina,Adenophora stenanthina,Campanulaceae,Adenophora,NA,stenanthina,NA,NA,,(Ledeb.) Kitag.,kew-360481,TRUE,1.1,Accepted,Campanulaceae,Adenophora,,stenanthina,,,(Ledeb.) Kitag.,kew-360481,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adenostyles alliariae,Adenostyles alliariae,Adenostyles alliariae,Adenostyles alliariae,Compositae,Adenostyles,NA,alliariae,NA,NA,,,gcc-156793,TRUE,1.1,Accepted,Compositae,Adenostyles,,alliariae,,,(Gouan) A.Kern.,gcc-156793,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adesmia emarginata,Adesmia emarginata,Adesmia emarginata,Adesmia emarginata,Leguminosae,Adesmia,NA,emarginata,NA,NA,,,ild-11247,TRUE,1.1,Accepted,Leguminosae,Adesmia,,emarginata,,,Clos,ild-11247,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adesmia longipes,Adesmia longipes,Adesmia longipes,Adesmia longipes,Leguminosae,Adesmia,NA,longipes,NA,NA,,,ild-11288,TRUE,1.1,Accepted,Leguminosae,Adesmia,,longipes,,,Phil.,ild-11288,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adesmia radicifolia,Adesmia radicifolia,Adesmia radicifolia,Adesmia radicifolia,Leguminosae,Adesmia,NA,radicifolia,NA,NA,,,ild-40452,TRUE,1.1,Accepted,Leguminosae,Adesmia,,radicifolia,,,Clos,ild-40452,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Adonis amurensis,Adonis amurensis,Adonis amurensis,Adonis amurensis,Ranunculaceae,Adonis,NA,amurensis,NA,NA,,,kew-2623058,TRUE,1.1,Accepted,Ranunculaceae,Adonis,,amurensis,,,Regel & Radde,kew-2623058,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrimonia pilosa,Agrimonia pilosa,Agrimonia pilosa,Agrimonia pilosa,Rosaceae,Agrimonia,NA,pilosa,NA,NA,,,rjp-8068,TRUE,1.1,Accepted,Rosaceae,Agrimonia,,pilosa,,,Ledeb.,rjp-8068,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrimonia pilosa Ledeb,Agrimonia pilosa Ledeb,Agrimonia pilosa,Agrimonia pilosa,Rosaceae,Agrimonia,NA,pilosa,NA,NA,,Ledeb,rjp-8068,TRUE,1.1,Accepted,Rosaceae,Agrimonia,,pilosa,,,Ledeb.,rjp-8068,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis alpina,Agrostis alpina,Agrostis alpina,Agrostis alpina,Poaceae,Agrostis,NA,alpina,NA,NA,,,kew-389160,TRUE,1.1,Accepted,Poaceae,Agrostis,,alpina,,,Scop.,kew-389160,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,Poaceae,Agrostis,NA,gigantea,NA,NA,,,kew-389634,TRUE,1.1,Accepted,Poaceae,Agrostis,,gigantea,,,Roth,kew-389634,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis gigantea Roth,Agrostis gigantea Roth,Agrostis gigantea,Agrostis gigantea,Poaceae,Agrostis,NA,gigantea,NA,NA,,Roth,kew-389634,TRUE,1.1,Accepted,Poaceae,Agrostis,,gigantea,,,Roth,kew-389634,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis hookeriana,Agrostis hookeriana,Agrostis hookeriana,Agrostis hookeriana,Poaceae,Agrostis,NA,hookeriana,NA,NA,,,kew-389714,TRUE,1.1,Accepted,Poaceae,Agrostis,,hookeriana,,,C.B.Clarke ex Hook.f.,kew-389714,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis hugoniana,Agrostis hugoniana,Agrostis hugoniana,Agrostis hugoniana,Poaceae,Agrostis,NA,hugoniana,NA,NA,,,kew-389719,TRUE,1.1,Accepted,Poaceae,Agrostis,,hugoniana,,,Rendle,kew-389719,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis hugoniana Rendle,Agrostis hugoniana Rendle,Agrostis hugoniana,Agrostis hugoniana,Poaceae,Agrostis,NA,hugoniana,NA,NA,,Rendle,kew-389719,TRUE,1.1,Accepted,Poaceae,Agrostis,,hugoniana,,,Rendle,kew-389719,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis perlaxa Pilger,Agrostis perlaxa Pilger,Agrostis perlaxa,Agrostis hookeriana,Poaceae,Agrostis,NA,perlaxa,NA,NA,,Pilger,kew-390078,TRUE,1.1,Synonym,Poaceae,Agrostis,,hookeriana,,,C.B.Clarke ex Hook.f.,kew-389714,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis pilosula,Agrostis pilosula,Agrostis pilosula,Agrostis pilosula,Poaceae,Agrostis,NA,pilosula,NA,NA,,,kew-390097,TRUE,1.1,Accepted,Poaceae,Agrostis,,pilosula,,,Trin.,kew-390097,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis stolonifera,Agrostis stolonifera,Agrostis stolonifera,Agrostis stolonifera,Poaceae,Agrostis,NA,stolonifera,NA,NA,,,kew-390383,TRUE,1.1,Accepted,Poaceae,Agrostis,,stolonifera,,,L.,kew-390383,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Agrostis vinealis,Agrostis vinealis,Agrostis vinealis,Agrostis vinealis,Poaceae,Agrostis,NA,vinealis,NA,NA,,,kew-390633,TRUE,1.1,Accepted,Poaceae,Agrostis,,vinealis,,,Schreb.,kew-390633,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Ajania fruticulosa,Ajania fruticulosa,Ajania fruticulosa,Ajania fruticulosa,Compositae,Ajania,NA,fruticulosa,NA,NA,,,gcc-48822,TRUE,1.1,Accepted,Compositae,Ajania,,fruticulosa,,,(Ledeb.) Poljakov,gcc-48822,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Ajania salicifolia,Ajania salicifolia,Ajania salicifolia,Ajania salicifolia,Compositae,Ajania,NA,salicifolia,NA,NA,,,gcc-107030,TRUE,1.1,Accepted,Compositae,Ajania,,salicifolia,,,Poljakov,gcc-107030,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Ajania salicifolia (Mattf.) Poljak.,Ajania salicifolia (Mattf.) Poljak.,Ajania salicifolia,Ajania salicifolia,Compositae,Ajania,NA,salicifolia,NA,NA,,(Mattf.) Poljak.,gcc-107030,TRUE,1.1,Accepted,Compositae,Ajania,,salicifolia,,,Poljakov,gcc-107030,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Ajania tenuifolia,Ajania tenuifolia,Ajania tenuifolia,Ajania tenuifolia,Compositae,Ajania,NA,tenuifolia,NA,NA,,,gcc-47926,TRUE,1.1,Accepted,Compositae,Ajania,,tenuifolia,,,Tzvelev,gcc-47926,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Ajania tenuifolia (Jocq.) Tzvel.,Ajania tenuifolia (Jocq.) Tzvel.,Ajania tenuifolia,Ajania tenuifolia,Compositae,Ajania,NA,tenuifolia,NA,NA,,(Jocq.) Tzvel.,gcc-47926,TRUE,1.1,Accepted,Compositae,Ajania,,tenuifolia,,,Tzvelev,gcc-47926,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Ajuga ciliata,Ajuga ciliata,Ajuga ciliata,Ajuga ciliata,Lamiaceae,Ajuga,NA,ciliata,NA,NA,,,kew-5223,TRUE,1.1,Accepted,Lamiaceae,Ajuga,,ciliata,,,Bunge,kew-5223,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Ajuga lupulina,Ajuga lupulina,Ajuga lupulina,Ajuga lupulina,Lamiaceae,Ajuga,NA,lupulina,NA,NA,,,kew-5312,TRUE,1.1,Accepted,Lamiaceae,Ajuga,,lupulina,,,Maxim.,kew-5312,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Ajuga lupulina Maxim.,Ajuga lupulina Maxim.,Ajuga lupulina,Ajuga lupulina,Lamiaceae,Ajuga,NA,lupulina,NA,NA,,Maxim.,kew-5312,TRUE,1.1,Accepted,Lamiaceae,Ajuga,,lupulina,,,Maxim.,kew-5312,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Alchemilla acutiloba,Alchemilla acutiloba,Alchemilla acutiloba,Alchemilla acutiloba,Rosaceae,Alchemilla,NA,acutiloba,NA,NA,,,rjp-532,TRUE,1.1,Accepted,Rosaceae,Alchemilla,,acutiloba,,,Opiz,rjp-532,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Alchemilla alpina,Alchemilla alpina,Alchemilla alpina,Alchemilla alpina,Rosaceae,Alchemilla,NA,alpina,NA,NA,,,rjp-28,TRUE,1.1,Accepted,Rosaceae,Alchemilla,,alpina,,,L.,rjp-28,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Alchemilla glabra,Alchemilla glabra,Alchemilla glabra,Alchemilla glabra,Rosaceae,Alchemilla,NA,glabra,NA,NA,,,rjp-1095,TRUE,1.1,Accepted,Rosaceae,Alchemilla,,glabra,,,Neygenf.,rjp-1095,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aletris alpestris Diels,Aletris alpestris Diels,Aletris alpestris,Aletris alpestris,Nartheciaceae,Aletris,NA,alpestris,NA,NA,,Diels,kew-294676,TRUE,1.1,Accepted,Nartheciaceae,Aletris,,alpestris,,,Diels,kew-294676,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Aletris glandulifera,Aletris glandulifera,Aletris glandulifera,Aletris glandulifera,Nartheciaceae,Aletris,NA,glandulifera,NA,NA,,,kew-294701,TRUE,1.1,Accepted,Nartheciaceae,Aletris,,glandulifera,,,Bureau & Franch.,kew-294701,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Allium beesianum,Allium beesianum,Allium beesianum,Allium beesianum,Amaryllidaceae,Allium,NA,beesianum,NA,NA,,,kew-295126,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,beesianum,,,W.W.Sm.,kew-295126,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Allium chrysanthum,Allium chrysanthum,Allium chrysanthum,Allium chrysanthum,Amaryllidaceae,Allium,NA,chrysanthum,NA,NA,,,kew-295303,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,chrysanthum,,,Regel,kew-295303,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Allium chrysocephalum,Allium chrysocephalum,Allium chrysocephalum,Allium chrysocephalum,Amaryllidaceae,Allium,NA,chrysocephalum,NA,NA,,,kew-295304,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,chrysocephalum,,,Regel,kew-295304,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Allium cyaneum,Allium cyaneum,Allium cyaneum,Allium cyaneum,Amaryllidaceae,Allium,NA,cyaneum,NA,NA,,,kew-295393,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,cyaneum,,,Regel,kew-295393,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Allium cyaneum Regel,Allium cyaneum Regel,Allium cyaneum,Allium cyaneum,Amaryllidaceae,Allium,NA,cyaneum,NA,NA,,Regel,kew-295393,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,cyaneum,,,Regel,kew-295393,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Allium cyathophorum,Allium cyathophorum,Allium cyathophorum,Allium cyathophorum,Amaryllidaceae,Allium,NA,cyathophorum,NA,NA,,,kew-295395,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,cyathophorum,,,Bureau & Franch.,kew-295395,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Allium insubricum,Allium insubricum,Allium insubricum,Allium insubricum,Amaryllidaceae,Allium,NA,insubricum,NA,NA,,,kew-295761,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,insubricum,,,Boiss. & Reut.,kew-295761,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
Allium listera,Allium listera,Allium listera,Allium listera,Amaryllidaceae,Allium,NA,listera,NA,NA,,,kew-295908,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,listera,,,Stearn,kew-295908,Accepted,FALSE,FALSE,FALSE,18/04/2020,Species
