"Species","Treatment","Germination"
"Phyteuma orbiculare","X15.53CS",65.4
"Pilosella officinarum","X15.53CS",90.3
"Poa alpina","X15.53CS",18.3
"Polygala alpina","X15.53CS",50
"Potentilla aurea","X15.53CS",13.4
"Primula farinosa","X15.53CS",75.9
"Pulsatilla alpina","X15.53CS",100
"Pulsatilla vernalis","X15.53CS",27.3
"Ranunculus montanum.","X15.53CS",8.6
"Rhinanthus glacialis","X15.53CS",0
"Scorzoneroides helvetica","X15.53CS",88.3
"Senecio doronicum","X15.53CS",100
"Serratula tinctoria","X15.53CS",98.1
"Sesleria caerulea","X15.53CS",63.4
"Soldanella alpina","X15.53CS",98
"Solidago virgaurea","X15.53CS",100
"Valeriana montana","X15.53CS",89.1
"Achillea moschata","X15.55CS",100
"Achillea nana","X15.55CS",84.8
"Antennaria dioica","X15.55CS",89.5
"Anthoxanthum odoratum","X15.55CS",79.9
"Anthyllis vulneraria","X15.55CS",8.6
"Arnica montana","X15.55CS",68
"Aster alpinus","X15.55CS",92.4
"Bartsia alpina","X15.55CS",90.4
"Biscutella laevigata","X15.55CS",13.1
"Campanula barbata","X15.55CS",63.3
"Carex curvula","X15.55CS",0
"Carex firma","X15.55CS",49.1
"Carex sempervirens","X15.55CS",20
"Dryas octopetala","X15.55CS",100
"Festuca halleri","X15.55CS",57.4
"Festuca nigricans","X15.55CS",55.6
"Festuca pumila","X15.55CS",61.1
"Festuca nigrescens","X15.55CS",50
"Gentiana acaulis","X15.55CS",41.7
"Gentiana clusii","X15.55CS",96.4
"Gentiana nivalis","X15.55CS",20.4
"Gentiana punctata","X15.55CS",13
"Gentiana verna","X15.55CS",29.5
"Gentianella anisodonta","X15.55CS",14
"Geum montanum","X15.55CS",84.9
"Helictochloa versicolor","X15.55CS",34.3
"Horminum pyrenaicum","X15.55CS",80.6
"Leontodon hispidus","X15.55CS",92.7
"Leontopodium alpinum","X15.55CS",100
"Lotus corniculatus","X15.55CS",18.4
"Luzula spicata","X15.55CS",31.7
