Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Briceño,Drymis andina,Chile,Mocho-Choshuenco63,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,0,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco64,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,1,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco64,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,0,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco64,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,1,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco64,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,0,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco65,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,0,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco65,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,0,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco65,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,0,30
Briceño,Sisyrinchium pearcei,Chile,Mocho-Choshuenco65,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,0,30
Briceño,Perezia pedicularidifolia,Chile,Mocho-Choshuenco66,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,0,30
Briceño,Perezia pedicularidifolia,Chile,Mocho-Choshuenco66,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,1,30
Briceño,Perezia pedicularidifolia,Chile,Mocho-Choshuenco66,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,0,30
Briceño,Perezia pedicularidifolia,Chile,Mocho-Choshuenco66,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,0,30
Briceño,Gaultheria poeppigii,Chile,Mocho-Choshuenco67,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,20,30
Briceño,Gaultheria poeppigii,Chile,Mocho-Choshuenco67,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,22,30
Briceño,Gaultheria poeppigii,Chile,Mocho-Choshuenco67,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,18,30
Briceño,Gaultheria poeppigii,Chile,Mocho-Choshuenco67,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,10,30
Briceño,Escallonia alpina,Chile,Mocho-Choshuenco69,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,17,30
Briceño,Escallonia alpina,Chile,Mocho-Choshuenco69,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,23,30
Briceño,Escallonia alpina,Chile,Mocho-Choshuenco69,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,24,30
Briceño,Escallonia alpina,Chile,Mocho-Choshuenco69,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,23,30
Briceño,Gaultheria pumila,Chile,Mocho-Choshuenco70,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,22,30
Briceño,Gaultheria pumila,Chile,Mocho-Choshuenco70,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,5,30
Briceño,Gaultheria pumila,Chile,Mocho-Choshuenco70,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,17,30
Briceño,Gaultheria pumila,Chile,Mocho-Choshuenco70,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,12,30
Briceño,Olsynium junceum,Chile,Mocho-Choshuenco73,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,0,30
Briceño,Olsynium junceum,Chile,Mocho-Choshuenco73,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,0,30
Briceño,Olsynium junceum,Chile,Mocho-Choshuenco73,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,0,30
Briceño,Olsynium junceum,Chile,Mocho-Choshuenco73,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,0,30
Briceño,Olsynium junceum,Chile,Mocho-Choshuenco74,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,0,30
Briceño,Olsynium junceum,Chile,Mocho-Choshuenco74,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,0,30
Briceño,Olsynium junceum,Chile,Mocho-Choshuenco74,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,0,30
Briceño,Olsynium junceum,Chile,Mocho-Choshuenco74,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,0,30
Briceño,Embothrium coccineum,Chile,Mocho-Choshuenco76,-39.909752,-72.03853,,NA,0,N,N,N,Y,a,22,10,12,30,1,30
Briceño,Embothrium coccineum,Chile,Mocho-Choshuenco76,-39.909752,-72.03853,,NA,0,N,N,N,Y,b,22,10,12,30,0,30
Briceño,Embothrium coccineum,Chile,Mocho-Choshuenco76,-39.909752,-72.03853,,NA,0,N,N,N,Y,c,22,10,12,30,1,30
Briceño,Embothrium coccineum,Chile,Mocho-Choshuenco76,-39.909752,-72.03853,,NA,0,N,N,N,Y,d,22,10,12,30,1,30
Briceño,Cardamine cordata,Chile,Mocho-Choshuenco1,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,Y,N,N,Y,a,22,10,12,30,30,30
Briceño,Cardamine cordata,Chile,Mocho-Choshuenco1,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,b,22,10,12,30,30,30
Briceño,Cardamine cordata,Chile,Mocho-Choshuenco1,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,c,22,10,12,30,30,30
Briceño,Cardamine cordata,Chile,Mocho-Choshuenco1,-39.909752,-72.03853,,22/12+12/5+0+10/5,134,N,N,N,Y,d,22,10,12,30,30,30
