,Species,Region,Source,Population,Latitude,Longitude,Min.elevation,Max.elevation,Treeline,Alpine,Scarification,GA3,Stratification,Light,Alternating,Tmean,Temperature,Germinated,Germinable,mass
45,Aconitum_firmum,NA,NA,WARS_003/01,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,255,500,2.125
46,Aconitum_firmum,NA,NA,WARS_004/00,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,0,500,2.125
47,Aconitum_firmum,NA,NA,WARS_022/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,375,500,2.125
48,Aconitum_firmum,NA,NA,WARS_023/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,385,500,2.125
49,Aconitum_firmum,NA,NA,WARS_024/02,Poland,NA,NA,NA,NA,NA,Y,Y,N,Y,Y,21.66666667,21.66666667,330,500,2.125
50,Aconitum_firmum,NA,NA,WARS_025/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,290,500,2.125
51,Aconitum_firmum,NA,NA,WARS_025/03,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,215,500,2.125
52,Aconitum_firmum,NA,NA,WARS_026/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,305,500,2.125
53,Aconitum_firmum,NA,NA,WARS_027/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,350,500,2.125
54,Aconitum_firmum,NA,NA,WARS_028/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,330,500,2.125
55,Aconitum_firmum,NA,NA,WARS_029/02,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,250,500,2.125
56,Aconitum_lasiocarpum,NA,NA,WARS_053/03,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,250,500,2.125
57,Aconitum_lasiocarpum,NA,NA,WARS_080/04,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,210,500,2.125
58,Aconitum_lasiocarpum,NA,NA,WARS_081/04,Poland,NA,NA,NA,NA,NA,N,Y,N,Y,Y,21.66666667,21.66666667,150,500,2.125
59,Aconitum_lycoctonum,NA,NA,K_16841,Norway,NA,NA,NA,NA,NA,N,N,N,Y,N,5,5,2,20,3.896
60,Aconitum_lycoctonum,NA,NA,K_16841,Norway,NA,NA,NA,NA,NA,N,Y,N,Y,Y,13.33333333,13.33333333,20,20,3.896
