"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3972.02 (172.93)",0.863,"0.453 (0.223 -- 0.790)","0.323 (0.201 -- 0.472)","0.332 (0.000 -- 1.540)","0.147 (0.000 -- 0.425)","0.353 (0.246 -- 0.511)","0.255 (0.242 -- 0.271)","Alternating",0.0118659228214243,-0.0531089556461666,0.0666371872466698,180,0.766666666666667,"fixed",0.625122188820745,0.491195431549031,0.771418356394858,0.431070045816559,0.269795602028861,0.60324340511892
"2","GA3","3943.51 (144.42)",0.854,"0.457 (0.257 -- 0.733)","0.330 (0.217 -- 0.466)","0.160 (0.000 -- 0.636)","0.159 (0.000 -- 0.437)","0.369 (0.270 -- 0.484)","0.252 (0.238 -- 0.266)","GA3",-0.0612064428990388,-0.0931042937045277,-0.0295821643376257,180,0.00555555555555556,"fixed",0.632713037227291,0.513988577708354,0.748732723963038,0.433450824890512,0.267754868455461,0.583572891433481
"3","Light","3969.34 (170.25)",0.856,"0.436 (0.218 -- 0.701)","0.327 (0.206 -- 0.455)","0.199 (0.000 -- 0.774)","0.211 (0.000 -- 0.733)","0.342 (0.227 -- 0.460)","0.254 (0.240 -- 0.270)","Light",0.00817829624855051,-0.0466629583679605,0.0667547103948891,180,0.822222222222222,"fixed",0.616894580797978,0.459239597849933,0.729503249889054,0.420273377535684,0.245212502883996,0.574553746940171
"4","Scarification","3967.12 (168.03)",0.851,"0.422 (0.170 -- 0.653)","0.305 (0.187 -- 0.448)","0.126 (0.000 -- 0.510)","0.217 (0.000 -- 0.615)","0.355 (0.245 -- 0.474)","0.254 (0.240 -- 0.269)","Scarification",-0.16515583148556,-0.262367019756766,-0.0719410038436763,180,0.00555555555555556,"fixed",0.609830574319173,0.44066891106231,0.745769746725188,0.422498808984794,0.263666844816572,0.602311184828347
"5","Stratification","3965.22 (166.13)",0.861,"0.446 (0.225 -- 0.716)","0.317 (0.202 -- 0.441)","0.142 (0.000 -- 0.451)","0.312 (0.000 -- 1.398)","0.351 (0.258 -- 0.493)","0.254 (0.240 -- 0.270)","Stratification",-0.0770218737816011,-0.147308495819743,-0.0127293687110068,180,0.0222222222222222,"fixed",0.623662761652542,0.47808466232771,0.737507079483373,0.430878403899827,0.263506685730826,0.585658776557219
"6","Tmean","3799.09 (0)",0.872,"0.480 (0.239 -- 0.812)","0.344 (0.214 -- 0.495)","0.118 (0.000 -- 0.439)","0.326 (0.000 -- 0.769)","0.314 (0.200 -- 0.425)","0.237 (0.224 -- 0.253)","Tmean",-0.18311280670166,-0.217347705227439,-0.160388240328757,180,0.00555555555555556,"fixed",0.655384937277826,0.533716321083108,0.787561477275415,0.443528912647458,0.284403949915782,0.615792978778858
