TPLName,Family,Alpine
Saxifraga cespitosa,Saxifragaceae,Strict
Saxifraga hirculus,Saxifragaceae,Generalist
Saxifraga nivalis,Saxifragaceae,Strict
Saxifraga rivularis,Saxifragaceae,Strict
Scandix iberica,Apiaceae,Unknown
Sedum villosum,Crassulaceae,Generalist
Sempervivum caucasicum,Crassulaceae,Unknown
Jacobaea uniflora,Compositae,Strict
Silene frivaldskyana,Caryophyllaceae,Unknown
Oberna lacera,Caryophyllaceae,Unknown
Silene linearifolia,Caryophyllaceae,Unknown
Silene pygmaea,Caryophyllaceae,Unknown
Silene uniflora,Caryophyllaceae,Lowland
Silene viscariopsis,Caryophyllaceae,Unknown
Stachys alpina,Lamiaceae,Lowland
Stachys balansae,Lamiaceae,Unknown
Taraxacum pieninicum,Compositae,Unknown
Teucrium chamaedrys,Lamiaceae,Generalist
Thlaspi alpestre,Brassicaceae,Unknown
Thlaspi orbiculatum,Brassicaceae,Unknown
Tofieldia pusilla,Tofieldiaceae,Strict
Trichophorum cespitosum,Cyperaceae,Unknown
Trifolium alpinum,Leguminosae,Strict
Trollius altissimus,Ranunculaceae,Unknown
Verbascum orientale,Scrophulariaceae,Unknown
Veronica gentianoides,Plantaginaceae,Unknown
Vicia cusnae,Leguminosae,Unknown
Vicia orobus,Leguminosae,Generalist
Viola lutea,Violaceae,Unknown
Zygophyllum fabago,Zygophyllaceae,Lowland
Brachyscome barkerae,Compositae,Strict
Elymus angulatus,Poaceae,Unknown
Reynoutria multiflora,Polygonaceae,Generalist
Solanum nigrum,Solanaceae,Lowland
Triglochin concinna,Juncaginaceae,Lowland
