"Species","Region","Alpine","Min.elevation","Max.elevation"
"Silene rupestris","Enscobase","Lowland",1050,1880
"Silene rupestris","Northern Alps","Alpine",1050,1880
"Silene rupestris","Southern Alps","Alpine",1050,1880
"Silene saxifraga","Northern Alps","Alpine",1050,1880
"Silene saxifraga","Southern Alps","Alpine",1050,1880
"Silene suecica","Cantabrian Mountains","Alpine",1700,2800
"Silene suecica","Northern Alps","Alpine",1880,3250
"Silene suecica","Southern Alps","Alpine",1880,3250
"Silene vallesia","Northern Alps","Alpine",1390,3250
"Silene vallesia","Southern Alps","Alpine",1390,3250
"Silene vulgaris","Enscobase","Lowland",1050,3250
"Silene vulgaris","Northern Alps","Alpine",1050,3250
"Silene vulgaris","Southern Alps","Alpine",1050,3250
"Sinacalia tangutica","Qinghai-Tibet Plateau","Lowland",1200,3500
"Sinochasea trigyna","Qinghai-Tibet Plateau","Alpine",3800,5100
"Sinopodophyllum hexandrum","Qinghai-Tibet Plateau","Alpine",2200,4300
"Sinosenecio euosmus","Qinghai-Tibet Plateau","Lowland",1800,4000
"Sisymbrium heteromallum","Qinghai-Tibet Plateau","Alpine",900,4500
"Sisyrinchium arenarium","Central Andes","Alpine",1000,3200
"Sisyrinchium arenarium","Southern Alps","Alpine",1000,3200
"Sisyrinchium pearcei","Central Andes","Alpine",500,2000
"Sisyrinchium pearcei","Southern Alps","Alpine",500,2000
"Sisyrinchium striatum","Central Andes","Alpine",0,2500
"Sisyrinchium striatum","Southern Alps","Alpine",0,2500
"Smelowskia tibetica","Qinghai-Tibet Plateau","Alpine",3900,5200
"Solanum americanum","Qinghai-Tibet Plateau","Lowland",600,3000
"Solanum hoehnei","Qinghai-Tibet Plateau","Lowland",100,1300
"Soldanella alpina","Northern Alps","Alpine",1390,3250
"Soldanella alpina","Southern Alps","Alpine",1390,3250
"Solidago virgaurea","Enscobase","Lowland",0,3250
"Solidago virgaurea","Northern Alps","Alpine",0,3250
"Solidago virgaurea","Southern Alps","Alpine",0,3250
"Sonchus arvensis","Qinghai-Tibet Plateau","Lowland",300,2300
"Sonchus asper","Qinghai-Tibet Plateau","Lowland",1500,3700
"Sonchus transcaspicus","Qinghai-Tibet Plateau","Lowland",300,4000
"Soroseris erysimoides","Qinghai-Tibet Plateau","Alpine",3000,3500
"Sphallerocarpus gracilis","Qinghai-Tibet Plateau","Lowland",500,2800
"Spiraea mongolica","Qinghai-Tibet Plateau","Alpine",1500,4700
"Stachys affinis","Qinghai-Tibet Plateau","Lowland",0,3200
"Stachys albicaulis","Central Andes","Alpine",20,2300
"Stachys albicaulis","Southern Alps","Alpine",20,2300
"Stachys aspera","Qinghai-Tibet Plateau","Lowland",400,1700
"Stachys grandidentata","Central Andes","Alpine",0,2900
"Stachys grandidentata","Southern Alps","Alpine",0,2900
"Stackhousia monogyna","Australian Alps","Alpine",10,1800
"Stackhousia pulvinaris","Australian Alps","Alpine",1600,2100
"Stellaria aquatica","Qinghai-Tibet Plateau","Lowland",300,2700
"Stellaria decumbens","Qinghai-Tibet Plateau","Alpine",3000,5600
"Stellaria dianthifolia","Qinghai-Tibet Plateau","Lowland",3400,3800
"Stellaria graminea","Qinghai-Tibet Plateau","Lowland",1400,4000
"Stellaria media","Qinghai-Tibet Plateau","Lowland",NA,NA
"Stellaria neglecta","Qinghai-Tibet Plateau","Lowland",900,1200
"Stellaria palustris","Qinghai-Tibet Plateau","Lowland",1000,3600
"Stellaria parviumbellata","Qinghai-Tibet Plateau","Lowland",2900,2900
"Stellaria uda","Qinghai-Tibet Plateau","Alpine",1200,4800
"Stellera chamaejasme","Qinghai-Tibet Plateau","Alpine",2600,4200
"Stephanachne nigrescens","Qinghai-Tibet Plateau","Alpine",3800,4600
"Stipa aliena","Qinghai-Tibet Plateau","Alpine",2900,4600
"Stipa baicalensis","Qinghai-Tibet Plateau","Lowland",700,4000
"Stipa breviflora","Qinghai-Tibet Plateau","Alpine",700,4700
"Stipa bungeana","Qinghai-Tibet Plateau","Lowland",500,4000
"Stipa capillacea","Qinghai-Tibet Plateau","Alpine",2900,5000
"Stipa concinna","Qinghai-Tibet Plateau","Alpine",3700,5400
"Stipa inebrians","Qinghai-Tibet Plateau","Alpine",1700,4200
"Stipa pappiformis","Qinghai-Tibet Plateau","Alpine",3400,4300
"Stipa pekinensis","Qinghai-Tibet Plateau","Lowland",300,3600
"Stipa przewalskyi","Qinghai-Tibet Plateau","Lowland",800,3600
"Stipa regeliana","Qinghai-Tibet Plateau","Alpine",1600,4600
"Stipa sibirica","Qinghai-Tibet Plateau","Lowland",600,3400
"Stipa splendens","Qinghai-Tibet Plateau","Alpine",900,4500
"Stylidium graminifolium","Australian Alps","Alpine",5,1820
"Swertia bifolia","Qinghai-Tibet Plateau","Alpine",2800,4300
"Swertia bimaculata","Qinghai-Tibet Plateau","Lowland",200,3000
"Swertia diluta","Qinghai-Tibet Plateau","Lowland",100,3100
"Swertia erythrosticta","Qinghai-Tibet Plateau","Alpine",1500,4300
"Swertia franchetiana","Qinghai-Tibet Plateau","Lowland",2200,3600
"Swertia tetraptera","Qinghai-Tibet Plateau","Lowland",2000,4000
"Swertia wolfgangiana","Qinghai-Tibet Plateau","Alpine",1500,5300
"Taraxacum alpinum","Northern Alps","Alpine",1390,3250
"Taraxacum alpinum","Southern Alps","Alpine",1390,3250
"Taraxacum calanthodium","Qinghai-Tibet Plateau","Alpine",3000,4000
"Taraxacum campylodes","Enscobase","Lowland",0,1880
"Taraxacum confusum","Caucasus","Alpine",1700,2900
"Taraxacum maurocarpum","Qinghai-Tibet Plateau","Alpine",4000,4000
"Taraxacum mongolicum","Qinghai-Tibet Plateau","Lowland",800,2000
"Taraxacum stevenii","Caucasus","Alpine",1700,2900
"Tasmannia xerophila","Australian Alps","Alpine",1100,2000
"Teesdaliopsis conferta","Cantabrian Mountains","Alpine",1500,2200
"Telekia speciosissima","Northern Alps","Alpine",0,1880
"Telekia speciosissima","Southern Alps","Alpine",0,1880
"Tephroseris rufa","Qinghai-Tibet Plateau","Lowland",2600,4000
"Thalictrum alpinum","Qinghai-Tibet Plateau","Alpine",2400,5300
"Thalictrum cultratum","Qinghai-Tibet Plateau","Lowland",1700,3800
"Thalictrum macrorhynchum","Qinghai-Tibet Plateau","Lowland",900,2900
"Thalictrum minus","Qinghai-Tibet Plateau","Lowland",900,2900
"Thalictrum petaloideum","Qinghai-Tibet Plateau","Lowland",700,3000
"Thalictrum przewalskii","Qinghai-Tibet Plateau","Lowland",800,3500
"Thalictrum rutifolium","Qinghai-Tibet Plateau","Alpine",2300,4300
"Thalictrum uncatum","Qinghai-Tibet Plateau","Lowland",1600,3200
"Thermopsis lanceolata","Qinghai-Tibet Plateau","Lowland",NA,NA
"Thesium refractum","Qinghai-Tibet Plateau","Lowland",NA,NA
"Thlaspi alpestre","Enscobase","Alpine",1390,3250
"Thlaspi arvense","Qinghai-Tibet Plateau","Lowland",NA,NA
"Thymus michaelis","Qinghai-Tibet Plateau","Lowland",1100,3600
"Thymus mongolicus","Qinghai-Tibet Plateau","Lowland",1100,3600
"Thymus praecox","Enscobase","Lowland",0,3250
"Thymus pulegioides","Enscobase","Lowland",0,1880
"Thymus serpyllum","Enscobase","Lowland",NA,NA
"Tibetia himalaica","Qinghai-Tibet Plateau","Alpine",3000,5000
"Tofieldia calyculata","Enscobase","Lowland",1050,3250
"Tongoloa elata","Qinghai-Tibet Plateau","Alpine",2300,4300
"Tongoloa gracilis","Qinghai-Tibet Plateau","Alpine",2300,4500
"Torilis japonica","Qinghai-Tibet Plateau","Lowland",100,3800
"Torilis scabra","Qinghai-Tibet Plateau","Lowland",200,2400
"Tragus berteronianus","Qinghai-Tibet Plateau","Lowland",NA,NA
"Trichophorum distigmaticum","Qinghai-Tibet Plateau","Alpine",2000,4600
"Trichophorum pumilum","Qinghai-Tibet Plateau","Alpine",500,4700
"Trifolium alpestre","Enscobase","Lowland",0,1390
"Trifolium alpinum","Enscobase","Alpine",1390,3250
"Trifolium badium","Enscobase","Alpine",1390,3250
"Trifolium badium","Northern Alps","Alpine",1390,3250
"Trifolium badium","Southern Alps","Alpine",1390,3250
"Trifolium montanum","Enscobase","Lowland",0,1880
"Trifolium pallescens","Enscobase","Alpine",1390,3250
"Trifolium pallescens","Northern Alps","Alpine",1390,3250
"Trifolium pallescens","Southern Alps","Alpine",1390,3250
"Trifolium polyphyllum","Caucasus","Alpine",2400,2900
"Trifolium pratense","Enscobase","Lowland",0,3250
"Trifolium pratense","Northern Alps","Alpine",0,3250
"Trifolium pratense","Southern Alps","Alpine",0,3250
"Trifolium repens","Enscobase","Lowland",0,1880
"Trifolium thalii","Enscobase","Alpine",1390,1880
"Trifolium thalii","Northern Alps","Alpine",1390,1880
"Trifolium thalii","Southern Alps","Alpine",1390,1880
"Triglochin maritima","Qinghai-Tibet Plateau","Alpine",0,5200
"Triglochin palustris","Qinghai-Tibet Plateau","Alpine",0,4500
"Trigonella foenum-graecum","Qinghai-Tibet Plateau","Lowland",NA,NA
"Tripora divaricata","Qinghai-Tibet Plateau","Lowland",700,2900
"Trisetum clarkei","Qinghai-Tibet Plateau","Alpine",1900,4300
"Trisetum flavescens","Enscobase","Lowland",0,1880
"Trisetum sibiricum","Qinghai-Tibet Plateau","Alpine",700,4200
"Trisetum spicatum","Australian Alps","Alpine",1110,2120
"Tristagma bivalve","Central Andes","Alpine",650,3500
"Tristagma bivalve","Southern Alps","Alpine",650,3500
"Trollius europaeus","Enscobase","Lowland",1050,1880
"Trollius europaeus","Northern Alps","Alpine",1050,1880
"Trollius europaeus","Southern Alps","Alpine",1050,1880
"Trollius farreri","Qinghai-Tibet Plateau","Alpine",3500,4700
"Turritis brassica","Northern Alps","Lowland",0,1390
"Turritis brassica","Southern Alps","Lowland",0,1390
"Urtica cannabina","Qinghai-Tibet Plateau","Lowland",800,2800
"Urtica hyperborea","Qinghai-Tibet Plateau","Alpine",3000,5200
"Urtica triangularis","Qinghai-Tibet Plateau","Alpine",2500,4100
"Vaccaria hispanica","Qinghai-Tibet Plateau","Lowland",NA,NA
"Vaccinium myrtillus","Enscobase","Lowland",1050,3250
"Vaccinium uliginosum","Enscobase","Lowland",0,1390
"Vaccinium uliginosum","Northern Alps","Lowland",0,1390
"Vaccinium uliginosum","Southern Alps","Lowland",0,1390
"Vaccinium vitis-idaea","Enscobase","Lowland",1050,3250
"Valeriana montana","Northern Alps","Alpine",1390,1880
"Valeriana montana","Southern Alps","Alpine",1390,1880
"Valeriana officinalis","Qinghai-Tibet Plateau","Lowland",0,4000
"Valeriana pseudofficinalis","Qinghai-Tibet Plateau","Lowland",0,4000
"Verbascum alpinum","Northern Alps","Alpine",0,1880
"Verbascum alpinum","Southern Alps","Alpine",0,1880
"Verbascum longifolium","Enscobase","Alpine",NA,NA
"Verbascum thapsus","Northern Alps","Alpine",0,1880
"Verbascum thapsus","Southern Alps","Alpine",0,1880
"Verbena officinalis","Qinghai-Tibet Plateau","Lowland",100,1800
"Veronica allionii","Northern Alps","Alpine",1390,3250
"Veronica allionii","Southern Alps","Alpine",1390,3250
"Veronica alpina","Enscobase","Alpine",1390,3250
"Veronica alpina","Northern Alps","Alpine",1390,3250
"Veronica alpina","Southern Alps","Alpine",1390,3250
"Veronica anagallis-aquatica","Qinghai-Tibet Plateau","Lowland",0,4000
"Veronica aphylla","Northern Alps","Alpine",1390,3250
"Veronica aphylla","Southern Alps","Alpine",1390,3250
"Veronica bellidioides","Northern Alps","Alpine",1390,3250
"Veronica bellidioides","Southern Alps","Alpine",1390,3250
"Veronica biloba","Qinghai-Tibet Plateau","Lowland",800,3600
"Veronica chamaedrys","Enscobase","Lowland",0,1880
"Veronica ciliata","Qinghai-Tibet Plateau","Alpine",2700,4700
"Veronica eriogyne","Qinghai-Tibet Plateau","Alpine",2500,4500
"Veronica fruticans","Enscobase","Alpine",1390,3250
"Veronica fruticans","Northern Alps","Alpine",1390,3250
"Veronica fruticans","Southern Alps","Alpine",1390,3250
"Veronica perfoliata","Australian Alps","Alpine",50,1840
"Veronica rockii","Qinghai-Tibet Plateau","Lowland",1300,3800
"Veronica szechuanica","Qinghai-Tibet Plateau","Alpine",1600,4400
"Veronica vandellioides","Qinghai-Tibet Plateau","Alpine",2000,4400
"Vicia amoena","Qinghai-Tibet Plateau","Lowland",0,4000
"Vicia cracca","Qinghai-Tibet Plateau","Alpine",0,4200
"Vicia multicaulis","Qinghai-Tibet Plateau","Alpine",0,4300
"Vicia sativa","Qinghai-Tibet Plateau","Lowland",0,3700
"Vicia tetrasperma","Qinghai-Tibet Plateau","Lowland",0,2900
"Vicia unijuga","Qinghai-Tibet Plateau","Lowland",0,4000
"Viola betonicifolia","Australian Alps","Alpine",100,2123
"Viola bulbosa","Qinghai-Tibet Plateau","Alpine",1900,4200
"Viola comollia","Northern Alps","Alpine",1880,3250
"Viola comollia","Southern Alps","Alpine",1880,3250
"Viola dubyana","Northern Alps","Alpine",1390,1880
"Viola dubyana","Southern Alps","Alpine",1390,1880
"Wahlenbergia ceracea","Australian Alps","Alpine",1089,2092
"Wahlenbergia gloriosa","Australian Alps","Alpine",616,1959
"Wahlenbergia stricta","Australian Alps","Alpine",35,1680
"Xanthopappus subacaulis","Qinghai-Tibet Plateau","Lowland",2400,4000
"Xerochrysum subundulatum","Australian Alps","Alpine",616,1800
"Zygophyllum macracanthum","Qinghai-Tibet Plateau","Lowland",800,3500
"Zygophyllum mucronatum","Qinghai-Tibet Plateau","Lowland",800,3500
