"TPLName","Alpine"
"Centaurea nervosa","Strict"
"Plantago alpina","Strict"
"Plantago atrata","Strict"
"Senecio squalidus","Generalist"
"Silene rupestris","Generalist"
"Trifolium thalii","Strict"
"Trollius europaeus","Generalist"
"Aciphylla glacialis","Strict"
"Aciphylla simplicifolia","Generalist"
"Agropyron velutinum","Generalist"
"Astelia alpina","Strict"
"Astelia psychrocharis","Strict"
"Baeckea gunniana","Generalist"
"Baeckea utilis","Generalist"
"Brachyscome obovata","Generalist"
"Brachyscome rigidula","Generalist"
"Brachyscome spathulata","Generalist"
"Brachyscome stolonifera","Strict"
"Callistemon pityoides","Generalist"
"Cardamine robusta","Strict"
"Carex blakei","Strict"
"Carex capillacea","Generalist"
"Carex cephalotes","Generalist"
"Carex echinata","Generalist"
"Carex gaudichaudiana","Generalist"
"Carex hebes","Strict"
"Carex hypandra","Strict"
"Carpha nivicola","Generalist"
"Celmisia costiniana","Strict"
"Celmisia pugioniformis","Generalist"
"Chaerophyllum australianum","Generalist"
"Chaerophyllum eriopodum","Generalist"
"Colobanthus affinis","Strict"
"Craspedia alba","Strict"
"Craspedia costiniana","Strict"
"Craspedia jamesii","Generalist"
"Craspedia lamicola","Strict"
"Craspedia leucantha","Strict"
"Deschampsia cespitosa","Generalist"
"Dichosciadium ranunculaceum","Strict"
"Diplaspis nivis","Strict"
"Drosera arcturi","Strict"
"Epacris celata","Generalist"
"Epacris glacialis","Strict"
"Epacris microphylla","Generalist"
"Epacris paludosa","Generalist"
"Epacris petrophila","Generalist"
"Epilobium gunnianum","Generalist"
"Erigeron bellidioides","Generalist"
"Erigeron paludicola","Strict"
"Erigeron setosus","Generalist"
"Euphrasia collina","Strict"
"Gentianella muelleriana","Strict"
"Gingidia algens","Strict"
"Isolepis crassiuscula","Generalist"
"Juncus falcatus","Generalist"
"Kelleria dieffenbachii","Strict"
"Kunzea muelleri","Strict"
"Leucochrysum alpinum","Generalist"
"Luzula acutifolia","Strict"
"Luzula modesta","Generalist"
"Microseris lanceolata","Generalist"
"Mniarum biflorum","Generalist"
"Neopaxia australasica","Generalist"
"Olearia algida","Generalist"
"Olearia phlogopappa","Generalist"
"Oreobolus distichus","Strict"
"Oxylobium ellipticum","Generalist"
"Ozothamnus alpinus","Strict"
"Ozothamnus cupressoides","Generalist"
"Ozothamnus hookeri","Generalist"
"Pelargonium helmsii","Strict"
"Pentachondra pumila","Strict"
"Pimelea axiflora","Generalist"
"Pimelea ligustrina","Generalist"
"Plantago glacialis","Strict"
"Plantago muelleri","Strict"
"Poa costiniana","Generalist"
"Poa hiemata","Generalist"
"Poa phillipsiana","Generalist"
"Podolepis robusta","Generalist"
"Prostanthera cuneata","Generalist"
"Psychrophila introloba","Strict"
"Ranunculus acrophilus","Strict"
"Ranunculus anemoneus","Strict"
"Ranunculus clivicola","Strict"
"Ranunculus dissectifolius","Strict"
"Ranunculus graniticola","Generalist"
"Ranunculus gunnianus","Strict"
"Ranunculus lappaceus","Generalist"
"Ranunculus muelleri","Strict"
"Ranunculus niphophilus","Strict"
"Ranunculus pimpinellifolius","Generalist"
"Richea continentis","Strict"
"Rytidosperma alpicola","Strict"
"Rytidosperma nudiflorum","Generalist"
"Rytidosperma pumilum","Generalist"
"Scleranthus singuliflorus","Strict"
"Senecio gunnii","Generalist"
"Stackhousia monogyna","Generalist"
"Stackhousia pulvinaris","Strict"
"Stylidium graminifolium","Generalist"
"Tasmannia xerophila","Generalist"
"Trisetum spicatum","Generalist"
"Veronica perfoliata","Generalist"
"Viola betonicifolia","Generalist"
"Wahlenbergia ceracea","Generalist"
"Wahlenbergia gloriosa","Generalist"
"Xerochrysum subundulatum","Generalist"
"Androsace villosa","Generalist"
"Arenaria erinacea","Generalist"
"Arenaria grandiflora","Generalist"
"Arenaria purpurascens","Strict"
"Armeria cantabrica","Strict"
"Carex asturica","Generalist"
"Festuca eskia","Strict"
"Festuca paniculata","Strict"
"Fritillaria legionensis","Strict"
"Helictotrichon marginatum","Generalist"
"Jasione cavanillesii","Strict"
"Jurinea humilis","Generalist"
"Persicaria vivipara","Strict"
"Rumex suffruticosus","Strict"
"Scorzoneroides cantabrica","Strict"
"Silene ciliata","Generalist"
"Teesdaliopsis conferta","Strict"
"Campanula collina","Strict"
"Eremogone lychnidea","Strict"
"Festuca varia","Generalist"
"Hedysarum caucasicum","Generalist"
"Matricaria breviradiata","Strict"
"Podospermum canum","Generalist"
"Potentilla grandiflora","Generalist"
"Rumex alpestris","Strict"
"Taraxacum confusum","Strict"
"Taraxacum stevenii","Strict"
"Trifolium polyphyllum","Strict"
"Acaena pinnatifida","Generalist"
"Adesmia radicifolia","Generalist"
"Alstroemeria pallida","Generalist"
"Anarthrophyllum cumingii","Generalist"
"Anarthrophyllum gayanum","Strict"
"Azorella madreporica","Generalist"
"Berberis montana","Generalist"
"Calandrinia caespitosa","Strict"
"Calceolaria purpurea","Generalist"
"Chaetanthera euphrasioides","Generalist"
"Chaetanthera microphylla","Generalist"
"Draba gilliesii","Generalist"
"Laretia acaulis","Strict"
"Loasa caespitosa","Strict"
"Madia sativa","Generalist"
"Microsteris gracilis","Generalist"
"Mutisia sinuata","Generalist"
"Nassauvia pinnigera","Strict"
"Nastanthus scapigerus","Generalist"
"Nicotiana corymbosa","Generalist"
"Nothoscordum andinum","Generalist"
"Olsynium philippii","Strict"
"Rhodophiala andicola","Generalist"
"Sanicula graveolens","Generalist"
"Schizanthus grahamii","Generalist"
"Schizanthus hookeri","Generalist"
"Senecio eruciformis","Generalist"
"Sisyrinchium arenarium","Generalist"
"Stachys grandidentata","Generalist"
"Tristagma bivalve","Generalist"
"Agrostis alpina","Strict"
"Androsace chamaejasme","Strict"
"Campanula alpina","Strict"
"Carex atrata","Strict"
"Erigeron pulchellus","Strict"
"Homogyne alpina","Generalist"
"Juncus monanthos","Strict"
"Myosotis alpina","Strict"
"Primula auricula","Strict"
"Primula minima","Strict"
"Sesleria albicans","Generalist"
"Aconitum brunneum","Strict"
"Aconitum tanguticum","Strict"
"Acronema chinense","Strict"
"Adenophora himalayana","Generalist"
"Adenophora liliifolioides","Generalist"
"Ajania fruticulosa","Generalist"
"Ajania salicifolia","Generalist"
"Ajania tenuifolia","Generalist"
"Aletris glandulifera","Strict"
"Allium chrysanthum","Generalist"
"Allium chrysocephalum","Strict"
"Allium cyaneum","Generalist"
"Allium cyathophorum","Generalist"
"Allium prattii","Generalist"
"Allium przewalskianum","Generalist"
"Allium rude","Generalist"
"Allium sikkimense","Generalist"
"Anaphalis flavescens","Generalist"
"Anaphalis nepalensis","Generalist"
"Androsace gmelinii","Generalist"
"Anemone rivularis","Generalist"
"Anisodus tanguticus","Generalist"
"Anthriscus sylvestris","Generalist"
"Arenaria edgeworthiana","Strict"
"Arenaria kansuensis","Strict"
"Aristida triseta","Generalist"
"Artemisia desertorum","Strict"
"Artemisia gmelinii","Generalist"
"Artemisia hedinii","Generalist"
"Aster diplostephioides","Generalist"
"Aster souliei","Generalist"
"Aster yunnanensis","Generalist"
"Astragalus floridulus","Generalist"
"Astragalus mahoschanicus","Generalist"
"Astragalus polycladus","Generalist"
"Astragalus tongolensis","Strict"
"Batrachium bungei","Generalist"
"Blysmus sinocompressus","Generalist"
"Braya rosea","Generalist"
"Bromus sinensis","Strict"
"Bupleurum commelynoideum","Generalist"
"Callitriche palustris","Generalist"
"Campanula aristata","Strict"
"Caragana erinacea","Generalist"
"Caragana jubata","Generalist"
"Cardamine tangutorum","Generalist"
"Carex enervis","Generalist"
"Carex kansuensis","Strict"
"Carex przewalskii","Generalist"
"Carex scabrirostris","Strict"
"Carum carvi","Generalist"
"Catolobus pendulus","Generalist"
"Chamaesium paradoxum","Strict"
"Chrysosplenium uniflorum","Generalist"
"Circaeaster agrestis","Generalist"
"Cirsium arvense","Generalist"
"Cirsium souliei","Generalist"
"Clematis tangutica","Generalist"
"Codonopsis foetens","Strict"
"Coluria longifolia","Generalist"
"Comastoma falcatum","Generalist"
"Comastoma pedunculatum","Strict"
"Comastoma pulmonarium","Strict"
"Convolvulus arvensis","Generalist"
"Corydalis melanochlora","Strict"
"Cremanthodium brunneopilosum","Strict"
"Cremanthodium discoideum","Strict"
"Cremanthodium lineare","Generalist"
"Cyananthus hookeri","Generalist"
"Delphinium albocoeruleum","Generalist"
"Delphinium pylzowii","Strict"
"Delphinium souliei","Strict"
"Deyeuxia flavens","Generalist"
"Dicranostigma lactucoides","Strict"
"Draba eriopoda","Generalist"
"Draba ladyginii","Generalist"
"Draba lanceolata","Generalist"
"Draba nemorosa","Generalist"
"Draba oreades","Generalist"
"Dracocephalum heterophyllum","Generalist"
"Dracocephalum tanguticum","Strict"
"Duthiea brachypodium","Strict"
"Elymus burchan-buddae","Strict"
"Elymus sibiricus","Generalist"
"Epilobium angustifolium","Generalist"
"Epilobium palustre","Generalist"
"Euphorbia tibetica","Generalist"
"Festuca nitidula","Generalist"
"Festuca ovina","Generalist"
"Festuca rubra","Generalist"
"Festuca sinensis","Generalist"
"Fritillaria unibracteata","Strict"
"Galium boreale","Generalist"
"Gentiana aquatica","Generalist"
"Gentiana aristata","Generalist"
"Gentiana choanantha","Generalist"
"Gentiana crassuloides","Generalist"
"Gentiana dahurica","Generalist"
"Gentiana leucomelaena","Generalist"
"Gentiana nubigena","Strict"
"Gentiana prostrata","Generalist"
"Gentiana sino-ornata","Generalist"
"Gentiana siphonantha","Generalist"
"Gentiana straminea","Generalist"
"Gentiana szechenyii","Strict"
"Gentianopsis barbata","Generalist"
"Gentianopsis paludosa","Generalist"
"Geranium pylzowianum","Generalist"
"Hedysarum sikkimense","Strict"
"Helictotrichon tibeticum","Generalist"
"Heracleum millefolium","Generalist"
"Heracleum yungningense","Generalist"
"Heteropappus gouldii","Generalist"
"Hippuris vulgaris","Generalist"
"Isolepis setacea","Generalist"
"Juncus allioides","Generalist"
"Juncus amplifolius","Generalist"
"Juncus himalensis","Generalist"
"Juncus sphacelatus","Strict"
"Juncus thomsonii","Generalist"
"Kobresia capillifolia","Generalist"
"Kobresia humilis","Generalist"
"Kobresia kansuensis","Strict"
"Kobresia macrantha","Generalist"
"Kobresia pygmaea","Strict"
"Kobresia setschwanensis","Generalist"
"Kobresia tibetica","Generalist"
"Koeleria litvinowii","Strict"
"Lagotis brachystachya","Strict"
"Lancea tibetica","Generalist"
"Leibnitzia nepalensis","Strict"
"Leontopodium nanum","Generalist"
"Leontopodium ochroleucum","Generalist"
"Leontopodium souliei","Generalist"
"Lepidium apetalum","Generalist"
"Lepidium capitatum","Generalist"
"Lepidium latifolium","Generalist"
"Ligularia macrodonta","Generalist"
"Ligularia virgaurea","Generalist"
"Lloydia oxycarpa","Generalist"
"Lomatogonium carinthiacum","Generalist"
"Lomatogonium gamosepalum","Generalist"
"Lomatogonium macranthum","Generalist"
"Meconopsis horridula","Strict"
"Meconopsis integrifolia","Generalist"
"Meconopsis punicea","Generalist"
"Meconopsis quintuplinervia","Generalist"
"Megacarpaea delavayi","Strict"
"Microula sikkimensis","Generalist"
"Microula tangutica","Strict"
"Nardostachys jatamansi","Generalist"
"Nepeta coerulescens","Strict"
"Nepeta prattii","Generalist"
"Notopterygium franchetii","Generalist"
"Notopterygium incisum","Generalist"
"Oxytropis falcata","Generalist"
"Oxytropis ochrocephala","Generalist"
"Paraquilegia microphylla","Generalist"
"Parnassia brevistyla","Generalist"
"Parnassia trinervis","Strict"
"Pedicularis alaschanica","Strict"
"Pedicularis cheilanthifolia","Generalist"
"Pedicularis kansuensis","Generalist"
"Pedicularis lachnoglossa","Generalist"
"Pedicularis lasiophrys","Generalist"
"Pedicularis longiflora","Generalist"
"Pedicularis pseudoingens","Strict"
"Pedicularis rhinanthoides","Generalist"
"Pedicularis szetschuanica","Strict"
"Pedicularis ternata","Strict"
"Pennisetum flaccidum","Generalist"
"Phlomoides rotata","Generalist"
"Piptatherum munroi","Generalist"
"Plantago depressa","Generalist"
"Pleurospermum hookeri","Generalist"
"Pleurospermum wilsonii","Strict"
"Pleurospermum wrightianum","Strict"
"Poa attenuata","Strict"
"Poa sikkimensis","Strict"
"Poa szechuensis","Generalist"
"Polygonum fertile","Generalist"
"Polygonum macrophyllum","Generalist"
"Polygonum sibiricum","Generalist"
"Polygonum sparsipilosum","Generalist"
"Pomatosace filicula","Generalist"
"Potentilla multifida","Generalist"
"Potentilla pamiroalaica","Strict"
"Potentilla potaninii","Generalist"
"Potentilla saundersiana","Generalist"
"Primula agleniana","Strict"
"Primula gemmifera","Generalist"
"Primula orbicularis","Strict"
"Primula secundiflora","Strict"
"Primula stenocalyx","Generalist"
"Primula tangutica","Strict"
"Pterocephalus hookeri","Generalist"
"Ptilagrostis dichotoma","Strict"
"Pyrethrum tatsienense","Strict"
"Ranunculus brotherusii","Generalist"
"Ranunculus kamchaticus","Generalist"
"Rheum palmatum","Generalist"
"Rhodiola kirilowii","Generalist"
"Rhodiola macrocarpa","Generalist"
"Rhodiola tangutica","Generalist"
"Rorippa elata","Generalist"
"Rumex nepalensis","Generalist"
"Sanguisorba filiformis","Generalist"
"Saussurea globosa","Strict"
"Saussurea graminea","Strict"
"Saussurea hieracioides","Strict"
"Saussurea kansuensis","Strict"
"Saussurea pachyneura","Strict"
"Saussurea przewalskii","Strict"
"Saussurea stella","Generalist"
"Saussurea sylvatica","Generalist"
"Saxifraga egregia","Generalist"
"Saxifraga heleonastes","Strict"
"Saxifraga melanocentra","Strict"
"Saxifraga sinomontana","Generalist"
"Saxifraga tangutica","Generalist"
"Sedum ulricae","Strict"
"Senecio dubitabilis","Generalist"
"Senecio thianschanicus","Generalist"
"Silene himalayensis","Generalist"
"Sinochasea trigyna","Strict"
"Sisymbrium heteromallum","Generalist"
"Smelowskia tibetica","Strict"
"Spiraea mongolica","Generalist"
"Stellaria decumbens","Strict"
"Stellaria uda","Generalist"
"Stephanachne nigrescens","Strict"
"Stipa aliena","Generalist"
"Stipa breviflora","Generalist"
"Stipa capillacea","Generalist"
"Stipa concinna","Strict"
"Stipa pappiformis","Strict"
"Stipa regeliana","Generalist"
"Stipa splendens","Generalist"
"Swertia bifolia","Generalist"
"Swertia erythrosticta","Generalist"
"Swertia wolfgangiana","Generalist"
"Thalictrum alpinum","Generalist"
"Thalictrum rutifolium","Generalist"
"Tibetia himalaica","Strict"
"Tongoloa elata","Generalist"
"Tongoloa gracilis","Generalist"
"Trichophorum distigmaticum","Generalist"
"Trichophorum pumilum","Generalist"
"Triglochin maritima","Generalist"
"Triglochin palustris","Generalist"
"Trisetum clarkei","Generalist"
"Trollius farreri","Strict"
"Urtica hyperborea","Strict"
"Veronica ciliata","Generalist"
"Veronica eriogyne","Generalist"
"Veronica szechuanica","Generalist"
"Veronica vandellioides","Generalist"
"Vicia multicaulis","Generalist"
"Adesmia emarginata","Generalist"
"Adesmia longipes","Strict"
"Calceolaria filicaulis","Strict"
"Cardamine cordata","Generalist"
"Carex aphylla","Generalist"
"Carex banksii","Generalist"
"Cortaderia pilosa","Generalist"
"Erigeron cinereus","Generalist"
"Escallonia alpina","Generalist"
"Gaultheria poeppigii","Generalist"
"Gaultheria pumila","Generalist"
"Hypochaeris tenuifolia","Strict"
"Luzula brachyphylla","Generalist"
"Montiopsis gayana","Generalist"
"Nassauvia lagascae","Generalist"
"Nassauvia revoluta","Generalist"
"Olsynium junceum","Generalist"
"Perezia pedicularidifolia","Generalist"
"Rytidosperma pictum","Generalist"
"Senecio bipontinii","Generalist"
"Senecio chionophilus","Strict"
"Silene andicola","Strict"
"Sisyrinchium pearcei","Generalist"
"Erigeron nitidus","Strict"
"Luzula atrata","Strict"
"Astragalus vesiculosus","Generalist"
"Montiopsis sericea","Generalist"
"Campanula macrorhiza","Generalist"
"Asperugo procumbens","Generalist"
"Cirsium lanatum","Generalist"
"Poa annua","Generalist"
"Pennisetum centrasiaticum","Generalist"
"Saxifraga montana","Generalist"
"Astragalus floridus","Generalist"
"Anaphalis latialata","Strict"
"Roegneria breviglumis","Strict"
"Avena fatua","Generalist"
"Astragalus przewalskii","Strict"
"Microgynoecium tibeticum","Strict"
"Sinopodophyllum hexandrum","Generalist"
"Poa pratensis","Generalist"
"Aconitum bucovinense","Strict"
"Aconitum firmum","Unknown"
"Aconitum lasiocarpum","Generalist"
"Aconitum lycoctonum","Generalist"
"Aconitum nasutum","Lowland"
"Aconitum talassicum","Lowland"
"Adenophora liliifolia","Lowland"
"Adenostyles alliariae","Generalist"
"Alchemilla acutiloba","Lowland"
"Alchemilla alpina","Strict"
"Alopecurus vaginatus","Lowland"
"Alyssoides utriculata","Lowland"
"Amberboa glauca","Unknown"
"Anemone narcissiflora","Strict"
"Aquilegia atrata","Lowland"
"Arenaria norvegica","Generalist"
"Arenaria norvegica","Generalist"
"Aruncus dioicus","Lowland"
"Aster amellus","Generalist"
"Astragalus australis","Strict"
"Astragalus cyri","Strict"
"Astragalus penduliflorus","Strict"
"Aubrieta thessala","Strict"
"Betula nana","Strict"
"Biebersteinia orphanidis","Strict"
"Bupleurum marschallianum","Unknown"
"Calamagrostis purpurea","Lowland"
"Campanula alliariifolia","Lowland"
"Campanula olympica","Unknown"
"Campanula jacquinii","Generalist"
"Campanula latifolia","Generalist"
"Campanula sarmatica","Unknown"
"Campanula serrata","Unknown"
"Carex buxbaumii","Generalist"
"Carex capillaris","Strict"
"Carex lachenalii","Strict"
"Carex microglochin","Generalist"
"Carex pulicaris","Generalist"
"Carex rariflora","Strict"
"Carex rostrata","Generalist"
"Carex saxatilis","Generalist"
"Carlina biebersteinii","Lowland"
"Centaurea reflexa","Unknown"
"Cerastium alpinum","Strict"
"Cerastium arcticum","Strict"
"Cerastium argenteum","Unknown"
"Cerastium cerastoides","Strict"
"Cochlearia tatrae","Strict"
"Comarum palustre","Generalist"
"Crepis sibirica","Lowland"
"Delphinium cyphoplectrum","Unknown"
"Delphinium elatum","Lowland"
"Dianthus barbatus","Strict"
"Dianthus furcatus","Unknown"
"Dianthus orientalis","Generalist"
"Dianthus plumarius","Unknown"
"Doronicum austriacum","Strict"
"Draba norvegica","Strict"
"Eleocharis quinqueflora","Generalist"
"Elymus caninus","Generalist"
"Epilobium alsinifolium","Generalist"
"Eriophorum latifolium","Generalist"
"Erysimum hungaricum","Strict"
"Festuca altissima","Lowland"
"Galium rubioides","Unknown"
"Gentiana burseri","Generalist"
"Gentiana depressa","Unknown"
"Gentiana grandiflora","Unknown"
"Gentiana haynaldii","Unknown"
"Gentiana septemfida","Unknown"
"Gentiana waltonii","Unknown"
"Gentianella amarella","Generalist"
"Geum pyrenaicum","Generalist"
"Geum rivale","Generalist"
"Glyceria notata","Unknown"
"Gypsophila elegans","Lowland"
"Heliotropium ellipticum","Unknown"
"Herminium monorchis","Unknown"
"Hieracium attenuatifolium","Unknown"
"Hieracium backhousei","Unknown"
"Hieracium calenduliflorum","Unknown"
"Hieracium calvum","Unknown"
"Hieracium completum","Unknown"
"Hieracium eximium","Unknown"
"Hieracium globosiflorum","Unknown"
"Hieracium graniticola","Unknown"
"Hieracium hanburyi","Unknown"
"Hieracium larigense","Unknown"
"Hieracium leptodon","Unknown"
"Hieracium macrocarpum","Unknown"
"Hieracium milesii","Unknown"
"Hieracium pensum","Unknown"
"Hieracium perscitum","Unknown"
"Hieracium snowdoniense","Unknown"
"Hieracium stewartii","Unknown"
"Hieracium zygophorum","Unknown"
"Holosteum marginatum","Unknown"
"Hyssopus officinalis","Lowland"
"Juncus balticus","Generalist"
"Juncus biglumis","Unknown"
"Juncus castaneus","Unknown"
"Juncus filiformis","Strict"
"Juncus triglumis","Strict"
"Jurinea blanda","Unknown"
"Kobresia simpliciuscula","Strict"
"Laserpitium hispidum","Unknown"
"Ligusticum scoticum","Unknown"
"Lilium martagon","Generalist"
"Linnaea borealis","Unknown"
"Loiseleuria procumbens","Unknown"
"Lonicera pyrenaica","Generalist"
"Luzula lutea","Strict"
"Luzula nivea","Generalist"
"Papaver cambricum","Unknown"
"Minuartia inamoena","Unknown"
"Minuartia laricifolia","Strict"
"Minuartia rubella","Unknown"
"Minuartia sedoides","Strict"
"Minuartia stricta","Unknown"
"Minuartia montana","Lowland"
"Thlaspi caerulescens","Generalist"
"Onobrychis montana","Unknown"
"Oxytropis campestris","Strict"
"Oxytropis lapponica","Strict"
"Phleum subulatum","Unknown"
"Physospermum cornubiense","Lowland"
"Phyteuma hedraianthifolium","Unknown"
"Pilosella peleteriana","Unknown"
"Plantago nivalis","Strict"
"Poa glauca","Unknown"
"Poa remota","Unknown"
"Potamogeton alpinus","Lowland"
"Potentilla crantzii","Strict"
"Primula algida","Strict"
"Primula auriculata","Strict"
"Primula daonensis","Strict"
"Pulsatilla violacea","Unknown"
"Rhinanthus alectorolophus","Unknown"
"Rhinanthus serotinus","Unknown"
"Ribes petraeum","Generalist"
"Sagina nivalis","Unknown"
"Sagina saginoides","Generalist"
"Salix myrsinifolia","Unknown"
"Saxifraga cespitosa","Strict"
"Saxifraga hirculus","Generalist"
"Saxifraga nivalis","Strict"
"Saxifraga rivularis","Strict"
"Scandix iberica","Unknown"
"Sedum villosum","Generalist"
"Sempervivum caucasicum","Unknown"
"Jacobaea uniflora","Strict"
"Silene frivaldskyana","Unknown"
"Oberna lacera","Unknown"
"Silene linearifolia","Unknown"
"Silene pygmaea","Unknown"
"Silene uniflora","Lowland"
"Silene viscariopsis","Unknown"
"Stachys alpina","Lowland"
"Stachys balansae","Unknown"
"Taraxacum pieninicum","Unknown"
"Teucrium chamaedrys","Generalist"
"Thlaspi alpestre","Unknown"
"Thlaspi orbiculatum","Unknown"
"Tofieldia pusilla","Strict"
"Trichophorum cespitosum","Unknown"
"Trifolium alpinum","Strict"
"Trollius altissimus","Unknown"
"Verbascum orientale","Unknown"
"Veronica gentianoides","Unknown"
"Vicia cusnae","Unknown"
"Vicia orobus","Generalist"
"Viola lutea","Unknown"
"Zygophyllum fabago","Lowland"
"Brachyscome barkerae","Strict"
"Elymus angulatus","Unknown"
"Reynoutria multiflora","Generalist"
"Solanum nigrum","Lowland"
"Triglochin concinna","Lowland"
