"TPLName","Alpine"
"Echinochloa colona","Lowland"
"Echinochloa crus-galli","Lowland"
"Elsholtzia feddei","Lowland"
"Elsholtzia fruticosa","Lowland"
"Elsholtzia serotina","Lowland"
"Elymus antiquus","Lowland"
"Elymus atratus","Lowland"
"Elymus barystachyus","Lowland"
"Elymus dahuricus","Lowland"
"Elymus kokonoricus","Lowland"
"Elymus nutans","Lowland"
"Elymus pendulinus","Lowland"
"Elymus strictus","Lowland"
"Elymus tangutorum","Lowland"
"Elymus varius","Lowland"
"Embothrium coccineum","Lowland"
"Empetrum nigrum","Lowland"
"Epilobium hirsutum","Lowland"
"Eragrostis cilianensis","Lowland"
"Eragrostis nigra","Lowland"
"Erigeron acer","Lowland"
"Erigeron canadensis","Lowland"
"Erodium stephanianum","Lowland"
"Eruca vesicaria","Lowland"
"Euphorbia esula","Lowland"
"Euphorbia helioscopia","Lowland"
"Euphorbia humifusa","Lowland"
"Euphrasia pectinata","Lowland"
"Euphrasia rostkoviana","Lowland"
"Fagopyrum esculentum","Lowland"
"Fagopyrum tataricum","Lowland"
"Fagopyrum urophyllum","Lowland"
"Fallopia aubertii","Lowland"
"Fallopia convolvulus","Lowland"
"Festuca nigrescens","Lowland"
"Festuca parvigluma","Lowland"
"Fragaria orientalis","Lowland"
"Galeopsis bifida","Lowland"
"Galium centroniae","Lowland"
"Galium obliquum","Lowland"
"Galium spurium","Lowland"
"Galium verum","Lowland"
"Gentiana decumbens","Lowland"
"Gentiana lutea","Lowland"
"Gentiana macrophylla","Lowland"
"Gentiana spathulifolia","Lowland"
"Gentiana striata","Lowland"
"Gentianella campestris","Lowland"
"Gentianella germanica","Lowland"
"Gentianopsis contorta","Lowland"
"Geranium sibiricum","Lowland"
"Geranium wilfordii","Lowland"
"Geum aleppicum","Lowland"
"Globularia cordifolia","Lowland"
"Gueldenstaedtia multiflora","Lowland"
"Gypsophila licentiana","Lowland"
"Halenia corniculata","Lowland"
"Hedysarum multijugum","Lowland"
"Hedysarum polybotrys","Lowland"
"Helianthemum nummularium","Lowland"
"Helianthemum oelandicum","Lowland"
"Helictotrichon altius","Lowland"
"Helictotrichon pratense","Lowland"
"Heracleum souliei","Lowland"
"Heracleum sphondylium","Lowland"
"Heteropappus altaicus","Lowland"
"Hierochloe laxa","Lowland"
"Hippocrepis comosa","Lowland"
"Hordelymus europaeus","Lowland"
"Humulus lupulus","Lowland"
"Hylotelephium angustum","Lowland"
"Hyoscyamus niger","Lowland"
"Hypericum ascyron","Lowland"
"Hypericum attenuatum","Lowland"
"Hypericum japonicum","Lowland"
"Hypericum maculatum","Lowland"
"Hypericum przewalskii","Lowland"
"Hypochaeris maculata","Lowland"
"Impatiens noli-tangere","Lowland"
"Incarvillea diffusa","Lowland"
"Incarvillea sinensis","Lowland"
"Indigofera silvestrii","Lowland"
"Inula japonica","Lowland"
"Iris lactea","Lowland"
"Iris oxypetala","Lowland"
"Iris tenuifolia","Lowland"
"Isodon henryi","Lowland"
"Isodon japonicus","Lowland"
"Jacobaea argunensis","Lowland"
"Juncus bufonius","Lowland"
"Juncus effusus","Lowland"
"Juncus giganteus","Lowland"
"Juncus prismatocarpus","Lowland"
"Kalimeris hispida","Lowland"
"Kalimeris mongolica","Lowland"
"Koeleria pyramidata","Lowland"
"Koeleria vallesiana","Lowland"
"Krascheninnikovia ceratoides","Lowland"
"Lamium amplexicaule","Lowland"
"Lappula intermedia","Lowland"
"Lathyrus pratensis","Lowland"
"Leibnitzia anandria","Lowland"
"Leontopodium chuii","Lowland"
"Leontopodium franchetii","Lowland"
