Source,Taxon,Country,Accession,Latitude,Longitude,Elevation,Stratification_temperature,Stratification_days,Stratification,Scarification,GA3,Light,Dish,Tmax,Tmin,Photoperiod,Sown,Germinated,Normal
Sergey Rosbakh unpubl,Festuca varia,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,18,10,14,30,21,30
Sergey Rosbakh unpubl,Festuca varia,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,18,10,14,30,23,30
Sergey Rosbakh unpubl,Festuca varia,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,22,14,14,30,12,30
Sergey Rosbakh unpubl,Festuca varia,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,22,14,14,30,16,30
Sergey Rosbakh unpubl,Festuca varia,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,22,14,14,30,13,30
Sergey Rosbakh unpubl,Festuca varia,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,26,18,14,30,10,30
Sergey Rosbakh unpubl,Festuca varia,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,26,18,14,30,9,30
Sergey Rosbakh unpubl,Festuca varia,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,26,18,14,30,15,30
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,10,2,14,20,6,16
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,10,2,14,23,9,23
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,10,2,14,20,10,17
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,14,6,14,25,23,25
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,14,6,14,20,15,19
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,14,6,14,20,16,18
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,18,10,14,20,20,20
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,18,10,14,20,20,20
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,18,10,14,20,18,18
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,22,14,14,23,23,23
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,22,14,14,20,12,12
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,22,14,14,20,17,17
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,26,18,14,20,19,19
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,26,18,14,20,18,18
Sergey Rosbakh unpubl,Aster alpinus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,26,18,14,20,20,20
Sergey Rosbakh unpubl,Leontodon hispidus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,10,2,14,NA,NA,NA
Sergey Rosbakh unpubl,Leontodon hispidus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,10,2,14,20,5,17
Sergey Rosbakh unpubl,Leontodon hispidus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,10,2,14,20,7,18
Sergey Rosbakh unpubl,Leontodon hispidus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,14,6,14,20,11,20
Sergey Rosbakh unpubl,Leontodon hispidus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,14,6,14,20,10,17
Sergey Rosbakh unpubl,Leontodon hispidus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d3,14,6,14,20,15,18
Sergey Rosbakh unpubl,Leontodon hispidus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d1,18,10,14,20,18,18
Sergey Rosbakh unpubl,Leontodon hispidus,Russia,NA,43.27,41.41,2800,0,0,0,0,0,Y,d2,18,10,14,20,13,13
