"","model","DIC","R2","animal","ID","Source","Region","Accession","units","variable","post.mean","l.95..CI","u.95..CI","eff.samp","pMCMC","effect","lambda","lower","upper","lambda2","lower2","upper2"
"1","Alternating","3381.55 (16.6)",0.877,"0.016 (0.000 -- 0.047)","0.070 (0.040 -- 0.116)","0.309 (0.000 -- 0.901)","0.623 (0.000 -- 2.640)","0.205 (0.160 -- 0.253)","0.172 (0.162 -- 0.182)","Alternating:log(embryo)",-0.0100520488018885,-0.0393955809486215,0.0228568760785492,180,0.5,"fixed",0.0770977906223325,1.05223555498699e-07,0.210977518468197,0.0583715853050402,7.18708163600891e-08,0.179873269238305
"2","GA3","3378.97 (14.02)",0.859,"0.021 (0.000 -- 0.057)","0.066 (0.034 -- 0.104)","0.478 (0.000 -- 1.347)","0.276 (0.000 -- 1.128)","0.205 (0.158 -- 0.263)","0.172 (0.162 -- 0.181)","GA3:log(embryo)",0.0185985806557498,0.00114925042726099,0.036810533904827,222.501472648186,0.0222222222222221,"fixed",0.103214344977965,0.000570586144603536,0.245626644207256,0.0796239469100429,0.000420617159085589,0.204271536236435
"3","Light","3380 (15.05)",0.887,"0.016 (0.000 -- 0.046)","0.070 (0.035 -- 0.119)","0.678 (0.000 -- 1.749)","0.380 (0.000 -- 1.796)","0.205 (0.156 -- 0.248)","0.173 (0.161 -- 0.182)","Light:log(embryo)",-0.0128577061865403,-0.0358851996425074,0.0133582461276092,180,0.411111111111111,"fixed",0.0807819424652388,1.77616922354583e-05,0.209910710205967,0.0612909448129348,1.06132871985518e-05,0.178750619007836
"4","Scarification","3378.96 (14.01)",0.888,"0.007 (0.000 -- 0.025)","0.072 (0.040 -- 0.106)","0.914 (0.007 -- 2.046)","0.156 (0.000 -- 0.676)","0.201 (0.148 -- 0.244)","0.172 (0.163 -- 0.181)","Scarification:log(embryo)",0.647316700567199,0.148766768828864,1.03923254585243,180,0.00555555555555556,"fixed",0.0382245217633758,3.45980108455365e-06,0.129960516277017,0.0282825771340209,2.35394175105454e-06,0.0997602571457314
"5","Stratification","3364.95 (0)",0.91,"0.017 (0.000 -- 0.043)","0.072 (0.028 -- 0.111)","1.311 (0.226 -- 3.307)","0.131 (0.000 -- 0.576)","0.199 (0.162 -- 0.252)","0.171 (0.162 -- 0.182)","Stratification:log(embryo)",0.0588552569033166,0.0241622586036101,0.0882807596062776,180,0.00555555555555556,"fixed",0.0864753915405831,1.22054814324807e-06,0.209801140462357,0.0655834601321151,7.78368472090096e-07,0.162925623684098
"6","Tmean","3383.25 (18.3)",0.872,"0.018 (0.000 -- 0.044)","0.067 (0.038 -- 0.102)","0.611 (0.001 -- 1.781)","0.272 (0.000 -- 1.472)","0.206 (0.161 -- 0.269)","0.173 (0.165 -- 0.184)","Tmean:log(embryo)",-0.000300977639676603,-0.0136510534939589,0.0153224236564711,180,0.933333333333333,"fixed",0.0886379611342226,6.52906349561283e-06,0.205608139880262,0.0678671228368067,4.99649979516225e-06,0.171166927393582
